Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,32.069465,[114  17] ; [17 22],[100.94705882  30.05294118] ; [30.05294118  8.94705882],1
r2,1,0.065951,3.381038,[125   4] ; [35  4],[122.85714286   6.14285714] ; [37.14285714  1.85714286],0
s7,1,0.092479,2.830685,[100  26] ; [23 12],[96.26086957 29.73913043] ; [26.73913043  8.26086957],0
p3,1,0.167323,1.906766,[60 71] ; [13 26],[56.25294118 74.74705882] ; [16.74705882 22.25294118],0
s5,1,0.177277,1.820306,[51 73] ; [10 25],[47.57232704 76.42767296] ; [13.42767296 21.57232704],0
p12,1,0.183605,1.768197,[ 12 119] ; [ 1 37],[ 10.07692308 120.92307692] ; [ 2.92307692 35.07692308],0
p7,1,0.221484,1.494733,[64 65] ; [15 24],[60.66071429 68.33928571] ; [18.33928571 20.66071429],0
n1,1,0.229911,1.44141,[19 18] ; [3 7],[17.31914894 19.68085106] ; [4.68085106 5.31914894],0
u3,1,0.234314,1.414482,[15  2] ; [16  6],[13.51282051  3.48717949] ; [17.48717949  4.51282051],0
u2,1,0.274895,1.192157,[14  3] ; [14  7],[12.52631579  4.47368421] ; [15.47368421  5.52631579],0
s6,1,0.279936,1.167403,[112  18] ; [30  8],[109.88095238  20.11904762] ; [32.11904762  5.88095238],0
n3,1,0.301588,1.06716,[29  9] ; [6 4],[27.70833333 10.29166667] ; [7.29166667 2.70833333],0
p10,1,0.370239,0.802862,[110  20] ; [29  8],[108.20359281  21.79640719] ; [30.79640719  6.20359281],0
n6,1,0.377979,0.777265,[111  19] ; [31  8],[109.23076923  20.76923077] ; [32.76923077  6.23076923],0
v3,1,0.403393,0.698188,[55 67] ; [13 22],[52.84076433 69.15923567] ; [15.15923567 19.84076433],0
a8,1,0.419989,0.650346,[20 97] ; [ 4 31],[18.47368421 98.52631579] ; [ 5.52631579 29.47368421],0
d3,1,0.44556,0.581923,[86 45] ; [23 16],[83.99411765 47.00588235] ; [25.00588235 13.99411765],0
v2,1,0.455526,0.556866,[76 48] ; [19 16],[74.08805031 49.91194969] ; [20.91194969 14.08805031],0
n2,1,0.470293,0.521287,[28 11] ; [6 4],[27.06122449 11.93877551] ; [6.93877551 3.06122449],0
a1,1,0.471821,0.517708,[  7 124] ; [ 1 38],[  6.16470588 124.83529412] ; [ 1.83529412 37.16470588],0
p5,1,0.490231,0.47602,[  7 121] ; [ 1 36],[  6.20606061 121.79393939] ; [ 1.79393939 35.20606061],0
s2,1,0.509426,0.435245,[96 34] ; [26 12],[94.4047619 35.5952381] ; [27.5952381 10.4047619],0
v1,1,0.51799,0.417893,[69 54] ; [18 18],[67.30188679 55.69811321] ; [19.69811321 16.30188679],0
v4,1,0.537628,0.379953,[127   4] ; [37  2],[126.37647059   4.62352941] ; [37.62352941  1.37647059],0
s1,1,0.55621,0.34631,[  4 124] ; [ 2 37],[  4.5988024 123.4011976] ; [ 1.4011976 37.5988024],0
b5,1,0.619456,0.246633,[96 35] ; [27 12],[94.78235294 36.21764706] ; [28.21764706 10.78235294],0
r1,1,0.630474,0.231418,[105  25] ; [32  6],[106.01190476  23.98809524] ; [30.98809524  7.01190476],0
b4,1,0.633725,0.227043,[75 56] ; [24 15],[76.28823529 54.71176471] ; [22.71176471 16.28823529],0
r3,1,0.717489,0.130911,[126   5] ; [37  2],[125.60588235   5.39411765] ; [37.39411765  1.60588235],0
r4,1,0.719302,0.129163,[120  11] ; [35  4],[119.44117647  11.55882353] ; [35.55882353  3.44117647],0
s3,1,0.775571,0.081279,[92 37] ; [28 10],[92.69461078 36.30538922] ; [27.30538922 10.69461078],0
b1,1,0.792345,0.069309,[54 77] ; [17 22],[54.71176471 76.28823529] ; [16.28823529 22.71176471],0
p2,1,0.83215,0.044921,[93 38] ; [27 12],[92.47058824 38.52941176] ; [27.52941176 11.47058824],0
a7,1,0.850567,0.035493,[92 39] ; [28 11],[92.47058824 38.52941176] ; [27.52941176 11.47058824],0
s4,1,0.857755,0.032124,[ 25 105] ; [ 7 32],[ 24.61538462 105.38461538] ; [ 7.38461538 31.61538462],0
