Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,28.585682,[137   6] ; [28 14],[127.54054054  15.45945946] ; [37.45945946  4.54054054],1
p9,1,0.0,25.654463,[121  22] ; [19 22],[108.80434783  34.19565217] ; [31.19565217  9.80434783],1
r3,1,6e-06,20.550727,[134   8] ; [29 13],[125.79347826  16.20652174] ; [37.20652174  4.79347826],1
p4,1,2.4e-05,17.85226,[86 59] ; [ 9 32],[74.05913978 70.94086022] ; [20.94086022 20.05913978],1
p8,1,6.9e-05,15.829239,[77 66] ; [ 8 34],[65.7027027 77.2972973] ; [19.2972973 22.7027027],1
d5,1,9.3e-05,15.269693,[103  42] ; [16 26],[92.27272727 52.72727273] ; [26.72727273 15.27272727],1
p10,1,0.000156,14.294183,[116  28] ; [21 20],[106.63783784  37.36216216] ; [30.36216216 10.63783784],1
r4,1,0.000227,13.589901,[124  21] ; [25 17],[115.53475936  29.46524064] ; [33.46524064  8.53475936],1
d3,1,0.000684,11.532738,[84 60] ; [12 30],[74.32258065 69.67741935] ; [21.67741935 20.32258065],1
s1,1,0.000851,11.126947,[  3 140] ; [ 6 34],[  7.03278689 135.96721311] ; [ 1.96721311 38.03278689],1
a7,1,0.002478,9.156674,[95 48] ; [17 25],[86.57297297 56.42702703] ; [25.42702703 16.57297297],0
p7,1,0.004808,7.950215,[93 48] ; [16 23],[85.38333333 55.61666667] ; [23.61666667 15.38333333],0
s7,1,0.015752,5.830326,[61 76] ; [ 9 30],[54.48863636 82.51136364] ; [15.51136364 23.48863636],0
d4,1,0.016907,5.705964,[97 46] ; [20 22],[90.43783784 52.56216216] ; [26.56216216 15.43783784],0
p6,1,0.020335,5.382901,[57 86] ; [ 8 32],[50.79234973 92.20765027] ; [14.20765027 25.79234973],0
s5,1,0.024998,5.024018,[ 38 103] ; [ 4 36],[ 32.71823204 108.28176796] ; [ 9.28176796 30.71823204],0
p3,1,0.025024,5.022198,[66 79] ; [11 31],[59.70588235 85.29411765] ; [17.29411765 24.70588235],0
s6,1,0.027513,4.858317,[98 45] ; [21 21],[91.98378378 51.01621622] ; [27.01621622 14.98378378],0
r2,1,0.036281,4.383863,[130  14] ; [32  9],[126.0972973  17.9027027] ; [35.9027027  5.0972973],0
a1,1,0.041459,4.157164,[  2 143] ; [ 3 39],[  3.87700535 141.12299465] ; [ 1.12299465 40.87700535],0
a6,1,0.042434,4.117794,[81 64] ; [16 26],[75.21390374 69.78609626] ; [21.78609626 20.21390374],0
p11,1,0.047525,3.926716,[109  36] ; [25 17],[103.90374332  41.09625668] ; [30.09625668 11.90374332],0
a4,1,0.078077,3.104484,[ 32 113] ; [ 4 37],[ 28.06451613 116.93548387] ; [ 7.93548387 33.06451613],0
s3,1,0.0814,3.036721,[87 57] ; [18 22],[82.17391304 61.82608696] ; [22.82608696 17.17391304],0
v1,1,0.087385,2.921893,[72 70] ; [15 27],[67.14130435 74.85869565] ; [19.85869565 22.14130435],0
p5,1,0.090049,2.873496,[ 22 123] ; [ 2 38],[ 18.81081081 126.18918919] ; [ 5.18918919 34.81081081],0
s8,1,0.123931,2.366931,[53 92] ; [10 32],[48.85026738 96.14973262] ; [14.14973262 27.85026738],0
a3,1,0.149658,2.075734,[71 73] ; [15 26],[66.94054054 77.05945946] ; [19.05945946 21.94054054],0
r1,1,0.161961,1.955824,[99 45] ; [24 18],[95.22580645 48.77419355] ; [27.77419355 14.22580645],0
n1,1,0.162839,1.947659,[12 22] ; [8 6],[14.16666667 19.83333333] ; [5.83333333 8.16666667],0
d2,1,0.206013,1.599226,[ 31 113] ; [13 29],[ 34.06451613 109.93548387] ; [ 9.93548387 32.06451613],0
v2,1,0.228546,1.449886,[66 72] ; [14 24],[62.72727273 75.27272727] ; [17.27272727 20.72727273],0
s2,1,0.244559,1.354121,[71 73] ; [16 25],[67.71891892 76.28108108] ; [19.28108108 21.71891892],0
d1,1,0.251538,1.314739,[48 97] ; [10 32],[ 44.97326203 100.02673797] ; [13.02673797 28.97326203],0
b1,1,0.259303,1.272474,[55 90] ; [20 22],[58.15508021 86.84491979] ; [16.84491979 25.15508021],0
n6,1,0.291958,1.110571,[120  24] ; [32 10],[117.67741935  26.32258065] ; [34.32258065  7.67741935],0
u2,1,0.314995,1.009617,[38 35] ; [11 16],[35.77 37.23] ; [13.23 13.77],0
a8,1,0.505813,0.442718,[ 19 113] ; [ 4 35],[ 17.75438596 114.24561404] ; [ 5.24561404 33.75438596],0
