Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,54.894035,[85 15] ; [ 4 26],[68.46153846 31.53846154] ; [20.53846154  9.46153846],1
r3,1,0.0,44.947712,[88 12] ; [ 8 22],[73.84615385 26.15384615] ; [22.15384615  7.84615385],1
p2,1,3.5e-05,17.132573,[63 37] ; [ 6 24],[53.07692308 46.92307692] ; [15.92307692 14.07692308],1
r2,1,4.3e-05,16.737204,[88 11] ; [16 13],[80.4375 18.5625] ; [23.5625  5.4375],1
r1,1,0.001093,10.663142,[69 30] ; [11 19],[61.39534884 37.60465116] ; [18.60465116 11.39534884],0
n6,1,0.001153,10.564756,[68 32] ; [10 19],[60.46511628 39.53488372] ; [17.53488372 11.46511628],0
u3,1,0.001288,10.358936,[28 16] ; [ 2 12],[22.75862069 21.24137931] ; [7.24137931 6.75862069],0
s6,1,0.002261,9.32441,[47 51] ; [ 5 25],[39.8125 58.1875] ; [12.1875 17.8125],0
n2,1,0.004347,8.133013,[28 14] ; [ 4 12],[23.17241379 18.82758621] ; [8.82758621 7.17241379],0
a1,1,0.009622,6.703591,[ 5 95] ; [ 6 24],[ 8.46153846 91.53846154] ; [ 2.53846154 27.46153846],0
p11,1,0.016465,5.752566,[48 52] ; [ 7 23],[42.30769231 57.69230769] ; [12.69230769 17.30769231],0
p4,1,0.036735,4.362644,[37 63] ; [ 5 25],[32.30769231 67.69230769] ; [ 9.69230769 20.30769231],0
d5,1,0.037012,4.349869,[67 32] ; [14 16],[62.1627907 36.8372093] ; [18.8372093 11.1627907],0
p9,1,0.038905,4.265028,[35 60] ; [ 5 25],[30.4 64.6] ; [ 9.6 20.4],0
p6,1,0.043229,4.086434,[24 76] ; [ 2 27],[20.15503876 79.84496124] ; [ 5.84496124 23.15503876],0
s7,1,0.059907,3.539958,[28 66] ; [ 3 23],[24.28333333 69.71666667] ; [ 6.71666667 19.28333333],0
n3,1,0.061764,3.489382,[23 16] ; [ 5 11],[19.85454545 19.14545455] ; [8.14545455 7.85454545],0
p3,1,0.069213,3.301587,[34 66] ; [ 5 25],[30. 70.] ; [ 9. 21.],0
s8,1,0.080878,3.047171,[20 78] ; [ 2 28],[16.84375 81.15625] ; [ 5.15625 24.84375],0
p7,1,0.089192,2.888889,[44 56] ; [ 8 22],[40. 60.] ; [12. 18.],0
u2,1,0.109462,2.561975,[20 24] ; [ 3 11],[17.44827586 26.55172414] ; [5.55172414 8.44827586],0
b5,1,0.110332,2.549457,[63 37] ; [14 16],[59.23076923 40.76923077] ; [17.76923077 12.23076923],0
d4,1,0.122168,2.389303,[68 31] ; [16 14],[64.46511628 34.53488372] ; [19.53488372 10.46511628],0
a7,1,0.130023,2.292225,[59 41] ; [13 17],[55.38461538 44.61538462] ; [16.61538462 13.38461538],0
