Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000745,11.37292,[ 6 28] ; [10  5],[11.10204082 22.89795918] ; [ 4.89795918 10.10204082],1
p10,1,0.003912,8.324235,[12 22] ; [12  3],[16.65306122 17.34693878] ; [7.34693878 7.65306122],0
p3,1,0.005459,7.720588,[ 7 28] ; [9 6],[11.2 23.8] ; [ 4.8 10.2],0
p8,1,0.010818,6.494902,[ 6 28] ; [8 7],[ 9.71428571 24.28571429] ; [ 4.28571429 10.71428571],0
p9,1,0.015445,5.864971,[14 19] ; [12  3],[17.875 15.125] ; [8.125 6.875],0
p11,1,0.030754,4.666667,[14 21] ; [11  4],[17.5 17.5] ; [7.5 7.5],0
s2,1,0.040325,4.204159,[ 8 26] ; [8 7],[11.10204082 22.89795918] ; [ 4.89795918 10.10204082],0
v4,1,0.041317,4.162954,[23 12] ; [14  1],[25.9  9.1] ; [11.1  3.9],0
p6,1,0.072331,3.229303,[ 4 30] ; [ 5 10],[ 6.24489796 27.75510204] ; [ 2.75510204 12.24489796],0
a3,1,0.119471,2.424242,[19 14] ; [ 5 10],[16.5 16.5] ; [7.5 7.5],0
a5,1,0.122823,2.380952,[15 20] ; [10  5],[17.5 17.5] ; [7.5 7.5],0
s3,1,0.126598,2.333737,[10 23] ; [8 7],[12.375 20.625] ; [5.625 9.375],0
p12,1,0.152885,2.043229,[ 1 34] ; [ 2 13],[ 2.1 32.9] ; [ 0.9 14.1],0
r4,1,0.171285,1.871658,[21 14] ; [12  3],[23.1 11.9] ; [9.9 5.1],0
s1,1,0.172077,1.864757,[ 8 27] ; [ 1 14],[ 6.3 28.7] ; [ 2.7 12.3],0
s4,1,0.178022,1.814059,[ 4 31] ; [ 4 11],[ 5.6 29.4] ; [ 2.4 12.6],0
u3,1,0.191473,1.70625,[7 9] ; [7 3],[8.61538462 7.38461538] ; [5.38461538 4.61538462],0
a7,1,0.193493,1.690821,[14 21] ; [9 6],[16.1 18.9] ; [6.9 8.1],0
s6,1,0.223665,1.4807,[14 20] ; [9 6],[15.95918367 18.04081633] ; [7.04081633 7.95918367],0
a4,1,0.227723,1.455026,[10 24] ; [ 2 13],[ 8.32653061 25.67346939] ; [ 3.67346939 11.32653061],0
b3,1,0.22844,1.450549,[10 16] ; [1 6],[ 8.66666667 17.33333333] ; [2.33333333 4.66666667],0
b2,1,0.22844,1.450549,[10 16] ; [1 6],[ 8.66666667 17.33333333] ; [2.33333333 4.66666667],0
b4,1,0.239405,1.384096,[18 17] ; [ 5 10],[16.1 18.9] ; [6.9 8.1],0
a6,1,0.239405,1.384096,[17 18] ; [10  5],[18.9 16.1] ; [8.1 6.9],0
s8,1,0.311716,1.023392,[ 7 28] ; [ 5 10],[ 8.4 26.6] ; [ 3.6 11.4],0
d2,1,0.312422,1.020408,[12 23] ; [ 3 12],[10.5 24.5] ; [ 4.5 10.5],0
p4,1,0.312422,1.020408,[ 9 26] ; [6 9],[10.5 24.5] ; [ 4.5 10.5],0
v1,1,0.324982,0.968791,[13 21] ; [8 7],[14.57142857 19.42857143] ; [6.42857143 8.57142857],0
p1,1,0.327912,0.957127,[ 6 29] ; [ 1 14],[ 4.9 30.1] ; [ 2.1 12.9],0
n6,1,0.368066,0.810185,[21 14] ; [11  4],[22.4 12.6] ; [9.6 5.4],0
s5,1,0.473453,0.513906,[ 4 29] ; [ 3 12],[ 4.8125 28.1875] ; [ 2.1875 12.8125],0
n4,1,0.557659,0.343774,[24 11] ; [9 6],[23.1 11.9] ; [9.9 5.1],0
p5,1,0.586893,0.295223,[ 4 30] ; [ 1 14],[ 3.46938776 30.53061224] ; [ 1.53061224 13.46938776],0
v3,1,0.604252,0.268631,[11 23] ; [6 9],[11.79591837 22.20408163] ; [5.20408163 9.79591837],0
d3,1,0.613505,0.255102,[ 5 30] ; [ 3 12],[ 5.6 29.4] ; [ 2.4 12.6],0
b5,1,0.621189,0.2442,[19 16] ; [7 8],[18.2 16.8] ; [7.8 7.2],0
r1,1,0.709131,0.139147,[19 16] ; [9 6],[19.6 15.4] ; [8.4 6.6],0
r2,1,0.73633,0.113379,[29  6] ; [13  2],[29.4  5.6] ; [12.6  2.4],0
d5,1,0.73633,0.113379,[11 24] ; [ 4 11],[10.5 24.5] ; [ 4.5 10.5],0
u2,1,0.768458,0.086667,[ 4 12] ; [2 8],[ 3.69230769 12.30769231] ; [2.30769231 7.69230769],0
n5,1,0.82315,0.04995,[27  8] ; [12  3],[27.3  7.7] ; [11.7  3.3],0
a8,1,0.87731,0.023833,[ 4 30] ; [ 2 13],[ 4.16326531 29.83673469] ; [ 1.83673469 13.16326531],0
s7,1,0.883598,0.021436,[ 7 25] ; [ 3 12],[ 6.80851064 25.19148936] ; [ 3.19148936 11.80851064],0
n1,1,0.929308,0.00787,[7 8] ; [1 1],[7.05882353 7.94117647] ; [0.94117647 1.05882353],0
b1,1,0.950627,0.003834,[19 16] ; [8 7],[18.9 16.1] ; [8.1 6.9],0
