Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,7.2e-05,15.752356,[47  6] ; [5 8],[41.75757576 11.24242424] ; [10.24242424  2.75757576],1
r4,1,0.001165,10.544442,[50  3] ; [8 5],[46.57575758  6.42424242] ; [11.42424242  1.57575758],0
s6,1,0.002194,9.379961,[40 11] ; [4 8],[35.61904762 15.38095238] ; [8.38095238 3.61904762],0
v1,1,0.007703,7.101212,[30 23] ; [ 2 11],[25.6969697 27.3030303] ; [6.3030303 6.6969697],0
d1,1,0.024214,5.079248,[38 15] ; [5 8],[34.53030303 18.46969697] ; [8.46969697 4.53030303],0
a5,1,0.025963,4.958498,[41 12] ; [6 7],[37.74242424 15.25757576] ; [9.25757576 3.74242424],0
a3,1,0.029133,4.759725,[40 12] ; [6 7],[36.8 15.2] ; [9.2 3.8],0
n4,1,0.039668,4.232046,[43 10] ; [7 6],[40.15151515 12.84848485] ; [9.84848485 3.15151515],0
v4,1,0.050294,3.83164,[50  3] ; [10  3],[48.18181818  4.81818182] ; [11.81818182  1.18181818],0
a4,1,0.054702,3.691147,[32 21] ; [4 9],[28.90909091 24.09090909] ; [7.09090909 5.90909091],0
s4,1,0.060569,3.521728,[11 42] ; [6 7],[13.65151515 39.34848485] ; [3.34848485 9.65151515],0
d2,1,0.07998,3.065312,[38 15] ; [6 7],[35.33333333 17.66666667] ; [8.66666667 4.33333333],0
n6,1,0.09702,2.753852,[43  9] ; [8 5],[40.8 11.2] ; [10.2  2.8],0
s8,1,0.106822,2.600616,[29 23] ; [4 9],[26.4 25.6] ; [6.6 6.4],0
n5,1,0.133639,2.249714,[39 13] ; [7 6],[36.8 15.2] ; [9.2 3.8],0
p4,1,0.143671,2.138192,[36 17] ; [6 7],[33.72727273 19.27272727] ; [8.27272727 4.72727273],0
v3,1,0.151901,2.053058,[20 32] ; [ 2 10],[17.875 34.125] ; [4.125 7.875],0
a2,1,0.155725,2.01526,[19 34] ; [ 2 11],[16.86363636 36.13636364] ; [4.13636364 8.86363636],0
a7,1,0.175687,1.833736,[41 12] ; [7 5],[39.13846154 13.86153846] ; [8.86153846 3.13846154],0
b5,1,0.191517,1.705913,[35 18] ; [11  2],[36.93939394 16.06060606] ; [9.06060606 3.93939394],0
p8,1,0.191533,1.705786,[27 26] ; [4 9],[24.89393939 28.10606061] ; [6.10606061 6.89393939],0
b1,1,0.191533,1.705786,[26 27] ; [9 4],[28.10606061 24.89393939] ; [6.89393939 6.10606061],0
s7,1,0.232641,1.42464,[35 13] ; [6 5],[33.3559322 14.6440678] ; [7.6440678 3.3559322],0
u1,1,0.233629,1.418629,[17 36] ; [ 2 11],[15.25757576 37.74242424] ; [3.74242424 9.25757576],0
r2,1,0.242933,1.363495,[52  1] ; [11  1],[51.36923077  1.63076923] ; [11.63076923  0.36923077],0
r3,1,0.244551,1.354167,[49  3] ; [11  2],[48.  4.] ; [12.  1.],0
u3,1,0.250829,1.318681,[9 4] ; [3 4],[7.8 5.2] ; [4.2 2.8],0
v2,1,0.289738,1.120837,[33 20] ; [6 7],[31.31818182 21.68181818] ; [7.68181818 5.31818182],0
d3,1,0.338842,0.914808,[41 12] ; [7 4],[39.75 13.25] ; [8.25 2.75],0
s3,1,0.352444,0.86464,[32 21] ; [6 7],[30.51515152 22.48484848] ; [7.48484848 5.51515152],0
n2,1,0.372374,0.795726,[11  4] ; [2 2],[10.26315789  4.73684211] ; [2.73684211 1.26315789],0
s2,1,0.412864,0.670537,[35 18] ; [7 6],[33.72727273 19.27272727] ; [8.27272727 4.72727273],0
p10,1,0.475056,0.510191,[38 15] ; [8 5],[36.93939394 16.06060606] ; [9.06060606 3.93939394],0
p3,1,0.577774,0.309847,[33 20] ; [7 6],[32.12121212 20.87878788] ; [7.87878788 5.12121212],0
b4,1,0.579326,0.307326,[29 24] ; [6 7],[28.10606061 24.89393939] ; [6.89393939 6.10606061],0
d5,1,0.631559,0.229953,[43 10] ; [9 3],[42.4 10.6] ; [9.6 2.4],0
a8,1,0.639149,0.219857,[ 6 39] ; [ 1 11],[ 5.52631579 39.47368421] ; [ 1.47368421 10.52631579],0
u2,1,0.658273,0.195629,[8 5] ; [5 2],[8.45 4.55] ; [4.55 2.45],0
p7,1,0.672038,0.179228,[39 13] ; [9 4],[38.4 13.6] ; [9.6 3.4],0
p1,1,0.705765,0.142544,[ 6 46] ; [ 2 11],[ 6.4 45.6] ; [ 1.6 11.4],0
s5,1,0.776171,0.080833,[22 27] ; [4 6],[21.59322034 27.40677966] ; [4.40677966 5.59322034],0
a6,1,0.826767,0.047896,[35 18] ; [9 4],[35.33333333 17.66666667] ; [8.66666667 4.33333333],0
p2,1,0.854379,0.033685,[42 11] ; [10  3],[41.75757576 11.24242424] ; [10.24242424  2.75757576],0
b2,1,0.8891,0.019444,[13 17] ; [2 3],[12.85714286 17.14285714] ; [2.14285714 2.85714286],0
b3,1,0.8891,0.019444,[13 17] ; [2 3],[12.85714286 17.14285714] ; [2.14285714 2.85714286],0
n1,1,0.905565,0.014074,[8 7] ; [2 2],[7.89473684 7.10526316] ; [2.10526316 1.89473684],0
p9,1,0.97322,0.001127,[41 12] ; [10  3],[40.95454545 12.04545455] ; [10.04545455  2.95454545],0
