Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,80.608113,[  7 101] ; [46 18],[33.27906977 74.72093023] ; [19.72093023 44.27906977],1
s6,1,0.0,30.196662,[34 75] ; [47 16],[51.33139535 57.66860465] ; [29.66860465 33.33139535],1
r2,1,0.00126,10.400614,[87 23] ; [62  2],[94.1954023 15.8045977] ; [54.8045977  9.1954023],0
r4,1,0.001312,10.32494,[74 36] ; [57  7],[82.81609195 27.18390805] ; [48.18390805 15.81609195],0
s8,1,0.001958,9.588316,[17 93] ; [23 41],[25.28735632 84.71264368] ; [14.71264368 49.28735632],0
s7,1,0.002221,9.357312,[21 86] ; [25 35],[29.47305389 77.52694611] ; [16.52694611 43.47305389],0
b3,1,0.008771,6.868813,[28 30] ; [ 5 22],[22.51764706 35.48235294] ; [10.48235294 16.51764706],0
b2,1,0.008771,6.868813,[28 30] ; [ 5 22],[22.51764706 35.48235294] ; [10.48235294 16.51764706],0
s4,1,0.01472,5.949618,[12 98] ; [16 48],[17.70114943 92.29885057] ; [10.29885057 53.70114943],0
r3,1,0.02196,5.248958,[86 23] ; [59  5],[91.3583815 17.6416185] ; [53.6416185 10.3583815],0
p2,1,0.024766,5.040176,[62 48] ; [47 17],[68.90804598 41.09195402] ; [40.09195402 23.90804598],0
s5,1,0.032445,4.574806,[15 90] ; [17 44],[20.24096386 84.75903614] ; [11.75903614 49.24096386],0
v4,1,0.035396,4.425973,[88 22] ; [58  5],[92.83236994 17.16763006] ; [53.16763006  9.83236994],0
p10,1,0.08712,2.926808,[63 44] ; [46 18],[68.20467836 38.79532164] ; [40.79532164 23.20467836],0
a5,1,0.110273,2.5503,[55 55] ; [40 24],[60.05747126 49.94252874] ; [34.94252874 29.05747126],0
v1,1,0.116664,2.461539,[39 69] ; [30 32],[43.83529412 64.16470588] ; [25.16470588 36.83529412],0
n2,1,0.118004,2.443609,[24 12] ; [14  2],[26.30769231  9.69230769] ; [11.69230769  4.30769231],0
r1,1,0.138812,2.191079,[65 45] ; [45 19],[69.54022989 40.45977011] ; [40.45977011 23.54022989],0
b1,1,0.138812,2.191079,[45 65] ; [19 45],[40.45977011 69.54022989] ; [23.54022989 40.45977011],0
p9,1,0.14481,2.126092,[72 35] ; [49 14],[76.15882353 30.84117647] ; [44.84117647 18.15882353],0
v2,1,0.146926,2.103875,[34 72] ; [26 34],[38.31325301 67.68674699] ; [21.68674699 38.31325301],0
a8,1,0.153226,2.039835,[11 94] ; [11 49],[14. 91.] ; [ 8. 52.],0
b4,1,0.165928,1.919353,[64 46] ; [44 20],[68.27586207 41.72413793] ; [39.72413793 24.27586207],0
u3,1,0.188607,1.728462,[25 30] ; [17 11],[27.8313253 27.1686747] ; [14.1686747 13.8313253],0
a1,1,0.256974,1.284986,[  8 102] ; [ 2 62],[  6.32183908 103.67816092] ; [ 3.67816092 60.32183908],0
a7,1,0.266259,1.235917,[61 49] ; [41 23],[64.48275862 45.51724138] ; [37.51724138 26.48275862],0
n3,1,0.279763,1.168243,[20 15] ; [11  4],[21.7 13.3] ; [9.3 5.7],0
n1,1,0.298291,1.081818,[14 21] ; [ 4 12],[12.35294118 22.64705882] ; [ 5.64705882 10.35294118],0
p8,1,0.301935,1.065626,[26 83] ; [11 53],[23.31213873 85.68786127] ; [13.68786127 50.31213873],0
n4,1,0.320533,0.986768,[71 39] ; [46 18],[73.96551724 36.03448276] ; [43.03448276 20.96551724],0
p3,1,0.348514,0.878859,[24 86] ; [18 46],[26.55172414 83.44827586] ; [15.44827586 48.55172414],0
p11,1,0.357224,0.84763,[68 42] ; [44 20],[70.8045977 39.1954023] ; [41.1954023 22.8045977],0
p6,1,0.385984,0.751555,[11 98] ; [ 4 60],[ 9.45086705 99.54913295] ; [ 5.54913295 58.45086705],0
p4,1,0.442303,0.5903,[35 74] ; [17 47],[32.76300578 76.23699422] ; [19.23699422 44.76300578],0
v3,1,0.446203,0.580279,[27 80] ; [19 43],[29.12426036 77.87573964] ; [16.87573964 45.12426036],0
a3,1,0.461426,0.542434,[55 54] ; [36 28],[57.33526012 51.66473988] ; [33.66473988 30.33526012],0
p5,1,0.479249,0.500572,[  6 104] ; [ 2 62],[  5.05747126 104.94252874] ; [ 2.94252874 61.05747126],0
p12,1,0.488913,0.478917,[  3 106] ; [ 3 60],[  3.80232558 105.19767442] ; [ 2.19767442 60.80232558],0
a2,1,0.624445,0.239669,[  5 105] ; [ 4 60],[  5.68965517 104.31034483] ; [ 3.31034483 60.68965517],0
s1,1,0.653967,0.200935,[  7 102] ; [ 3 60],[  6.3372093 102.6627907] ; [ 3.6627907 59.3372093],0
n6,1,0.670943,0.180501,[75 34] ; [46 18],[76.23699422 32.76300578] ; [44.76300578 19.23699422],0
b5,1,0.744495,0.106215,[66 44] ; [40 24],[67.01149425 42.98850575] ; [38.98850575 25.01149425],0
d5,1,0.753198,0.098864,[56 54] ; [31 33],[55. 55.] ; [32. 32.],0
p1,1,0.758611,0.094436,[10 99] ; [ 5 59],[ 9.45086705 99.54913295] ; [ 5.54913295 58.45086705],0
d2,1,0.758805,0.09428,[19 90] ; [10 54],[18.2716763 90.7283237] ; [10.7283237 53.2716763],0
u2,1,0.809272,0.058257,[26 29] ; [12 15],[25.48780488 29.51219512] ; [12.51219512 14.48780488],0
a6,1,0.877531,0.023747,[64 46] ; [38 26],[64.48275862 45.51724138] ; [37.51724138 26.48275862],0
d3,1,0.880846,0.022469,[40 70] ; [24 40],[40.45977011 69.54022989] ; [23.54022989 40.45977011],0
u1,1,0.900571,0.01561,[  2 108] ; [ 1 63],[  1.89655172 108.10344828] ; [ 1.10344828 62.89655172],0
