Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,110.538536,[ 90 134] ; [451 121],[152.24120603  71.75879397] ; [388.75879397 183.24120603],1
d3,1,0.0,101.417456,[ 94 130] ; [451 121],[153.36683417  70.63316583] ; [391.63316583 180.36683417],1
a2,1,0.0,37.512996,[ 20 204] ; [169 405],[ 53.05263158 170.94736842] ; [135.94736842 438.05263158],1
b5,1,0.0,29.132005,[106 118] ; [390 184],[139.22807018  84.77192982] ; [356.77192982 217.22807018],1
u1,1,0.0,27.823128,[ 13 211] ; [123 451],[ 38.1754386 185.8245614] ; [ 97.8245614 476.1754386],1
d1,1,2e-06,22.367649,[ 98 126] ; [357 217],[127.71929825  96.28070175] ; [327.28070175 246.71929825],1
r4,1,1.9e-05,18.253969,[186  38] ; [534  40],[202.10526316  21.89473684] ; [517.89473684  56.10526316],1
d4,1,5.5e-05,16.256734,[161  62] ; [485  88],[180.97738693  42.02261307] ; [465.02261307 107.97738693],1
r1,1,9.3e-05,15.269956,[158  66] ; [473  97],[178.01511335  45.98488665] ; [452.98488665 117.01511335],1
d5,1,0.000352,12.770619,[161  62] ; [478  95],[179.01633166  43.98366834] ; [459.98366834 113.01633166],1
b1,1,0.001788,9.755096,[104 120] ; [198 376],[ 84.77192982 139.22807018] ; [217.22807018 356.77192982],0
r3,1,0.002547,9.106309,[204  20] ; [551  21],[212.46231156  11.53768844] ; [542.53768844  29.46231156],0
u3,1,0.002994,8.81093,[31 40] ; [110  61],[41.3677686 29.6322314] ; [99.6322314 71.3677686],0
p2,1,0.005681,7.648684,[168  54] ; [482  91],[181.50943396  40.49056604] ; [468.49056604 104.50943396],0
p10,1,0.012587,6.226263,[159  61] ; [457 111],[171.97969543  48.02030457] ; [444.02030457 123.97969543],0
p4,1,0.015955,5.80782,[106 114] ; [330 242],[121.11111111  98.88888889] ; [314.88888889 257.11111111],0
r2,1,0.01802,5.594246,[204  17] ; [549  21],[210.38305942  10.61694058] ; [542.61694058  27.38305942],0
v2,1,0.020592,5.360984,[104 111] ; [317 233],[118.32026144  96.67973856] ; [302.67973856 247.32026144],0
s5,1,0.0299,4.71501,[ 75 138] ; [152 406],[ 62.71206226 150.28793774] ; [164.28793774 393.71206226],0
a5,1,0.048857,3.880244,[149  75] ; [422 152],[160.28070175  63.71929825] ; [410.71929825 163.28070175],0
p9,1,0.066171,3.375544,[171  49] ; [471  94],[179.92356688  40.07643312] ; [462.07643312 102.92356688],0
n6,1,0.182564,1.776626,[177  46] ; [477  95],[183.4490566  39.5509434] ; [470.5509434 101.4490566],0
n2,1,0.189408,1.722217,[57 15] ; [89 37],[53.09090909 18.90909091] ; [92.90909091 33.09090909],0
s8,1,0.190457,1.714079,[100 123] ; [227 344],[ 91.84005038 131.15994962] ; [235.15994962 335.84005038],0
s6,1,0.195039,1.679138,[133  86] ; [373 195],[140.80559085  78.19440915] ; [365.19440915 202.80559085],0
b2,1,0.22616,1.464849,[55 85] ; [108 215],[49.28725702 90.71274298] ; [113.71274298 209.28725702],0
b3,1,0.22616,1.464849,[55 85] ; [108 215],[49.28725702 90.71274298] ; [113.71274298 209.28725702],0
p8,1,0.245621,1.348038,[ 99 120] ; [282 284],[106.29171975 112.70828025] ; [274.70828025 291.29171975],0
b4,1,0.25611,1.289664,[122 102] ; [338 236],[129.12280702  94.87719298] ; [330.87719298 243.12280702],0
a1,1,0.28546,1.14091,[ 11 213] ; [ 19 555],[  8.42105263 215.57894737] ; [ 21.57894737 552.42105263],0
n3,1,0.302624,1.062597,[48 22] ; [95 31],[51.07142857 18.92857143] ; [91.92857143 34.07142857],0
u4,1,0.304754,1.053275,[  2 222] ; [ 11 563],[  3.64912281 220.35087719] ; [  9.35087719 564.64912281],0
s2,1,0.362434,0.829443,[103 119] ; [284 284],[108.75189873 113.24810127] ; [278.24810127 289.75189873],0
p3,1,0.365814,0.817834,[ 95 128] ; [264 308],[100.70062893 122.29937107] ; [258.29937107 313.70062893],0
s7,1,0.432145,0.617051,[101 112] ; [243 306],[ 96.15748031 116.84251969] ; [247.84251969 301.15748031],0
a8,1,0.46352,0.537381,[ 24 189] ; [ 68 445],[ 26.99173554 186.00826446] ; [ 65.00826446 447.99173554],0
s1,1,0.475598,0.50894,[  8 213] ; [ 15 548],[  6.48341837 214.51658163] ; [ 16.51658163 546.48341837],0
u2,1,0.527243,0.399703,[37 33] ; [98 73],[39.21161826 30.78838174] ; [95.78838174 75.21161826],0
n5,1,0.590415,0.289697,[162  60] ; [405 165],[158.93181818  63.06818182] ; [408.06818182 161.93181818],0
v1,1,0.627245,0.235816,[108 111] ; [287 273],[111.04621309 107.95378691] ; [283.95378691 276.04621309],0
s4,1,0.65751,0.196563,[ 42 181] ; [ 99 467],[ 39.85171103 183.14828897] ; [101.14828897 464.85171103],0
p7,1,0.670973,0.180466,[131  88] ; [343 215],[133.5984556  85.4015444] ; [340.4015444 217.5984556],0
p11,1,0.679147,0.171088,[169  55] ; [441 133],[171.22807018  52.77192982] ; [438.77192982 135.22807018],0
a3,1,0.691106,0.15789,[153  70] ; [400 171],[155.31360202  67.68639798] ; [397.68639798 173.31360202],0
d2,1,0.729243,0.119808,[103 120] ; [272 300],[105.18867925 117.81132075] ; [269.81132075 302.18867925],0
a4,1,0.729289,0.119765,[ 96 127] ; [254 318],[ 98.17610063 124.82389937] ; [251.82389937 320.17610063],0
v3,1,0.74796,0.103253,[ 77 139] ; [204 349],[ 78.92847854 137.07152146] ; [202.07152146 350.92847854],0
n1,1,0.754478,0.097806,[26 45] ; [43 82],[24.99489796 46.00510204] ; [44.00510204 80.99489796],0
s3,1,0.811565,0.056838,[118 103] ; [307 258],[119.49745547 101.50254453] ; [305.50254453 259.49745547],0
p12,1,0.813424,0.055701,[ 11 209] ; [ 31 541],[ 11.66666667 208.33333333] ; [ 30.33333333 541.66666667],0
n4,1,0.844642,0.0384,[163  60] ; [422 150],[164.09433962  58.90566038] ; [420.90566038 151.09433962],0
p1,1,0.942162,0.005264,[ 13 210] ; [ 34 536],[ 13.21689786 209.78310214] ; [ 33.78310214 536.21689786],0
p6,1,0.957703,0.002813,[ 72 145] ; [187 380],[ 71.6875 145.3125] ; [187.3125 379.6875],0
