Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,4e-06,21.256226,[22 11] ; [ 4 30],[12.80597015 20.19402985] ; [13.19402985 20.80597015],1
d4,1,3.5e-05,17.144188,[32  1] ; [18 16],[24.62686567  8.37313433] ; [25.37313433  8.62686567],1
a5,1,4.4e-05,16.691152,[27  6] ; [11 23],[18.71641791 14.28358209] ; [19.28358209 14.71641791],1
a3,1,0.000277,13.221353,[27  6] ; [13 21],[19.70149254 13.29850746] ; [20.29850746 13.70149254],1
d3,1,0.000643,11.647372,[27  6] ; [13 19],[20.30769231 12.69230769] ; [19.69230769 12.30769231],1
s6,1,0.009823,6.666667,[25  7] ; [15 17],[20. 12.] ; [20. 12.],0
s8,1,0.01023,6.594387,[22 11] ; [12 22],[16.74626866 16.25373134] ; [17.25373134 16.74626866],0
v1,1,0.014239,6.008285,[19 13] ; [10 24],[14.06060606 17.93939394] ; [14.93939394 19.06060606],0
s3,1,0.020346,5.381995,[21 12] ; [12 22],[16.25373134 16.74626866] ; [16.74626866 17.25373134],0
a4,1,0.03318,4.536473,[16 17] ; [ 8 26],[11.82089552 21.17910448] ; [12.17910448 21.82089552],0
v3,1,0.037429,4.330764,[16 15] ; [ 9 25],[11.92307692 19.07692308] ; [13.07692308 20.92307692],0
v2,1,0.042014,4.134641,[21 10] ; [14 19],[16.953125 14.046875] ; [18.046875 14.953125],0
n4,1,0.045936,3.983942,[26  7] ; [19 15],[22.1641791 10.8358209] ; [22.8358209 11.1641791],0
p9,1,0.063621,3.440386,[30  3] ; [25  9],[27.08955224  5.91044776] ; [27.91044776  6.08955224],0
s5,1,0.082096,3.022914,[14 14] ; [ 9 23],[10.73333333 17.26666667] ; [12.26666667 19.73333333],0
p4,1,0.127925,2.317506,[26  7] ; [21 13],[23.14925373  9.85074627] ; [23.85074627 10.14925373],0
r2,1,0.14322,2.143017,[30  2] ; [27  6],[28.06153846  3.93846154] ; [28.93846154  4.06153846],0
b4,1,0.159402,1.979887,[23 10] ; [18 16],[20.19402985 12.80597015] ; [20.80597015 13.19402985],0
n5,1,0.174051,1.847704,[26  7] ; [21 12],[23.5  9.5] ; [23.5  9.5],0
s2,1,0.176747,1.824767,[20 13] ; [15 19],[17.23880597 15.76119403] ; [17.76119403 16.23880597],0
p2,1,0.182968,1.773348,[25  8] ; [30  4],[27.08955224  5.91044776] ; [27.91044776  6.08955224],0
p7,1,0.199147,1.648621,[21 12] ; [25  7],[23.35384615  9.64615385] ; [22.64615385  9.35384615],0
r4,1,0.217058,1.523716,[25  8] ; [21 13],[22.65671642 10.34328358] ; [23.34328358 10.65671642],0
n6,1,0.254573,1.298032,[28  5] ; [25  9],[26.10447761  6.89552239] ; [26.89552239  7.10447761],0
p3,1,0.260052,1.268479,[21 12] ; [17 17],[18.71641791 14.28358209] ; [19.28358209 14.71641791],0
p1,1,0.261421,1.261218,[ 6 27] ; [ 3 31],[ 4.43283582 28.56716418] ; [ 4.56716418 29.43283582],0
a8,1,0.265092,1.241971,[ 2 29] ; [ 5 28],[ 3.390625 27.609375] ; [ 3.609375 29.390625],0
u3,1,0.35188,0.866667,[4 2] ; [ 9 11],[3. 3.] ; [10. 10.],0
p11,1,0.385963,0.751624,[28  5] ; [26  8],[26.59701493  6.40298507] ; [27.40298507  6.59701493],0
n2,1,0.386476,0.75,[9 3] ; [7 5],[8. 4.] ; [8. 4.],0
b5,1,0.394121,0.726189,[19 14] ; [23 11],[20.68656716 12.31343284] ; [21.31343284 12.68656716],0
p5,1,0.478563,0.502136,[ 3 30] ; [ 5 29],[ 3.94029851 29.05970149] ; [ 4.05970149 29.94029851],0
b1,1,0.534095,0.386594,[14 19] ; [17 17],[15.26865672 17.73134328] ; [15.73134328 18.26865672],0
s7,1,0.546824,0.363037,[19 14] ; [15 15],[17.80952381 15.19047619] ; [16.19047619 13.80952381],0
