Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-05,18.218711,[52  8] ; [11 15],[43.95348837 16.04651163] ; [19.04651163  6.95348837],1
n6,1,0.000937,10.948127,[52  8] ; [14 12],[46.04651163 13.95348837] ; [19.95348837  6.04651163],1
r4,1,0.003635,8.45753,[43 17] ; [10 16],[36.97674419 23.02325581] ; [16.02325581  9.97674419],0
n1,1,0.01032,6.578892,[8 3] ; [ 3 11],[4.84 6.16] ; [6.16 7.84],0
r3,1,0.018307,5.566489,[53  6] ; [18  8],[49.28235294  9.71764706] ; [21.71764706  4.28235294],0
u3,1,0.018569,5.541669,[ 8 13] ; [9 2],[11.15625  9.84375] ; [5.84375 5.15625],0
v2,1,0.031211,4.641345,[41 17] ; [12 14],[36.5952381 21.4047619] ; [16.4047619  9.5952381],0
p11,1,0.031833,4.607485,[48 12] ; [15 11],[43.95348837 16.04651163] ; [19.04651163  6.95348837],0
n3,1,0.048398,3.896104,[9 2] ; [6 8],[6.6 4.4] ; [8.4 5.6],0
s4,1,0.056352,3.641612,[ 8 52] ; [ 8 18],[11.1627907 48.8372093] ; [ 4.8372093 21.1627907],0
r2,1,0.06699,3.355282,[50  8] ; [18  8],[46.95238095 11.04761905] ; [21.04761905  4.95238095],0
p7,1,0.08041,3.056605,[37 22] ; [11 15],[33.31764706 25.68235294] ; [14.68235294 11.31764706],0
v3,1,0.100736,2.693856,[29 29] ; [ 8 18],[25.54761905 32.45238095] ; [11.45238095 14.54761905],0
p2,1,0.109704,2.558482,[48 11] ; [17  9],[45.11764706 13.88235294] ; [19.88235294  6.11764706],0
p8,1,0.14608,2.112712,[30 28] ; [ 9 17],[26.92857143 31.07142857] ; [12.07142857 13.92857143],0
s3,1,0.171182,1.872561,[35 25] ; [11 15],[32.09302326 27.90697674] ; [13.90697674 12.09302326],0
p5,1,0.205797,1.600751,[11 49] ; [ 2 24],[ 9.06976744 50.93023256] ; [ 3.93023256 22.06976744],0
p4,1,0.272525,1.203995,[37 22] ; [13 13],[34.70588235 24.29411765] ; [15.29411765 10.70588235],0
p10,1,0.30725,1.042461,[48 10] ; [19  7],[46.26190476 11.73809524] ; [20.73809524  5.26190476],0
p6,1,0.355522,0.853648,[22 35] ; [ 7 18],[20.15853659 36.84146341] ; [ 8.84146341 16.15853659],0
d5,1,0.366834,0.814363,[47 13] ; [18  8],[45.34883721 14.65116279] ; [19.65116279  6.34883721],0
s6,1,0.395092,0.723214,[39 17] ; [15 10],[37.33333333 18.66666667] ; [16.66666667  8.33333333],0
b2,1,0.448292,0.574967,[12 26] ; [6 8],[13.15384615 24.84615385] ; [4.84615385 9.15384615],0
b3,1,0.448292,0.574967,[12 26] ; [6 8],[13.15384615 24.84615385] ; [4.84615385 9.15384615],0
