Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,7.3e-05,15.736516,[20 64] ; [82 82],[34.5483871 49.4516129] ; [67.4516129 96.5483871],1
a6,1,0.003212,8.682845,[39 45] ; [108  56],[49.79032258 34.20967742] ; [97.20967742 66.79032258],0
b3,1,0.007795,7.079982,[24 28] ; [20 63],[16.94814815 35.05185185] ; [27.05185185 55.94814815],0
b2,1,0.007795,7.079982,[24 28] ; [20 63],[16.94814815 35.05185185] ; [27.05185185 55.94814815],0
r4,1,0.02144,5.290668,[67 17] ; [148  16],[72.82258065 11.17741935] ; [142.17741935  21.82258065],0
v4,1,0.027369,4.867392,[74  9] ; [156   6],[77.91836735  5.08163265] ; [152.08163265   9.91836735],0
u3,1,0.040584,4.193287,[16 20] ; [45 24],[20.91428571 15.08571429] ; [40.08571429 28.91428571],0
s8,1,0.046726,3.955213,[46 38] ; [68 96],[38.61290323 45.38709677] ; [75.38709677 88.61290323],0
n1,1,0.047059,3.943281,[13 11] ; [11 27],[ 9.29032258 14.70967742] ; [14.70967742 23.29032258],0
p2,1,0.061553,3.495029,[61 22] ; [137  27],[66.53441296 16.46558704] ; [131.46558704  32.53441296],0
r3,1,0.061696,3.491203,[76  8] ; [156   6],[79.2195122  4.7804878] ; [152.7804878   9.2195122],0
p11,1,0.077768,3.110938,[69 15] ; [118  46],[63.33870968 20.66129032] ; [123.66129032  40.33870968],0
d4,1,0.111035,2.53943,[45 39] ; [105  59],[50.80645161 33.19354839] ; [99.19354839 64.80645161],0
n3,1,0.11846,2.437569,[14 10] ; [30  9],[16.76190476  7.23809524] ; [27.23809524 11.76190476],0
b5,1,0.142507,2.150678,[42 42] ; [98 66],[47.41935484 36.58064516] ; [92.58064516 71.41935484],0
d2,1,0.147106,2.102007,[16 68] ; [ 20 144],[12.19354839 71.80645161] ; [ 23.80645161 140.19354839],0
s3,1,0.15342,2.03791,[59 24] ; [99 61],[53.96707819 29.03292181] ; [104.03292181  55.96707819],0
p9,1,0.161479,1.960322,[66 18] ; [137  23],[69.8852459 14.1147541] ; [133.1147541  26.8852459],0
p12,1,0.190897,1.71068,[ 9 74] ; [ 10 153],[ 6.41056911 76.58943089] ; [ 12.58943089 150.41056911],0
u1,1,0.19418,1.685617,[ 1 83] ; [  7 157],[ 2.70967742 81.29032258] ; [  5.29032258 158.70967742],0
n6,1,0.223404,1.482372,[67 17] ; [139  23],[70.34146341 13.65853659] ; [135.65853659  26.34146341],0
v2,1,0.229732,1.442517,[34 44] ; [82 76],[38.33898305 39.66101695] ; [77.66101695 80.33898305],0
r2,1,0.241299,1.372989,[73 10] ; [148  12],[75.48559671  7.51440329] ; [145.51440329  14.48559671],0
v3,1,0.253465,1.304103,[32 50] ; [ 51 110],[28.00823045 53.99176955] ; [ 54.99176955 106.00823045],0
s7,1,0.256139,1.289505,[49 35] ; [78 76],[44.82352941 39.17647059] ; [82.17647059 71.82352941],0
d5,1,0.258745,1.27546,[46 38] ; [102  62],[50.12903226 33.87096774] ; [97.87096774 66.12903226],0
s1,1,0.271477,1.209269,[ 5 77] ; [  5 155],[ 3.38842975 78.61157025] ; [  6.61157025 153.38842975],0
p7,1,0.290433,1.117612,[50 33] ; [106  52],[53.72614108 29.27385892] ; [102.27385892  55.72614108],0
p3,1,0.312211,1.021299,[41 43] ; [69 95],[37.25806452 46.74193548] ; [72.74193548 91.25806452],0
s2,1,0.329339,0.951495,[50 33] ; [87 75],[46.4122449 36.5877551] ; [90.5877551 71.4122449],0
r1,1,0.368872,0.807461,[61 23] ; [126  36],[63.85365854 20.14634146] ; [123.14634146  38.85365854],0
n4,1,0.400094,0.708043,[64 20] ; [116  47],[61.2145749 22.7854251] ; [118.7854251  44.2145749],0
p8,1,0.41669,0.659631,[39 44] ; [85 77],[42.00816327 40.99183673] ; [81.99183673 80.00816327],0
u2,1,0.460442,0.544821,[19 17] ; [41 27],[20.76923077 15.23076923] ; [39.23076923 28.76923077],0
p10,1,0.474247,0.512064,[64 19] ; [128  30],[66.12448133 16.87551867] ; [125.87551867  32.12448133],0
v1,1,0.503207,0.448166,[45 38] ; [79 80],[42.52892562 40.47107438] ; [81.47107438 77.52892562],0
b4,1,0.569571,0.323401,[46 38] ; [96 68],[48.09677419 35.90322581] ; [93.90322581 70.09677419],0
p6,1,0.60848,0.262394,[25 57] ; [ 54 106],[26.76859504 55.23140496] ; [ 52.23140496 107.76859504],0
n5,1,0.622828,0.241913,[65 19] ; [120  41],[63.42857143 20.57142857] ; [121.57142857  39.42857143],0
p5,1,0.629324,0.232979,[10 74] ; [ 23 140],[11.22267206 72.77732794] ; [ 21.77732794 141.22267206],0
a1,1,0.675917,0.174759,[ 4 80] ; [  6 158],[ 3.38709677 80.61290323] ; [  6.61290323 157.38709677],0
p4,1,0.676458,0.17414,[43 41] ; [88 75],[44.55060729 39.44939271] ; [86.44939271 76.55060729],0
s5,1,0.67789,0.172511,[33 49] ; [ 60 100],[31.51239669 50.48760331] ; [61.48760331 98.51239669],0
a8,1,0.737017,0.112766,[11 68] ; [ 24 130],[11.86695279 67.13304721] ; [ 23.13304721 130.86695279],0
s4,1,0.756816,0.095892,[18 66] ; [ 32 130],[17.07317073 66.92682927] ; [ 32.92682927 129.07317073],0
n2,1,0.77706,0.080175,[19  5] ; [32  7],[19.42857143  4.57142857] ; [31.57142857  7.42857143],0
b1,1,0.886943,0.020213,[32 52] ; [ 64 100],[32.51612903 51.48387097] ; [ 63.48387097 100.51612903],0
a3,1,0.916099,0.011098,[48 36] ; [92 71],[47.61133603 36.38866397] ; [92.38866397 70.61133603],0
a2,1,0.963796,0.00206,[ 5 79] ; [ 10 154],[ 5.08064516 78.91935484] ; [  9.91935484 154.08064516],0
