Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,96.706299,[392  97] ; [ 69 103],[341.04236006 147.95763994] ; [119.95763994  52.04236006],1
d3,1,0.0,71.989073,[392  98] ; [79 93],[348.62537764 141.37462236] ; [122.37462236  49.62537764],1
a2,1,0.0,34.926778,[159 332] ; [ 16 156],[129.60030166 361.39969834] ; [ 45.39969834 126.60030166],1
u1,1,0.0,25.720926,[119 372] ; [ 11 161],[ 96.2745098 394.7254902] ; [ 33.7254902 138.2745098],1
b5,1,2e-06,22.731694,[324 167] ; [78 94],[297.71040724 193.28959276] ; [104.28959276  67.71040724],1
d1,1,6.5e-05,15.941182,[319 172] ; [82 90],[296.96983409 194.03016591] ; [104.03016591  67.96983409],1
r3,1,0.002594,9.073388,[476  12] ; [159  13],[469.51515152  18.48484848] ; [165.48484848   6.51515152],0
d5,1,0.002833,8.912183,[414  76] ; [127  44],[401.04387292  88.95612708] ; [139.95612708  31.04387292],0
b3,1,0.0029,8.86944,[ 86 191] ; [51 57],[ 98.56883117 178.43116883] ; [38.43116883 69.56883117],0
b2,1,0.0029,8.86944,[ 86 191] ; [51 57],[ 98.56883117 178.43116883] ; [38.43116883 69.56883117],0
p4,1,0.00644,7.422863,[289 200] ; [80 90],[273.81031866 215.18968134] ; [95.18968134 74.81031866],0
b1,1,0.00879,6.86496,[173 318] ; [80 92],[187.36500754 303.63499246] ; [ 65.63499246 106.36500754],0
p2,1,0.009527,6.721265,[413  77] ; [129  42],[401.78517398  88.21482602] ; [140.21482602  30.78517398],0
r4,1,0.013054,6.161777,[472  19] ; [157  15],[465.82051282  25.17948718] ; [163.17948718   8.82051282],0
d4,1,0.018731,5.526412,[421  69] ; [133  37],[411.3030303  78.6969697] ; [142.6969697  27.3030303],0
v2,1,0.020021,5.4101,[288 182] ; [84 81],[275.33858268 194.66141732] ; [96.66141732 68.33858268],0
s5,1,0.020202,5.394323,[135 345] ; [ 62 102],[146.83229814 333.16770186] ; [ 50.16770186 113.83229814],0
u3,1,0.030408,4.686058,[93 47] ; [24 25],[86.66666667 53.33333333] ; [30.33333333 18.66666667],0
p9,1,0.031099,4.647498,[401  83] ; [128  42],[391.49235474  92.50764526] ; [137.50764526  32.49235474],0
v4,1,0.034975,4.446412,[473  16] ; [158  12],[468.22306525  20.77693475] ; [162.77693475   7.22306525],0
r2,1,0.097409,2.747461,[475  13] ; [160   9],[471.65905632  16.34094368] ; [163.34094368   5.65905632],0
