Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000369,12.684029,[9 3] ; [21 65],[3.67346939 8.32653061] ; [26.32653061 59.67346939],1
p4,1,0.005803,7.610498,[7 6] ; [17 72],[3.05882353 9.94117647] ; [20.94117647 68.05882353],0
p2,1,0.014308,5.999712,[11  2] ; [43 46],[6.88235294 6.11764706] ; [47.11764706 41.88235294],0
u2,1,0.019659,5.441956,[6 1] ; [14 23],[3.18181818 3.81818182] ; [16.81818182 20.18181818],0
s8,1,0.033048,4.543312,[5 8] ; [13 77],[ 2.27184466 10.72815534] ; [15.72815534 74.27184466],0
d4,1,0.077595,3.114573,[5 8] ; [57 32],[7.90196078 5.09803922] ; [54.09803922 34.90196078],0
b4,1,0.12163,2.396202,[5 8] ; [55 35],[7.57281553 5.42718447] ; [52.42718447 37.57281553],0
n3,1,0.124192,2.363636,[6 2] ; [20 24],[4. 4.] ; [22. 22.],0
p8,1,0.182206,1.779541,[5 8] ; [19 69],[3.08910891 9.91089109] ; [20.91089109 67.08910891],0
p9,1,0.182822,1.774533,[9 4] ; [42 43],[6.76530612 6.23469388] ; [44.23469388 40.76530612],0
r2,1,0.187921,1.733841,[9 3] ; [45 37],[6.89361702 5.10638298] ; [47.10638298 34.89361702],0
b5,1,0.19435,1.684328,[9 4] ; [45 45],[6.81553398 6.18446602] ; [47.18446602 42.81553398],0
v4,1,0.20133,1.632697,[10  3] ; [49 35],[7.90721649 5.09278351] ; [51.09278351 32.90721649],0
s7,1,0.231306,1.432814,[5 6] ; [24 62],[3.28865979 7.71134021] ; [25.71134021 60.28865979],0
n5,1,0.234654,1.412426,[10  3] ; [52 35],[8.06 4.94] ; [53.94 33.06],0
s2,1,0.250612,1.319887,[5 8] ; [21 68],[3.31372549 9.68627451] ; [22.68627451 66.31372549],0
u1,1,0.272296,1.205142,[ 2 11] ; [ 6 84],[ 1.00970874 11.99029126] ; [ 6.99029126 83.00970874],0
n1,1,0.298571,1.080564,[4 4] ; [14 31],[2.71698113 5.28301887] ; [15.28301887 29.71698113],0
p11,1,0.315915,1.005782,[8 5] ; [42 48],[6.31067961 6.68932039] ; [43.68932039 46.31067961],0
d1,1,0.336763,0.922717,[ 3 10] ; [33 57],[4.54368932 8.45631068] ; [31.45631068 58.54368932],0
d3,1,0.345713,0.88913,[4 8] ; [43 47],[5.52941176 6.47058824] ; [41.47058824 48.52941176],0
a3,1,0.378554,0.775394,[6 7] ; [52 36],[7.46534653 5.53465347] ; [50.53465347 37.46534653],0
s4,1,0.421855,0.645141,[ 3 10] ; [13 77],[ 2.01941748 10.98058252] ; [13.98058252 76.01941748],0
s6,1,0.444066,0.585752,[ 3 10] ; [30 59],[4.20588235 8.79411765] ; [28.79411765 60.20588235],0
p5,1,0.459821,0.546331,[ 1 12] ; [ 3 85],[ 0.51485149 12.48514851] ; [ 3.48514851 84.51485149],0
r1,1,0.474893,0.510568,[ 3 10] ; [29 59],[4.11881188 8.88118812] ; [27.88118812 60.11881188],0
a5,1,0.481617,0.495201,[5 8] ; [44 46],[6.18446602 6.81553398] ; [42.81553398 47.18446602],0
b1,1,0.575385,0.313755,[7 6] ; [41 49],[6.05825243 6.94174757] ; [41.94174757 48.05825243],0
a1,1,0.634166,0.226454,[ 1 12] ; [11 79],[ 1.51456311 11.48543689] ; [10.48543689 79.51456311],0
a2,1,0.709093,0.139184,[ 1 12] ; [10 80],[ 1.38834951 11.61165049] ; [ 9.61165049 80.38834951],0
v1,1,0.709893,0.138384,[3 9] ; [26 60],[3.55102041 8.44897959] ; [25.44897959 60.55102041],0
n2,1,0.71498,0.133353,[5 3] ; [25 20],[4.52830189 3.47169811] ; [25.47169811 19.52830189],0
s3,1,0.737257,0.112552,[5 8] ; [29 57],[4.46464646 8.53535354] ; [29.53535354 56.46464646],0
v2,1,0.765415,0.089029,[5 7] ; [32 54],[4.53061224 7.46938776] ; [32.46938776 53.53061224],0
p10,1,0.766199,0.088417,[7 6] ; [43 44],[6.5 6.5] ; [43.5 43.5],0
s1,1,0.766531,0.088159,[ 1 12] ; [ 5 84],[ 0.76470588 12.23529412] ; [ 5.23529412 83.76470588],0
u3,1,0.771176,0.084586,[2 5] ; [13 25],[2.33333333 4.66666667] ; [12.66666667 25.33333333],0
b3,1,0.783182,0.075721,[3 4] ; [21 35],[2.66666667 4.33333333] ; [21.33333333 34.66666667],0
b2,1,0.783182,0.075721,[3 4] ; [21 35],[2.66666667 4.33333333] ; [21.33333333 34.66666667],0
d5,1,0.797163,0.06606,[8 5] ; [52 38],[7.57281553 5.42718447] ; [52.42718447 37.57281553],0
v3,1,0.827836,0.047296,[ 3 10] ; [18 70],[ 2.7029703 10.2970297] ; [18.2970297 69.7029703],0
a4,1,0.833706,0.04408,[4 9] ; [30 59],[4.33333333 8.66666667] ; [29.66666667 59.33333333],0
a7,1,0.855208,0.033298,[7 6] ; [45 43],[6.69306931 6.30693069] ; [45.30693069 42.69306931],0
n6,1,0.856814,0.032556,[7 6] ; [44 42],[6.6969697 6.3030303] ; [44.3030303 41.6969697],0
d2,1,0.866787,0.028137,[5 8] ; [36 52],[5.27722772 7.72277228] ; [35.72277228 52.27722772],0
n4,1,0.874228,0.025056,[7 6] ; [50 39],[7.26470588 5.73529412] ; [49.73529412 39.26470588],0
a6,1,0.967707,0.001639,[6 7] ; [41 49],[5.93203883 7.06796117] ; [41.06796117 48.93203883],0
r3,1,0.980767,0.000581,[7 6] ; [46 40],[6.95959596 6.04040404] ; [46.04040404 39.95959596],0
