Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.5e-05,17.779606,[126  24] ; [16 16],[117.03296703  32.96703297] ; [24.96703297  7.03296703],1
p9,1,3.8e-05,16.979134,[130  19] ; [18 14],[121.83425414  27.16574586] ; [26.16574586  5.83425414],1
p11,1,0.000649,11.630121,[122  28] ; [17 15],[114.56043956  35.43956044] ; [24.43956044  7.56043956],1
d3,1,0.003558,8.49666,[102  48] ; [13 19],[94.78021978 55.21978022] ; [20.21978022 11.78021978],0
p10,1,0.005373,7.749303,[122  27] ; [19 13],[116.0718232  32.9281768] ; [24.9281768  7.0718232],0
s7,1,0.007923,7.050745,[79 62] ; [ 8 20],[72.58579882 68.41420118] ; [14.41420118 13.58579882],0
s8,1,0.012265,6.272201,[68 80] ; [ 7 25],[61.66666667 86.33333333] ; [13.33333333 18.66666667],0
p7,1,0.019271,5.476796,[114  35] ; [18 14],[108.66298343  40.33701657] ; [23.33701657  8.66298343],0
n2,1,0.023039,5.165559,[17 14] ; [11  1],[20.18604651 10.81395349] ; [7.81395349 4.18604651],0
v4,1,0.024189,5.081007,[142   7] ; [27  5],[139.12154696   9.87845304] ; [29.87845304  2.12154696],0
s3,1,0.031939,4.601789,[95 53] ; [14 18],[89.62222222 58.37777778] ; [19.37777778 12.62222222],0
p6,1,0.037092,4.346202,[72 77] ; [ 9 23],[66.67955801 82.32044199] ; [14.32044199 17.67955801],0
p8,1,0.045216,4.010556,[98 51] ; [15 17],[93.02209945 55.97790055] ; [19.97790055 12.02209945],0
s2,1,0.055626,3.663211,[79 70] ; [11 21],[74.08839779 74.91160221] ; [15.91160221 16.08839779],0
s1,1,0.073222,3.209267,[  4 146] ; [ 3 29],[  5.76923077 144.23076923] ; [ 1.23076923 30.76923077],0
u3,1,0.079566,3.073743,[25 19] ; [3 8],[22.4 21.6] ; [5.6 5.4],0
s6,1,0.109137,2.566667,[102  42] ; [18 14],[98.18181818 45.81818182] ; [21.81818182 10.18181818],0
s5,1,0.116178,2.468104,[55 88] ; [ 7 23],[51.24855491 91.75144509] ; [10.75144509 19.24855491],0
u2,1,0.157479,1.998264,[27 18] ; [4 7],[24.91071429 20.08928571] ; [6.08928571 4.91071429],0
n6,1,0.158831,1.98532,[127  23] ; [23  8],[124.30939227  25.69060773] ; [25.69060773  5.30939227],0
r1,1,0.200302,1.640171,[118  31] ; [22 10],[115.24861878  33.75138122] ; [24.75138122  7.24861878],0
r3,1,0.203387,1.617887,[139   9] ; [28  4],[137.31111111  10.68888889] ; [29.68888889  2.31111111],0
d5,1,0.263441,1.250584,[117  33] ; [22 10],[114.56043956  35.43956044] ; [24.43956044  7.56043956],0
p5,1,0.264126,1.247003,[ 26 124] ; [ 3 29],[ 23.9010989 126.0989011] ; [ 5.0989011 26.9010989],0
b2,1,0.267696,1.228513,[32 62] ; [ 4 15],[29.94690265 64.05309735] ; [ 6.05309735 12.94690265],0
b3,1,0.267696,1.228513,[32 62] ; [ 4 15],[29.94690265 64.05309735] ; [ 6.05309735 12.94690265],0
a7,1,0.274566,1.193792,[104  46] ; [19 13],[101.37362637  48.62637363] ; [21.62637363 10.37362637],0
u1,1,0.287255,1.132444,[ 31 119] ; [ 4 28],[ 28.84615385 121.15384615] ; [ 6.15384615 25.84615385],0
