Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.726662,[115   8] ; [4 5],[110.88636364  12.11363636] ; [8.11363636 0.88636364],1
v4,1,3.2e-05,17.306611,[122   1] ; [7 2],[120.20454545   2.79545455] ; [8.79545455 0.20454545],1
r3,1,0.000101,15.11147,[119   4] ; [6 3],[116.47727273   6.52272727] ; [8.52272727 0.47727273],1
p12,1,0.019644,5.443214,[  5 117] ; [2 7],[  6.51908397 115.48091603] ; [0.48091603 8.51908397],0
a3,1,0.025063,5.019537,[85 37] ; [3 6],[81.95419847 40.04580153] ; [6.04580153 2.95419847],0
r1,1,0.028305,4.809395,[95 28] ; [4 5],[92.25 30.75] ; [6.75 2.25],0
d1,1,0.043649,4.070099,[70 53] ; [2 7],[67.09090909 55.90909091] ; [4.90909091 4.09090909],0
n6,1,0.057725,3.601572,[109  14] ; [6 3],[107.15909091  15.84090909] ; [7.84090909 1.15909091],0
d4,1,0.10728,2.593847,[97 26] ; [5 4],[95.04545455 27.95454545] ; [6.95454545 2.04545455],0
n3,1,0.121445,2.398589,[25  5] ; [2 2],[23.82352941  6.17647059] ; [3.17647059 0.82352941],0
d3,1,0.122147,2.389579,[84 37] ; [4 5],[81.90769231 39.09230769] ; [6.09230769 2.90769231],0
n2,1,0.128949,2.305108,[20 11] ; [1 3],[18.6 12.4] ; [2.4 1.6],0
u3,1,0.167327,1.906733,[24 14] ; [2 4],[22.45454545 15.54545455] ; [3.54545455 2.45454545],0
p10,1,0.197379,1.661664,[102  20] ; [6 3],[100.58015267  21.41984733] ; [7.41984733 1.58015267],0
s6,1,0.199097,1.648983,[66 53] ; [3 6],[64.1484375 54.8515625] ; [4.8515625 4.1484375],0
b1,1,0.235692,1.406178,[44 79] ; [5 4],[45.65909091 77.34090909] ; [3.34090909 5.65909091],0
d2,1,0.237525,1.395224,[52 71] ; [2 7],[50.31818182 72.68181818] ; [3.68181818 5.31818182],0
v3,1,0.274751,1.192871,[50 73] ; [2 7],[48.45454545 74.54545455] ; [3.54545455 5.45454545],0
b4,1,0.303978,1.05666,[76 47] ; [4 5],[74.54545455 48.45454545] ; [5.45454545 3.54545455],0
a5,1,0.310165,1.029972,[88 35] ; [5 4],[86.65909091 36.34090909] ; [6.34090909 2.65909091],0
s8,1,0.329362,0.951404,[47 75] ; [2 7],[45.63358779 76.36641221] ; [3.36641221 5.63358779],0
p9,1,0.342019,0.902849,[108  14] ; [7 2],[107.09923664  14.90076336] ; [7.90076336 1.09923664],0
b5,1,0.385031,0.754577,[78 45] ; [7 2],[79.20454545 43.79545455] ; [5.79545455 3.20454545],0
n4,1,0.393681,0.727543,[97 26] ; [6 3],[95.97727273 27.02272727] ; [7.02272727 1.97727273],0
a2,1,0.415043,0.66431,[28 95] ; [1 8],[27.02272727 95.97727273] ; [1.97727273 7.02272727],0
a1,1,0.420539,0.648808,[  6 117] ; [1 8],[  6.52272727 116.47727273] ; [0.47727273 8.52272727],0
p5,1,0.436838,0.604574,[ 16 107] ; [2 7],[ 16.77272727 106.22727273] ; [1.22727273 7.77272727],0
p11,1,0.442553,0.589654,[96 27] ; [8 1],[96.90909091 26.09090909] ; [7.09090909 1.90909091],0
p8,1,0.486133,0.485074,[81 40] ; [5 4],[80.04615385 40.95384615] ; [5.95384615 3.04615385],0
p7,1,0.56234,0.335669,[99 23] ; [8 1],[99.64885496 22.35114504] ; [7.35114504 1.64885496],0
s4,1,0.563694,0.333349,[ 18 102] ; [2 7],[ 18.60465116 101.39534884] ; [1.39534884 7.60465116],0
p3,1,0.637583,0.221917,[78 45] ; [5 4],[77.34090909 45.65909091] ; [5.65909091 3.34090909],0
v2,1,0.651801,0.203637,[72 50] ; [6 3],[72.64122137 49.35877863] ; [5.35877863 3.64122137],0
d5,1,0.703075,0.145292,[101  21] ; [7 2],[100.58015267  21.41984733] ; [7.41984733 1.58015267],0
v1,1,0.710853,0.137426,[76 47] ; [5 4],[75.47727273 47.52272727] ; [5.52272727 3.47727273],0
n5,1,0.714219,0.134099,[88 34] ; [7 2],[88.47328244 33.52671756] ; [6.52671756 2.47328244],0
u2,1,0.774062,0.082406,[23 15] ; [4 2],[23.31818182 14.68181818] ; [3.68181818 2.31818182],0
s7,1,0.777307,0.079993,[49 66] ; [3 5],[48.61788618 66.38211382] ; [3.38211382 4.61788618],0
a7,1,0.791284,0.070036,[90 32] ; [7 2],[90.33587786 31.66412214] ; [6.66412214 2.33587786],0
u1,1,0.794567,0.0678,[ 23 100] ; [2 7],[23.29545455 99.70454545] ; [1.70454545 7.29545455],0
b3,1,0.840682,0.04041,[35 43] ; [2 2],[35.19512195 42.80487805] ; [1.80487805 2.19512195],0
b2,1,0.840682,0.04041,[35 43] ; [2 2],[35.19512195 42.80487805] ; [1.80487805 2.19512195],0
a4,1,0.912259,0.012142,[57 66] ; [4 5],[56.84090909 66.15909091] ; [4.15909091 4.84090909],0
s2,1,0.916008,0.011123,[29 93] ; [2 7],[28.87022901 93.12977099] ; [2.12977099 6.87022901],0
a6,1,0.921279,0.009766,[80 43] ; [6 3],[80.13636364 42.86363636] ; [5.86363636 3.13636364],0
s5,1,0.93081,0.007539,[38 81] ; [3 6],[38.1171875 80.8828125] ; [2.8828125 6.1171875],0
p4,1,0.938791,0.005897,[97 26] ; [7 2],[96.90909091 26.09090909] ; [7.09090909 1.90909091],0
a8,1,0.977059,0.000827,[12 93] ; [1 8],[11.97368421 93.02631579] ; [1.02631579 7.97368421],0
