Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,27.259905,[ 3 10] ; [31  1],[9.82222222 3.17777778] ; [24.17777778  7.82222222],1
s7,1,7e-05,15.815571,[4 9] ; [27  3],[9.37209302 3.62790698] ; [21.62790698  8.37209302],1
n4,1,0.000431,12.39479,[4 9] ; [27  5],[8.95555556 4.04444444] ; [22.04444444  9.95555556],1
v1,1,0.009512,6.724116,[ 3 10] ; [21 11],[6.93333333 6.06666667] ; [17.06666667 14.93333333],0
s8,1,0.019385,5.466463,[4 9] ; [22 10],[7.51111111 5.48888889] ; [18.48888889 13.51111111],0
n5,1,0.020296,5.386273,[5 8] ; [24  8],[8.37777778 4.62222222] ; [20.62222222 11.37777778],0
s6,1,0.036184,4.388404,[9 4] ; [28  2],[11.18604651  1.81395349] ; [25.81395349  4.18604651],0
p2,1,0.048452,3.894231,[8 5] ; [28  4],[10.4  2.6] ; [25.6  6.4],0
a4,1,0.065976,3.380409,[ 3 10] ; [17 15],[5.77777778 7.22222222] ; [14.22222222 17.77777778],0
b1,1,0.071593,3.246125,[ 2 11] ; [14 18],[4.62222222 8.37777778] ; [11.37777778 20.62222222],0
u1,1,0.09558,2.777792,[ 1 12] ; [10 22],[3.17777778 9.82222222] ; [ 7.82222222 24.17777778],0
p11,1,0.103382,2.652581,[7 6] ; [25  7],[9.24444444 3.75555556] ; [22.75555556  9.24444444],0
d5,1,0.146259,2.110837,[9 4] ; [28  4],[10.68888889  2.31111111] ; [26.31111111  5.68888889],0
s5,1,0.206404,1.596473,[6 7] ; [20 10],[7.86046512 5.13953488] ; [18.13953488 11.86046512],0
p9,1,0.237332,1.396369,[10  3] ; [28  3],[11.22727273  1.77272727] ; [26.77272727  4.22727273],0
p4,1,0.314296,1.012535,[6 7] ; [20 12],[7.51111111 5.48888889] ; [18.48888889 13.51111111],0
p8,1,0.35506,0.855291,[6 7] ; [19 12],[7.38636364 5.61363636] ; [17.61363636 13.38636364],0
a2,1,0.367395,0.812455,[ 2 11] ; [ 9 23],[3.17777778 9.82222222] ; [ 7.82222222 24.17777778],0
p3,1,0.420457,0.649038,[9 4] ; [18 14],[7.8 5.2] ; [19.2 12.8],0
b4,1,0.420457,0.649038,[9 4] ; [18 14],[7.8 5.2] ; [19.2 12.8],0
b3,1,0.466985,0.529101,[2 8] ; [ 5 10],[2.8 7.2] ; [ 4.2 10.8],0
b2,1,0.466985,0.529101,[2 8] ; [ 5 10],[2.8 7.2] ; [ 4.2 10.8],0
n3,1,0.480478,0.497778,[3 2] ; [7 2],[3.57142857 1.42857143] ; [6.42857143 2.57142857],0
d1,1,0.497224,0.460857,[8 5] ; [23  9],[8.95555556 4.04444444] ; [22.04444444  9.95555556],0
r4,1,0.500406,0.454075,[12  1] ; [31  1],[12.42222222  0.57777778] ; [30.57777778  1.42222222],0
r3,1,0.500406,0.454075,[12  1] ; [31  1],[12.42222222  0.57777778] ; [30.57777778  1.42222222],0
n2,1,0.596701,0.28,[4 1] ; [6 3],[3.57142857 1.42857143] ; [6.42857143 2.57142857],0
d3,1,0.621769,0.243389,[11  2] ; [25  7],[10.4  2.6] ; [25.6  6.4],0
d4,1,0.641838,0.216346,[12  1] ; [28  4],[11.55555556  1.44444444] ; [28.44444444  3.55555556],0
a7,1,0.668999,0.182775,[9 4] ; [20 12],[8.37777778 4.62222222] ; [20.62222222 11.37777778],0
u3,1,0.67329,0.177778,[1 1] ; [4 2],[1.25 0.75] ; [3.75 2.25],0
a5,1,0.691615,0.157343,[9 4] ; [24  8],[9.53333333 3.46666667] ; [23.46666667  8.53333333],0
r1,1,0.742234,0.108173,[10  3] ; [26  6],[10.4  2.6] ; [25.6  6.4],0
a3,1,0.788981,0.071628,[11  2] ; [26  6],[10.68888889  2.31111111] ; [26.31111111  5.68888889],0
a6,1,0.795198,0.067375,[8 5] ; [21 11],[8.37777778 4.62222222] ; [20.62222222 11.37777778],0
n6,1,0.796401,0.066568,[11  2] ; [28  4],[11.26666667  1.73333333] ; [27.73333333  4.26666667],0
p5,1,0.796401,0.066568,[ 2 11] ; [ 4 28],[ 1.73333333 11.26666667] ; [ 4.26666667 27.73333333],0
p10,1,0.796401,0.066568,[11  2] ; [28  4],[11.26666667  1.73333333] ; [27.73333333  4.26666667],0
p6,1,0.830676,0.045725,[5 8] ; [13 18],[5.31818182 7.68181818] ; [12.68181818 18.31818182],0
p7,1,0.848705,0.036394,[10  3] ; [23  8],[9.75 3.25] ; [23.25  7.75],0
p12,1,0.857327,0.03232,[ 1 12] ; [ 3 29],[ 1.15555556 11.84444444] ; [ 2.84444444 29.15555556],0
p1,1,0.860449,0.030907,[ 1 12] ; [ 2 30],[ 0.86666667 12.13333333] ; [ 2.13333333 29.86666667],0
d2,1,0.964944,0.001932,[7 6] ; [17 15],[6.93333333 6.06666667] ; [17.06666667 14.93333333],0
b5,1,0.964944,0.001932,[7 6] ; [17 15],[6.93333333 6.06666667] ; [17.06666667 14.93333333],0
v2,1,0.974811,0.000997,[9 4] ; [22 10],[8.95555556 4.04444444] ; [22.04444444  9.95555556],0
