Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,32.361854,[274   9] ; [3 3],[271.24913495  11.75086505] ; [5.75086505 0.24913495],1
r4,1,1e-06,25.201133,[273  12] ; [3 3],[270.30927835  14.69072165] ; [5.69072165 0.30927835],1
r1,1,0.000456,12.28639,[244  41] ; [2 4],[240.92783505  44.07216495] ; [5.07216495 0.92783505],1
a8,1,0.116739,2.460541,[ 37 216] ; [2 3],[ 38.24418605 214.75581395] ; [0.75581395 4.24418605],0
p12,1,0.117614,2.448805,[ 34 249] ; [2 4],[ 35.25259516 247.74740484] ; [0.74740484 5.25259516],0
p7,1,0.152891,2.043165,[210  68] ; [3 3],[208.5  69.5] ; [4.5 1.5],0
s8,1,0.161503,1.960098,[154 128] ; [5 1],[155.6875 126.3125] ; [3.3125 2.6875],0
a2,1,0.203422,1.617632,[ 76 209] ; [3 3],[ 77.37113402 207.62886598] ; [1.62886598 4.37113402],0
p6,1,0.221101,1.497214,[116 162] ; [4 2],[117.46478873 160.53521127] ; [2.53521127 3.46478873],0
b5,1,0.228596,1.449576,[168 117] ; [5 1],[169.43298969 115.56701031] ; [3.56701031 2.43298969],0
p11,1,0.234412,1.413891,[241  44] ; [4 2],[239.94845361  45.05154639] ; [5.05154639 0.94845361],0
b4,1,0.266983,1.232185,[174 111] ; [5 1],[175.30927835 109.69072165] ; [3.69072165 2.30927835],0
s5,1,0.372937,0.793855,[109 166] ; [1 4],[108.03571429 166.96428571] ; [1.96428571 3.03571429],0
s3,1,0.390661,0.736883,[170 108] ; [4 1],[170.92579505 107.07420495] ; [3.07420495 1.92579505],0
d1,1,0.403828,0.696897,[189  96] ; [3 3],[188.04123711  96.95876289] ; [3.95876289 2.04123711],0
a6,1,0.423232,0.641325,[193  91] ; [5 1],[193.90344828  90.09655172] ; [4.09655172 1.90344828],0
p4,1,0.448694,0.573948,[195  88] ; [5 1],[195.84775087  87.15224913] ; [4.15224913 1.84775087],0
p8,1,0.475084,0.510126,[179 100] ; [3 3],[178.16842105 100.83157895] ; [3.83157895 2.16842105],0
p9,1,0.483821,0.490237,[252  29] ; [4 1],[251.52447552  29.47552448] ; [4.47552448 0.52447552],0
d2,1,0.485446,0.486604,[148 135] ; [4 2],[148.84429066 134.15570934] ; [3.15570934 2.84429066],0
b1,1,0.497049,0.461232,[104 181] ; [3 3],[104.79381443 180.20618557] ; [2.20618557 3.79381443],0
a5,1,0.528925,0.396457,[221  64] ; [4 2],[220.36082474  64.63917526] ; [4.63917526 1.36082474],0
b3,1,0.530299,0.393819,[ 73 107] ; [1 3],[ 72.39130435 107.60869565] ; [1.60869565 2.39130435],0
b2,1,0.530299,0.393819,[ 73 107] ; [1 3],[ 72.39130435 107.60869565] ; [1.60869565 2.39130435],0
p10,1,0.545234,0.365925,[251  32] ; [4 1],[250.57291667  32.42708333] ; [4.42708333 0.57291667],0
p3,1,0.558137,0.34294,[176 109] ; [3 3],[175.30927835 109.69072165] ; [3.69072165 2.30927835],0
s6,1,0.62789,0.234933,[194  83] ; [3 2],[193.5070922  83.4929078] ; [3.4929078 1.5070922],0
d3,1,0.684284,0.165343,[211  74] ; [4 2],[210.56701031  74.43298969] ; [4.43298969 1.56701031],0
a3,1,0.702278,0.146113,[217  66] ; [5 1],[217.39100346  65.60899654] ; [4.60899654 1.39100346],0
a7,1,0.73905,0.110964,[206  77] ; [4 2],[205.64013841  77.35986159] ; [4.35986159 1.64013841],0
d4,1,0.818251,0.052806,[245  38] ; [5 1],[244.80968858  38.19031142] ; [5.19031142 0.80968858],0
v1,1,0.835782,0.04297,[199  83] ; [4 2],[198.77083333  83.22916667] ; [4.22916667 1.77083333],0
s2,1,0.871548,0.026144,[159 123] ; [3 2],[159.17770035 122.82229965] ; [2.82229965 2.17770035],0
a4,1,0.959148,0.002624,[139 145] ; [3 3],[139.06206897 144.93793103] ; [2.93793103 3.06206897],0
s7,1,0.965517,0.001869,[160 111] ; [3 2],[160.04710145 110.95289855] ; [2.95289855 2.04710145],0
p5,1,0.990857,0.000131,[ 47 238] ; [1 5],[ 47.01030928 237.98969072] ; [0.98969072 5.01030928],0
