Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000101,15.114833,[12 10] ; [15 80],[ 5.07692308 16.92307692] ; [21.92307692 73.07692308],1
s2,1,0.000157,14.291068,[14 10] ; [20 80],[ 6.58064516 17.41935484] ; [27.41935484 72.58064516],1
s6,1,0.000279,13.209036,[17  7] ; [31 70],[ 9.216 14.784] ; [38.784 62.216],1
s3,1,0.001219,10.460908,[16  8] ; [31 69],[ 9.09677419 14.90322581] ; [37.90322581 62.09677419],0
r4,1,0.00603,7.541323,[21  3] ; [58 43],[15.168  8.832] ; [63.832 37.168],0
r3,1,0.008673,6.888889,[23  1] ; [70 30],[18.  6.] ; [75. 25.],0
p10,1,0.017664,5.629206,[11 13] ; [22 78],[ 6.38709677 17.61290323] ; [26.61290323 73.38709677],0
u3,1,0.019517,5.454545,[9 2] ; [21 28],[5.5 5.5] ; [24.5 24.5],0
p2,1,0.062837,3.460868,[16  8] ; [46 55],[11.904 12.096] ; [50.096 50.904],0
v4,1,0.063041,3.455516,[22  2] ; [74 26],[18.58064516  5.41935484] ; [77.41935484 22.58064516],0
p11,1,0.078496,3.095771,[15  9] ; [43 58],[11.136 12.864] ; [46.864 54.136],0
a4,1,0.082376,3.017396,[ 4 20] ; [35 65],[ 7.5483871 16.4516129] ; [31.4516129 68.5483871],0
u2,1,0.082924,3.006642,[8 3] ; [21 27],[5.40677966 5.59322034] ; [23.59322034 24.40677966],0
d5,1,0.08734,2.922721,[20  4] ; [66 35],[16.512  7.488] ; [69.488 31.512],0
d1,1,0.095909,2.772279,[14 10] ; [40 61],[10.368 13.632] ; [43.632 57.368],0
v3,1,0.10857,2.574917,[ 8 16] ; [18 80],[ 5.1147541 18.8852459] ; [20.8852459 77.1147541],0
p4,1,0.15498,2.022535,[12 12] ; [34 65],[ 8.97560976 15.02439024] ; [37.02439024 61.97560976],0
n2,1,0.173412,1.853198,[6 2] ; [21 22],[4.23529412 3.76470588] ; [22.76470588 20.23529412],0
r2,1,0.173466,1.852733,[22  2] ; [79 20],[19.70731707  4.29268293] ; [81.29268293 17.70731707],0
n5,1,0.208865,1.579273,[16  8] ; [53 48],[13.248 10.752] ; [55.752 45.248],0
b1,1,0.241543,1.371566,[16  8] ; [54 47],[13.44 10.56] ; [56.56 44.44],0
r1,1,0.280837,1.163036,[18  6] ; [64 37],[15.744  8.256] ; [66.256 34.744],0
n6,1,0.28516,1.142332,[17  7] ; [59 41],[14.70967742  9.29032258] ; [61.29032258 38.70967742],0
p6,1,0.299993,1.074225,[ 6 18] ; [16 84],[ 4.25806452 19.74193548] ; [17.74193548 82.25806452],0
n3,1,0.321311,0.983602,[5 2] ; [21 20],[3.79166667 3.20833333] ; [22.20833333 18.79166667],0
n1,1,0.333416,0.935584,[3 3] ; [13 30],[1.95918367 4.04081633] ; [14.04081633 28.95918367],0
v2,1,0.35876,0.842229,[ 9 14] ; [29 70],[ 7.16393443 15.83606557] ; [30.83606557 68.16393443],0
p1,1,0.366736,0.814696,[ 1 23] ; [10 90],[ 2.12903226 21.87096774] ; [ 8.87096774 91.12903226],0
d3,1,0.387166,0.747823,[14 10] ; [49 52],[12.096 11.904] ; [50.904 50.096],0
p8,1,0.417287,0.657944,[ 9 15] ; [29 71],[ 7.35483871 16.64516129] ; [30.64516129 69.35483871],0
s4,1,0.429677,0.623697,[ 5 18] ; [15 85],[ 3.7398374 19.2601626] ; [16.2601626 83.7398374],0
a6,1,0.475436,0.509314,[15  9] ; [55 46],[13.44 10.56] ; [56.56 44.44],0
d4,1,0.486059,0.485238,[18  6] ; [67 32],[16.58536585  7.41463415] ; [68.41463415 30.58536585],0
b3,1,0.50119,0.452417,[ 3 12] ; [18 45],[ 4.03846154 10.96153846] ; [16.96153846 46.03846154],0
b2,1,0.50119,0.452417,[ 3 12] ; [18 45],[ 4.03846154 10.96153846] ; [16.96153846 46.03846154],0
a8,1,0.501874,0.450971,[ 1 22] ; [ 8 86],[ 1.76923077 21.23076923] ; [ 7.23076923 86.76923077],0
b5,1,0.558454,0.342389,[11 13] ; [53 48],[12.288 11.712] ; [51.712 49.288],0
u1,1,0.591606,0.287843,[ 3 21] ; [ 9 92],[ 2.304 21.696] ; [ 9.696 91.304],0
p7,1,0.601991,0.272003,[11 13] ; [40 60],[ 9.87096774 14.12903226] ; [41.12903226 58.87096774],0
b4,1,0.631179,0.230465,[16  8] ; [62 39],[14.976  9.024] ; [63.024 37.976],0
a5,1,0.681378,0.168578,[11 13] ; [51 50],[11.904 12.096] ; [50.096 50.904],0
a7,1,0.687441,0.161869,[15  9] ; [58 42],[14.12903226  9.87096774] ; [58.87096774 41.12903226],0
s5,1,0.712837,0.13546,[ 3 19] ; [17 84],[ 3.57723577 18.42276423] ; [16.42276423 84.57723577],0
p3,1,0.75258,0.099376,[ 7 17] ; [26 74],[ 6.38709677 17.61290323] ; [26.61290323 73.38709677],0
a2,1,0.822243,0.050473,[ 3 21] ; [11 90],[ 2.688 21.312] ; [11.312 89.688],0
d2,1,0.82419,0.049355,[12 12] ; [47 52],[11.51219512 12.48780488] ; [47.48780488 51.51219512],0
a3,1,0.848632,0.036429,[13 11] ; [52 48],[12.58064516 11.41935484] ; [52.41935484 47.58064516],0
n4,1,0.923435,0.009237,[14 10] ; [60 41],[14.208  9.792] ; [59.792 41.208],0
a1,1,0.928464,0.00806,[ 2 22] ; [ 9 92],[ 2.112 21.888] ; [ 8.888 92.112],0
