Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.7e-05,18.44609,[20 85] ; [14  8],[28.11023622 76.88976378] ; [ 5.88976378 16.11023622],1
s7,1,3.1e-05,17.378653,[16 80] ; [13  9],[23.59322034 72.40677966] ; [ 5.40677966 16.59322034],1
s6,1,5.9e-05,16.13933,[31 75] ; [17  6],[39.44186047 66.55813953] ; [ 8.55813953 14.44186047],1
p10,1,0.000876,11.072431,[14 90] ; [10 13],[19.65354331 84.34645669] ; [ 4.34645669 18.65354331],1
s3,1,0.001709,9.838119,[34 71] ; [15  7],[40.51181102 64.48818898] ; [ 8.48818898 13.51181102],0
r4,1,0.003649,8.450964,[63 43] ; [21  2],[69.02325581 36.97674419] ; [14.97674419  8.02325581],0
r3,1,0.01618,5.783175,[75 29] ; [22  1],[79.43307087 24.56692913] ; [17.56692913  5.43307087],0
v3,1,0.020937,5.332016,[26 77] ; [11 11],[30.488 72.512] ; [ 6.512 15.488],0
v2,1,0.0496,3.854943,[33 69] ; [12 10],[37.01612903 64.98387097] ; [ 7.98387097 14.01612903],0
v4,1,0.0598,3.542919,[75 28] ; [21  2],[78.47619048 24.52380952] ; [17.52380952  5.47619048],0
r2,1,0.069217,3.301482,[83 21] ; [22  1],[85.98425197 18.01574803] ; [19.01574803  3.98425197],0
n6,1,0.07154,3.247339,[61 44] ; [18  5],[64.8046875 40.1953125] ; [14.1953125  8.8046875],0
s5,1,0.084401,2.978053,[17 89] ; [ 7 15],[19.875 86.125] ; [ 4.125 17.875],0
b1,1,0.088142,2.907987,[53 53] ; [16  7],[56.69767442 49.30232558] ; [12.30232558 10.69767442],0
u3,1,0.091927,2.840299,[22 25] ; [5 1],[23.94339623 23.05660377] ; [3.05660377 2.94339623],0
d5,1,0.102006,2.6739,[69 37] ; [19  4],[72.31007752 33.68992248] ; [15.68992248  7.31007752],0
n2,1,0.104494,2.635578,[25 22] ; [6 1],[26.98148148 20.01851852] ; [4.01851852 2.98148148],0
a3,1,0.11702,2.456764,[59 46] ; [17  6],[62.34375 42.65625] ; [13.65625  9.34375],0
p2,1,0.12777,2.319396,[46 60] ; [14  9],[49.30232558 56.69767442] ; [10.69767442 12.30232558],0
r1,1,0.132464,2.263391,[70 35] ; [19  4],[73.0078125 31.9921875] ; [15.9921875  7.0078125],0
n5,1,0.155242,2.019968,[56 49] ; [16  7],[59.0625 45.9375] ; [12.9375 10.0625],0
u2,1,0.258338,1.27764,[19 26] ; [4 2],[20.29411765 24.70588235] ; [2.70588235 3.29411765],0
d3,1,0.267364,1.230222,[55 51] ; [ 9 14],[52.58914729 53.41085271] ; [11.41085271 11.58914729],0
b4,1,0.365987,0.817246,[63 43] ; [16  7],[64.91472868 41.08527132] ; [14.08527132  8.91472868],0
p4,1,0.376847,0.780962,[27 78] ; [ 8 15],[28.7109375 76.2890625] ; [ 6.2890625 16.7109375],0
u1,1,0.423337,0.641034,[12 94] ; [ 4 19],[13.14728682 92.85271318] ; [ 2.85271318 20.14728682],0
n4,1,0.44817,0.575275,[69 36] ; [17  6],[70.546875 34.453125] ; [15.453125  7.546875],0
b3,1,0.452287,0.564915,[25 42] ; [ 5 13],[23.64705882 43.35294118] ; [ 6.35294118 11.64705882],0
b2,1,0.452287,0.564915,[25 42] ; [ 5 13],[23.64705882 43.35294118] ; [ 6.35294118 11.64705882],0
a4,1,0.455123,0.557862,[45 59] ; [ 8 15],[43.4015748 60.5984252] ; [ 9.5984252 13.4015748],0
s1,1,0.469495,0.523164,[ 9 95] ; [ 3 19],[ 9.9047619 94.0952381] ; [ 2.0952381 19.9047619],0
p5,1,0.47778,0.503926,[  2 104] ; [ 1 22],[  2.46511628 103.53488372] ; [ 0.53488372 22.46511628],0
p11,1,0.494194,0.467383,[47 59] ; [12 11],[48.48062016 57.51937984] ; [10.51937984 12.48062016],0
p1,1,0.494224,0.467317,[ 9 96] ; [ 1 22],[ 8.203125 96.796875] ; [ 1.796875 21.203125],0
a6,1,0.535174,0.384558,[57 49] ; [14  9],[58.34108527 47.65891473] ; [12.65891473 10.34108527],0
a8,1,0.599944,0.27508,[ 8 91] ; [ 1 20],[ 7.425 91.575] ; [ 1.575 19.425],0
b5,1,0.627405,0.235596,[54 52] ; [13 10],[55.05426357 50.94573643] ; [11.94573643 11.05426357],0
n3,1,0.708207,0.140074,[27 19] ; [4 2],[27.42307692 18.57692308] ; [3.57692308 2.42307692],0
n1,1,0.714062,0.134254,[15 32] ; [2 3],[15.36538462 31.63461538] ; [1.63461538 3.36538462],0
p6,1,0.732503,0.116826,[11 93] ; [ 3 20],[11.46456693 92.53543307] ; [ 2.53543307 20.46456693],0
d4,1,0.776969,0.080243,[71 33] ; [15  8],[70.42519685 33.57480315] ; [15.57480315  7.42519685],0
p3,1,0.817385,0.053319,[25 80] ; [ 6 17],[25.4296875 79.5703125] ; [ 5.5703125 17.4296875],0
a1,1,0.85189,0.03486,[ 8 98] ; [ 2 21],[ 8.21705426 97.78294574] ; [ 1.78294574 21.21705426],0
s4,1,0.861051,0.030638,[16 90] ; [ 3 19],[15.734375 90.265625] ; [ 3.265625 18.734375],0
v1,1,0.870791,0.026456,[35 71] ; [ 8 15],[35.33333333 70.66666667] ; [ 7.66666667 15.33333333],0
p7,1,0.879397,0.023023,[30 74] ; [ 7 16],[30.2992126 73.7007874] ; [ 6.7007874 16.2992126],0
d1,1,0.898756,0.016188,[43 63] ; [ 9 14],[42.72868217 63.27131783] ; [ 9.27131783 13.72868217],0
a7,1,0.918154,0.010559,[60 44] ; [13 10],[59.77952756 44.22047244] ; [13.22047244  9.77952756],0
