Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.614607,[ 8 22] ; [33  6],[17.82608696 12.17391304] ; [23.17391304 15.82608696],1
r3,1,0.000639,11.658421,[16 14] ; [35  4],[22.17391304  7.82608696] ; [28.82608696 10.17391304],1
n5,1,0.000877,11.071714,[20 10] ; [10 28],[13.23529412 16.76470588] ; [16.76470588 21.23529412],1
d3,1,0.023746,5.113077,[ 6 24] ; [18 21],[10.43478261 19.56521739] ; [13.56521739 25.43478261],0
b4,1,0.027275,4.873345,[12 18] ; [26 13],[16.52173913 13.47826087] ; [21.47826087 17.52173913],0
d4,1,0.041284,4.164339,[14 16] ; [27 11],[18.08823529 11.91176471] ; [22.91176471 15.08823529],0
v4,1,0.045264,4.008769,[18 11] ; [31  6],[21.53030303  7.46969697] ; [27.46969697  9.53030303],0
v3,1,0.049399,3.861735,[ 3 25] ; [11 24],[ 6.22222222 21.77777778] ; [ 7.77777778 27.22222222],0
u2,1,0.052068,3.773589,[9 8] ; [12  2],[11.51612903  5.48387097] ; [9.48387097 4.51612903],0
r2,1,0.055023,3.681401,[19  9] ; [34  5],[22.14925373  5.85074627] ; [30.85074627  8.14925373],0
b1,1,0.079889,3.067158,[23  7] ; [22 17],[19.56521739 10.43478261] ; [25.43478261 13.56521739],0
p11,1,0.08555,2.956177,[13 17] ; [25 14],[16.52173913 13.47826087] ; [21.47826087 17.52173913],0
a3,1,0.08555,2.956177,[13 17] ; [25 14],[16.52173913 13.47826087] ; [21.47826087 17.52173913],0
s3,1,0.113383,2.506423,[13 16] ; [25 14],[16.20588235 12.79411765] ; [21.79411765 17.20588235],0
v1,1,0.156023,2.012351,[11 19] ; [21 18],[13.91304348 16.08695652] ; [18.08695652 20.91304348],0
p8,1,0.173456,1.852815,[ 6 23] ; [14 25],[ 8.52941176 20.47058824] ; [11.47058824 27.52941176],0
a2,1,0.190101,1.716834,[ 3 27] ; [ 1 38],[ 1.73913043 28.26086957] ; [ 2.26086957 36.73913043],0
u3,1,0.20009,1.641719,[ 7 10] ; [9 5],[8.77419355 8.22580645] ; [7.22580645 6.77419355],0
a1,1,0.230487,1.437851,[ 4 26] ; [ 2 37],[ 2.60869565 27.39130435] ; [ 3.39130435 35.60869565],0
a5,1,0.253703,1.302797,[12 18] ; [21 18],[14.34782609 15.65217391] ; [18.65217391 20.34782609],0
s6,1,0.271552,1.208889,[11 19] ; [19 19],[13.23529412 16.76470588] ; [16.76470588 21.23529412],0
n1,1,0.273322,1.2,[9 6] ; [6 9],[7.5 7.5] ; [7.5 7.5],0
a6,1,0.281772,1.158524,[13 17] ; [12 27],[10.86956522 19.13043478] ; [14.13043478 24.86956522],0
p10,1,0.282966,1.152787,[11 17] ; [20 18],[13.15151515 14.84848485] ; [17.84848485 20.15151515],0
s5,1,0.283481,1.150327,[ 5 25] ; [10 26],[ 6.81818182 23.18181818] ; [ 8.18181818 27.81818182],0
d1,1,0.302865,1.061538,[ 8 22] ; [15 24],[10. 20.] ; [13. 26.],0
d5,1,0.309491,1.032848,[14 16] ; [23 16],[16.08695652 13.91304348] ; [20.91304348 18.08695652],0
p2,1,0.309718,1.03188,[13 15] ; [23 16],[15.04477612 12.95522388] ; [20.95522388 18.04477612],0
v2,1,0.317,1.001286,[ 9 19] ; [16 20],[10.9375 17.0625] ; [14.0625 21.9375],0
a4,1,0.41471,0.665258,[ 8 22] ; [14 25],[ 9.56521739 20.43478261] ; [12.43478261 26.56521739],0
s8,1,0.432976,0.614828,[ 6 24] ; [11 28],[ 7.39130435 22.60869565] ; [ 9.60869565 29.39130435],0
a8,1,0.450112,0.57037,[ 2 28] ; [ 1 35],[ 1.36363636 28.63636364] ; [ 1.63636364 34.36363636],0
p3,1,0.468736,0.524954,[ 8 21] ; [14 25],[ 9.38235294 19.61764706] ; [12.61764706 26.38235294],0
b5,1,0.512307,0.429351,[13 17] ; [20 19],[14.34782609 15.65217391] ; [18.65217391 20.34782609],0
n4,1,0.596585,0.280178,[15 15] ; [22 17],[16.08695652 13.91304348] ; [20.91304348 18.08695652],0
s7,1,0.624297,0.239874,[ 8 21] ; [11 22],[ 8.88709677 20.11290323] ; [10.11290323 22.88709677],0
d2,1,0.639371,0.219566,[14 16] ; [16 23],[13.04347826 16.95652174] ; [16.95652174 22.04347826],0
p4,1,0.659765,0.193809,[13 16] ; [15 23],[12.11940299 16.88059701] ; [15.88059701 22.11940299],0
s2,1,0.660426,0.193007,[10 20] ; [15 24],[10.86956522 19.13043478] ; [14.13043478 24.86956522],0
p1,1,0.73593,0.113736,[ 3 27] ; [ 3 36],[ 2.60869565 27.39130435] ; [ 3.39130435 35.60869565],0
n2,1,0.739332,0.110714,[12  4] ; [12  3],[12.38709677  3.61290323] ; [11.61290323  3.38709677],0
p7,1,0.741133,0.109134,[15 15] ; [17 20],[14.32835821 15.67164179] ; [17.67164179 19.32835821],0
s4,1,0.778265,0.079288,[ 7 23] ; [ 8 31],[ 6.52173913 23.47826087] ; [ 8.47826087 30.52173913],0
p6,1,0.794679,0.067725,[ 7 21] ; [ 8 28],[ 6.5625 21.4375] ; [ 8.4375 27.5625],0
b3,1,0.906523,0.013789,[ 8 13] ; [ 8 14],[ 7.81395349 13.18604651] ; [ 8.18604651 13.81395349],0
b2,1,0.906523,0.013789,[ 8 13] ; [ 8 14],[ 7.81395349 13.18604651] ; [ 8.18604651 13.81395349],0
n3,1,0.919347,0.010253,[10  6] ; [9 5],[10.13333333  5.86666667] ; [8.86666667 5.13333333],0
p9,1,0.941267,0.005428,[15 14] ; [20 18],[15.14925373 13.85074627] ; [19.85074627 18.14925373],0
