Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,23.66372,[69 20] ; [17 31],[55.86861314 33.13138686] ; [30.13138686 17.86861314],1
d4,1,0.009879,6.656539,[53 36] ; [39  9],[59.76642336 29.23357664] ; [32.23357664 15.76642336],0
u2,1,0.021691,5.270417,[ 9 23] ; [10  6],[12.66666667 19.33333333] ; [6.33333333 9.66666667],0
u3,1,0.027291,4.87233,[ 8 25] ; [9 7],[11.44897959 21.55102041] ; [ 5.55102041 10.44897959],0
d3,1,0.041794,4.143516,[40 48] ; [30 17],[45.62962963 42.37037037] ; [24.37037037 22.62962963],0
n1,1,0.04297,4.096599,[17 18] ; [ 3 13],[13.7254902 21.2745098] ; [6.2745098 9.7254902],0
p11,1,0.053973,3.713543,[56 33] ; [22 26],[50.67153285 38.32846715] ; [27.32846715 20.67153285],0
a7,1,0.065464,3.393251,[44 45] ; [31 16],[49.08088235 39.91911765] ; [25.91911765 21.08088235],0
n3,1,0.067468,3.343563,[26 11] ; [7 9],[23.03773585 13.96226415] ; [9.96226415 6.03773585],0
s5,1,0.06786,3.334044,[14 70] ; [14 32],[18.09230769 65.90769231] ; [ 9.90769231 36.09230769],0
r3,1,0.126871,2.330382,[63 25] ; [40  8],[66.64705882 21.35294118] ; [36.35294118 11.64705882],0
p10,1,0.128501,2.310519,[55 33] ; [23 24],[50.84444444 37.15555556] ; [27.15555556 19.84444444],0
b1,1,0.134806,2.236266,[40 49] ; [28 20],[44.17518248 44.82481752] ; [23.82481752 24.17518248],0
p9,1,0.147126,2.101802,[64 22] ; [28 17],[60.39694656 25.60305344] ; [31.60305344 13.39694656],0
a5,1,0.164798,1.929639,[50 39] ; [21 27],[46.12408759 42.87591241] ; [24.87591241 23.12408759],0
v4,1,0.180332,1.794883,[63 26] ; [39  9],[66.26277372 22.73722628] ; [35.73722628 12.26277372],0
a6,1,0.331588,0.942685,[54 35] ; [25 23],[51.32116788 37.67883212] ; [27.67883212 20.32116788],0
p7,1,0.419346,0.652148,[27 61] ; [18 30],[29.11764706 58.88235294] ; [15.88235294 32.11764706],0
r4,1,0.435933,0.606965,[42 47] ; [26 22],[44.17518248 44.82481752] ; [23.82481752 24.17518248],0
p1,1,0.445507,0.582058,[ 9 80] ; [ 3 45],[ 7.79562044 81.20437956] ; [ 4.20437956 43.79562044],0
p5,1,0.465907,0.531668,[ 4 84] ; [ 1 47],[ 3.23529412 84.76470588] ; [ 1.76470588 46.23529412],0
s2,1,0.493654,0.468552,[30 59] ; [19 29],[31.83211679 57.16788321] ; [17.16788321 30.83211679],0
d1,1,0.527399,0.399401,[34 55] ; [21 27],[35.72992701 53.27007299] ; [19.27007299 28.72992701],0
a4,1,0.539913,0.375701,[34 54] ; [16 32],[32.35294118 55.64705882] ; [17.64705882 30.35294118],0
n6,1,0.543528,0.36904,[62 27] ; [31 17],[60.41605839 28.58394161] ; [32.58394161 15.41605839],0
a3,1,0.548998,0.359116,[56 33] ; [32 15],[57.58823529 31.41176471] ; [30.41176471 16.58823529],0
s4,1,0.56507,0.331001,[15 74] ; [10 38],[16.24087591 72.75912409] ; [ 8.75912409 39.24087591],0
v2,1,0.62889,0.233569,[28 56] ; [18 30],[29.27272727 54.72727273] ; [16.72727273 31.27272727],0
b5,1,0.652832,0.202349,[54 35] ; [31 17],[55.2189781 33.7810219] ; [29.7810219 18.2189781],0
p12,1,0.654995,0.199661,[ 1 88] ; [ 1 47],[ 1.29927007 87.70072993] ; [ 0.70072993 47.29927007],0
p3,1,0.658519,0.195327,[27 62] ; [16 31],[28.13970588 60.86029412] ; [14.86029412 32.13970588],0
s6,1,0.684417,0.165196,[38 50] ; [19 29],[36.88235294 51.11764706] ; [20.11764706 27.88235294],0
a8,1,0.685753,0.163722,[ 9 75] ; [ 4 43],[ 8.33587786 75.66412214] ; [ 4.66412214 42.33587786],0
p2,1,0.729978,0.119132,[54 34] ; [28 20],[53.05882353 34.94117647] ; [28.94117647 19.05882353],0
d5,1,0.738676,0.111294,[60 29] ; [33 14],[60.86029412 28.13970588] ; [32.13970588 14.86029412],0
v1,1,0.757363,0.095447,[30 55] ; [15 31],[29.19847328 55.80152672] ; [15.80152672 30.19847328],0
v3,1,0.794047,0.068152,[20 66] ; [10 37],[19.39849624 66.60150376] ; [10.60150376 36.39849624],0
r2,1,0.832946,0.044489,[65 21] ; [34 12],[64.5 21.5] ; [34.5 11.5],0
d2,1,0.903998,0.014547,[39 48] ; [21 27],[38.66666667 48.33333333] ; [21.33333333 26.66666667],0
b4,1,0.905441,0.014111,[51 38] ; [27 21],[50.67153285 38.32846715] ; [27.32846715 20.67153285],0
u1,1,0.911775,0.012277,[ 6 83] ; [ 3 45],[ 5.84671533 83.15328467] ; [ 3.15328467 44.84671533],0
n2,1,0.911872,0.012249,[26 11] ; [11  5],[25.83018868 11.16981132] ; [11.16981132  4.83018868],0
s3,1,0.912276,0.012137,[37 52] ; [20 27],[37.30147059 51.69852941] ; [19.69852941 27.30147059],0
a1,1,0.923359,0.009255,[ 7 82] ; [ 4 44],[ 7.1459854 81.8540146] ; [ 3.8540146 44.1459854],0
s7,1,0.936196,0.006408,[25 59] ; [14 32],[25.2 58.8] ; [13.8 32.2],0
p6,1,0.936437,0.00636,[18 69] ; [10 37],[18.17910448 68.82089552] ; [ 9.82089552 37.17910448],0
b2,1,0.94716,0.004392,[22 32] ; [12 18],[21.85714286 32.14285714] ; [12.14285714 17.85714286],0
b3,1,0.94716,0.004392,[22 32] ; [12 18],[21.85714286 32.14285714] ; [12.14285714 17.85714286],0
p4,1,0.949986,0.003934,[32 57] ; [17 31],[31.83211679 57.16788321] ; [17.16788321 30.83211679],0
s8,1,0.952669,0.003523,[20 69] ; [11 37],[20.13868613 68.86131387] ; [10.86131387 37.13868613],0
a2,1,0.981021,0.000566,[11 78] ; [ 6 42],[11.04379562 77.95620438] ; [ 5.95620438 42.04379562],0
