Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,38.731146,[71 37] ; [12 56],[50.93181818 57.06818182] ; [32.06818182 35.93181818],1
s3,1,0.0,36.966912,[77 29] ; [17 50],[57.59537572 48.40462428] ; [36.40462428 30.59537572],1
s7,1,1e-06,24.699001,[62 41] ; [13 50],[46.53614458 56.46385542] ; [28.46385542 34.53614458],1
s5,1,5e-06,20.911916,[47 54] ; [ 8 57],[33.46385542 67.53614458] ; [21.53614458 43.46385542],1
s8,1,6.4e-05,15.976761,[53 55] ; [13 55],[40.5 67.5] ; [25.5 42.5],1
p4,1,0.001826,9.716624,[65 42] ; [24 42],[55.04624277 51.95375723] ; [33.95375723 32.04624277],0
p9,1,0.002179,9.392137,[91 15] ; [45 23],[82.85057471 23.14942529] ; [53.14942529 14.85057471],0
s4,1,0.003121,8.735294,[27 81] ; [ 5 63],[19.63636364 88.36363636] ; [12.36363636 55.63636364],0
p6,1,0.010551,6.539421,[35 72] ; [10 56],[27.83236994 79.16763006] ; [17.16763006 48.83236994],0
p3,1,0.010715,6.511991,[54 53] ; [21 47],[45.85714286 61.14285714] ; [29.14285714 38.85714286],0
p10,1,0.017088,5.687331,[89 18] ; [46 22],[82.54285714 24.45714286] ; [52.45714286 15.54285714],0
r1,1,0.04417,4.050041,[93 14] ; [51 17],[88.04571429 18.95428571] ; [55.95428571 12.04571429],0
a5,1,0.050384,3.828636,[85 22] ; [45 23],[79.48571429 27.51428571] ; [50.51428571 17.48571429],0
a8,1,0.056195,3.646264,[14 83] ; [ 3 59],[10.37106918 86.62893082] ; [ 6.62893082 55.37106918],0
u1,1,0.058757,3.572141,[23 85] ; [ 7 61],[18.40909091 89.59090909] ; [11.59090909 56.40909091],0
n2,1,0.076174,3.144706,[21  3] ; [13  7],[18.54545455  5.45454545] ; [15.45454545  4.54545455],0
a2,1,0.076254,3.14298,[30 78] ; [11 57],[25.15909091 82.84090909] ; [15.84090909 52.15909091],0
d2,1,0.09871,2.726271,[59 49] ; [28 39],[53.69142857 54.30857143] ; [33.30857143 33.69142857],0
a7,1,0.122,2.39146,[86 21] ; [47 20],[81.78735632 25.21264368] ; [51.21264368 15.78735632],0
p8,1,0.151383,2.058257,[52 52] ; [26 41],[47.43859649 56.56140351] ; [30.56140351 36.43859649],0
n5,1,0.159299,1.980872,[72 35] ; [38 29],[67.64367816 39.35632184] ; [42.35632184 24.64367816],0
p7,1,0.172757,1.858859,[68 38] ; [36 31],[63.72254335 42.27745665] ; [40.27745665 26.72254335],0
a1,1,0.212668,1.553172,[  8 100] ; [ 2 66],[  6.13636364 101.86363636] ; [ 3.86363636 64.13636364],0
