Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.472332,[52 64] ; [158  64],[72.07100592 43.92899408] ; [137.92899408  84.07100592],1
a6,1,3e-06,21.967365,[50 66] ; [154  68],[70.01183432 45.98816568] ; [133.98816568  88.01183432],1
r4,1,4.5e-05,16.651158,[88 28] ; [204  18],[100.21301775  15.78698225] ; [191.78698225  30.21301775],1
r3,1,0.00024,13.487645,[97 19] ; [210  10],[105.98809524  10.01190476] ; [201.01190476  18.98809524],1
d4,1,0.001291,10.354642,[75 40] ; [180  42],[87.01780415 27.98219585] ; [167.98219585  54.01780415],0
a2,1,0.00178,9.763857,[ 11 105] ; [ 52 170],[21.62130178 94.37869822] ; [ 41.37869822 180.62130178],0
r2,1,0.002552,9.102592,[99 17] ; [207  11],[106.2754491   9.7245509] ; [199.7245509  18.2754491],0
d5,1,0.005347,7.758072,[77 38] ; [179  43],[87.35905045 27.64094955] ; [168.64094955  53.35905045],0
p2,1,0.006459,7.41763,[83 32] ; [187  34],[92.41071429 22.58928571] ; [177.58928571  43.41071429],0
b1,1,0.010385,6.567575,[58 58] ; [ 79 143],[47.01775148 68.98224852] ; [ 89.98224852 132.01775148],0
u1,1,0.010974,6.4696,[  9 107] ; [ 40 182],[16.81656805 99.18343195] ; [ 32.18343195 189.81656805],0
p4,1,0.012414,6.25077,[56 60] ; [138  83],[66.77744807 49.22255193] ; [127.22255193  93.77744807],0
v4,1,0.013048,6.162613,[104  12] ; [213   8],[109.115727   6.884273] ; [207.884273  13.115727],0
u3,1,0.013743,6.070825,[16 27] ; [45 29],[22.41880342 20.58119658] ; [38.58119658 35.41880342],0
p10,1,0.014541,5.97128,[79 36] ; [175  42],[87.98192771 27.01807229] ; [166.01807229  50.98192771],0
u2,1,0.018895,5.511251,[15 28] ; [43 32],[21.13559322 21.86440678] ; [36.86440678 38.13559322],0
b5,1,0.029355,4.746657,[60 56] ; [142  80],[69.32544379 46.67455621] ; [132.67455621  89.32544379],0
d1,1,0.031699,4.614727,[50 66] ; [123  99],[59.37278107 56.62721893] ; [113.62721893 108.37278107],0
r1,1,0.036621,4.367937,[75 41] ; [166  54],[83.20238095 32.79761905] ; [157.79761905  62.20238095],0
n3,1,0.046833,3.951379,[23 17] ; [40 12],[27.39130435 12.60869565] ; [35.60869565 16.39130435],0
s2,1,0.062775,3.462516,[46 69] ; [112 109],[54.07738095 60.92261905] ; [103.92261905 117.07738095],0
