Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.001565,10.0,[8 2] ; [ 4 16],[4. 6.] ; [ 8. 12.],0
p8,1,0.002221,9.357485,[7 4] ; [ 2 17],[3.3 7.7] ; [ 5.7 13.3],0
v4,1,0.008571,6.910142,[10  1] ; [ 9 12],[6.53125 4.46875] ; [12.46875  8.53125],0
p11,1,0.027084,4.885426,[7 4] ; [ 5 16],[4.125 6.875] ; [ 7.875 13.125],0
u2,1,0.0456,3.996327,[4 2] ; [2 9],[2.11764706 3.88235294] ; [3.88235294 7.11764706],0
n4,1,0.053116,3.74026,[6 5] ; [18  3],[8.25 2.75] ; [15.75  5.25],0
p4,1,0.053116,3.74026,[5 6] ; [ 3 18],[2.75 8.25] ; [ 5.25 15.75],0
n6,1,0.062749,3.463203,[8 3] ; [ 8 13],[5.5 5.5] ; [10.5 10.5],0
p2,1,0.062749,3.463203,[8 3] ; [ 8 13],[5.5 5.5] ; [10.5 10.5],0
p6,1,0.075458,3.160121,[4 7] ; [ 2 18],[2.12903226 8.87096774] ; [ 3.87096774 16.12903226],0
v1,1,0.11456,2.49016,[5 6] ; [ 4 17],[3.09375 7.90625] ; [ 5.90625 15.09375],0
a4,1,0.182791,1.774784,[ 1 10] ; [ 6 14],[2.48387097 8.51612903] ; [ 4.51612903 15.48387097],0
n5,1,0.189059,1.724932,[8 3] ; [19  2],[9.28125 1.71875] ; [17.71875  3.28125],0
p5,1,0.234929,1.410768,[2 9] ; [ 1 19],[1.06451613 9.93548387] ; [ 1.93548387 18.06451613],0
d5,1,0.28263,1.154401,[4 7] ; [ 4 17],[2.75 8.25] ; [ 5.25 15.75],0
s6,1,0.319135,0.99249,[4 7] ; [ 4 16],[2.83870968 8.16129032] ; [ 5.16129032 14.83870968],0
p7,1,0.339551,0.912127,[5 6] ; [ 6 15],[3.78125 7.21875] ; [ 7.21875 13.78125],0
p1,1,0.371332,0.799201,[3 8] ; [ 3 18],[2.0625 8.9375] ; [ 3.9375 17.0625],0
b2,1,0.451967,0.565714,[4 3] ; [6 9],[3.18181818 3.81818182] ; [6.81818182 8.18181818],0
b3,1,0.451967,0.565714,[4 3] ; [6 9],[3.18181818 3.81818182] ; [6.81818182 8.18181818],0
s4,1,0.461264,0.542825,[ 1 10] ; [ 4 17],[1.71875 9.28125] ; [ 3.28125 17.71875],0
s1,1,0.481819,0.494743,[2 9] ; [ 2 19],[1.375 9.625] ; [ 2.625 18.375],0
s8,1,0.515579,0.422727,[2 9] ; [ 2 18],[1.41935484 9.58064516] ; [ 2.58064516 17.41935484],0
a7,1,0.540396,0.374806,[3 8] ; [ 8 13],[3.78125 7.21875] ; [ 7.21875 13.78125],0
a6,1,0.542129,0.371607,[4 7] ; [10 11],[4.8125 6.1875] ; [ 9.1875 11.8125],0
b5,1,0.542129,0.371607,[4 7] ; [10 11],[4.8125 6.1875] ; [ 9.1875 11.8125],0
b4,1,0.542129,0.371607,[7 4] ; [11 10],[6.1875 4.8125] ; [11.8125  9.1875],0
n2,1,0.571107,0.320833,[5 3] ; [7 7],[4.36363636 3.63636364] ; [7.63636364 6.36363636],0
d3,1,0.592948,0.285764,[3 8] ; [ 4 17],[2.40625 8.59375] ; [ 4.59375 16.40625],0
s2,1,0.592948,0.285764,[3 8] ; [ 4 17],[2.40625 8.59375] ; [ 4.59375 16.40625],0
p12,1,0.630872,0.23088,[ 1 10] ; [ 1 20],[ 0.6875 10.3125] ; [ 1.3125 19.6875],0
s5,1,0.673005,0.178108,[ 1 10] ; [ 3 18],[1.375 9.625] ; [ 2.625 18.375],0
n3,1,0.697161,0.151442,[5 3] ; [7 6],[4.57142857 3.42857143] ; [7.42857143 5.57142857],0
s7,1,0.697893,0.150673,[3 8] ; [ 4 15],[2.56666667 8.43333333] ; [ 4.43333333 14.56666667],0
a3,1,0.704786,0.143541,[5 6] ; [10  9],[5.5 5.5] ; [9.5 9.5],0
v3,1,0.71271,0.135585,[3 7] ; [ 5 16],[2.58064516 7.41935484] ; [ 5.41935484 15.58064516],0
v2,1,0.739332,0.110714,[1 9] ; [ 3 18],[1.29032258 8.70967742] ; [ 2.70967742 18.29032258],0
n1,1,0.746188,0.104762,[4 4] ; [8 6],[4.36363636 3.63636364] ; [7.63636364 6.36363636],0
p3,1,0.773117,0.083117,[2 9] ; [ 3 18],[1.71875 9.28125] ; [ 3.28125 17.71875],0
r1,1,0.863894,0.029385,[4 7] ; [ 7 14],[3.78125 7.21875] ; [ 7.21875 13.78125],0
d2,1,0.863894,0.029385,[4 7] ; [ 7 14],[3.78125 7.21875] ; [ 7.21875 13.78125],0
s3,1,0.871524,0.026154,[2 7] ; [ 5 15],[2.17241379 6.82758621] ; [ 4.82758621 15.17241379],0
a5,1,0.888126,0.01979,[5 6] ; [ 9 12],[4.8125 6.1875] ; [ 9.1875 11.8125],0
b1,1,0.907226,0.013581,[6 5] ; [11 10],[5.84375 5.15625] ; [11.15625  9.84375],0
r4,1,0.952475,0.003552,[2 9] ; [ 4 17],[2.0625 8.9375] ; [ 3.9375 17.0625],0
