Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-05,19.571468,[30 61] ; [43 19],[43.41830065 47.58169935] ; [29.58169935 32.41830065],1
s7,1,1.4e-05,18.874264,[15 72] ; [31 30],[27.04054054 59.95945946] ; [18.95945946 42.04054054],1
s2,1,1.5e-05,18.744741,[17 75] ; [32 30],[29.27272727 62.72727273] ; [19.72727273 42.27272727],1
s8,1,0.000566,11.885931,[14 78] ; [25 38],[23.1483871 68.8516129] ; [15.8516129 47.1483871],1
p10,1,0.000921,10.979458,[48 43] ; [49 13],[57.69281046 33.30718954] ; [39.30718954 22.69281046],1
r4,1,0.001713,9.833711,[54 38] ; [52 11],[62.91612903 29.08387097] ; [43.08387097 19.91612903],0
a6,1,0.004501,8.069844,[40 52] ; [42 21],[48.67096774 43.32903226] ; [33.32903226 29.67096774],0
r3,1,0.005539,7.694339,[67 23] ; [58  5],[73.52941176 16.47058824] ; [51.47058824 11.52941176],0
p9,1,0.007871,7.062616,[53 37] ; [50 13],[60.58823529 29.41176471] ; [42.41176471 20.58823529],0
p5,1,0.009871,6.658022,[ 2 88] ; [ 8 55],[ 5.88235294 84.11764706] ; [ 4.11764706 58.88235294],0
p8,1,0.01847,5.55102,[30 60] ; [33 30],[37.05882353 52.94117647] ; [25.94117647 37.05882353],0
d4,1,0.022219,5.22855,[35 56] ; [36 27],[41.95454545 49.04545455] ; [29.04545455 33.95454545],0
v1,1,0.029671,4.728249,[33 58] ; [33 28],[39.51315789 51.48684211] ; [26.48684211 34.51315789],0
v4,1,0.030401,4.686467,[69 21] ; [56  6],[74.01315789 15.98684211] ; [50.98684211 11.01315789],0
p2,1,0.033585,4.515687,[55 37] ; [48 15],[61.13548387 30.86451613] ; [41.86451613 21.13548387],0
u2,1,0.033761,4.506787,[17 29] ; [18 11],[21.46666667 24.53333333] ; [13.53333333 15.46666667],0
a7,1,0.033987,4.495367,[42 49] ; [40 23],[48.45454545 42.54545455] ; [33.54545455 29.45454545],0
p4,1,0.059613,3.548123,[31 60] ; [31 32],[36.63636364 54.36363636] ; [25.36363636 37.63636364],0
v2,1,0.060986,3.510359,[27 59] ; [28 32],[32.39726027 53.60273973] ; [22.60273973 37.39726027],0
p11,1,0.075295,3.163653,[56 36] ; [47 16],[61.13548387 30.86451613] ; [41.86451613 21.13548387],0
n6,1,0.076705,3.13336,[58 32] ; [49 14],[62.94117647 27.05882353] ; [44.05882353 18.94117647],0
b3,1,0.086604,2.936386,[25 34] ; [ 9 27],[21.11578947 37.88421053] ; [12.88421053 23.11578947],0
b2,1,0.086604,2.936386,[25 34] ; [ 9 27],[21.11578947 37.88421053] ; [12.88421053 23.11578947],0
r1,1,0.096853,2.756608,[50 41] ; [43 20],[54.95454545 36.04545455] ; [38.04545455 24.95454545],0
d3,1,0.109095,2.567288,[32 60] ; [30 33],[36.8 55.2] ; [25.2 37.8],0
v3,1,0.111292,2.535775,[21 68] ; [22 40],[25.34437086 63.65562914] ; [17.65562914 44.34437086],0
p3,1,0.112247,2.5223,[24 68] ; [24 39],[28.49032258 63.50967742] ; [19.50967742 43.49032258],0
n5,1,0.126013,2.340945,[55 35] ; [46 17],[59.41176471 30.58823529] ; [41.58823529 21.41176471],0
n4,1,0.163164,1.944653,[52 39] ; [43 20],[56.13636364 34.86363636] ; [38.86363636 24.13636364],0
s4,1,0.170709,1.876709,[ 8 84] ; [10 53],[10.68387097 81.31612903] ; [ 7.31612903 55.68387097],0
r2,1,0.190408,1.714456,[70 21] ; [53  9],[73.15686275 17.84313725] ; [49.84313725 12.15686275],0
a4,1,0.218202,1.516156,[21 71] ; [ 9 52],[18.03921569 73.96078431] ; [11.96078431 49.03921569],0
p7,1,0.220184,1.50317,[42 47] ; [35 26],[45.68666667 43.31333333] ; [31.31333333 29.68666667],0
n1,1,0.247891,1.335153,[15 19] ; [ 4 11],[13.18367347 20.81632653] ; [5.81632653 9.18367347],0
b1,1,0.316341,1.004014,[44 48] ; [25 38],[40.95483871 51.04516129] ; [28.04516129 34.95483871],0
a5,1,0.330909,0.945337,[38 54] ; [31 32],[40.95483871 51.04516129] ; [28.04516129 34.95483871],0
a8,1,0.358703,0.84243,[ 8 78] ; [ 8 48],[ 9.69014085 76.30985915] ; [ 6.30985915 49.69014085],0
p12,1,0.371253,0.799465,[ 3 88] ; [ 4 59],[ 4.13636364 86.86363636] ; [ 2.86363636 60.13636364],0
p6,1,0.440304,0.595491,[20 71] ; [17 45],[22.00653595 68.99346405] ; [14.99346405 47.00653595],0
n2,1,0.47374,0.513239,[26  8] ; [10  5],[24.97959184  9.02040816] ; [11.02040816  3.97959184],0
s1,1,0.498877,0.457326,[ 7 84] ; [ 3 58],[ 5.98684211 85.01315789] ; [ 4.01315789 56.98684211],0
u3,1,0.515416,0.423057,[18 28] ; [14 16],[19.36842105 26.63157895] ; [12.63157895 17.36842105],0
a2,1,0.533475,0.387767,[ 5 87] ; [ 5 58],[ 5.93548387 86.06451613] ; [ 4.06451613 58.93548387],0
n3,1,0.555113,0.348236,[22 10] ; [9 6],[21.10638298 10.89361702] ; [9.89361702 5.10638298],0
b5,1,0.589173,0.291637,[50 42] ; [37 26],[51.63870968 40.36129032] ; [35.36129032 27.63870968],0
b4,1,0.619804,0.246143,[49 43] ; [31 32],[47.48387097 44.51612903] ; [32.51612903 30.48387097],0
