Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.93735,[ 22 111] ; [19 14],[ 32.84939759 100.15060241] ; [ 8.15060241 24.84939759],1
s2,1,0.00896,6.830777,[ 13 118] ; [ 9 24],[ 17.57317073 113.42682927] ; [ 4.42682927 28.57317073],0
v1,1,0.017047,5.691485,[35 95] ; [16 17],[40.67484663 89.32515337] ; [10.32515337 22.67484663],0
p8,1,0.017295,5.666209,[ 23 109] ; [12 21],[ 28. 104.] ; [ 7. 26.],0
p6,1,0.021179,5.312003,[ 10 122] ; [ 7 26],[ 13.6 118.4] ; [ 3.4 29.6],0
p1,1,0.025417,4.99527,[  8 124] ; [ 6 27],[ 11.2 120.8] ; [ 2.8 30.2],0
n3,1,0.037563,4.324707,[24 26] ; [7 1],[26.72413793 23.27586207] ; [4.27586207 3.72413793],0
s3,1,0.045713,3.992134,[ 23 108] ; [11 22],[ 27.15853659 103.84146341] ; [ 6.84146341 26.15853659],0
v4,1,0.047796,3.917151,[99 33] ; [30  3],[103.2  28.8] ; [25.8  7.2],0
p10,1,0.085502,2.957081,[69 61] ; [23 10],[73.37423313 56.62576687] ; [18.62576687 14.37423313],0
s5,1,0.097731,2.742182,[  9 118] ; [ 5 25],[ 11.32484076 115.67515924] ; [ 2.67515924 27.32484076],0
n6,1,0.122813,2.381076,[81 51] ; [25  8],[84.8 47.2] ; [21.2 11.8],0
p2,1,0.12306,2.377935,[73 60] ; [23 10],[76.91566265 56.08433735] ; [19.08433735 13.91566265],0
a7,1,0.164046,1.936525,[83 49] ; [25  8],[86.4 45.6] ; [21.6 11.4],0
r3,1,0.172182,1.863838,[101  30] ; [29  4],[103.84146341  27.15853659] ; [26.15853659  6.84146341],0
n4,1,0.172438,1.861622,[84 49] ; [25  8],[87.3313253 45.6686747] ; [21.6686747 11.3313253],0
d5,1,0.18582,1.750451,[89 44] ; [26  7],[92.13855422 40.86144578] ; [22.86144578 10.13855422],0
a5,1,0.214968,1.537652,[77 56] ; [23 10],[80.12048193 52.87951807] ; [19.87951807 13.12048193],0
r2,1,0.228142,1.45241,[107  23] ; [30  3],[109.26380368  20.73619632] ; [27.73619632  5.26380368],0
b5,1,0.259018,1.273998,[75 58] ; [15 18],[72.10843373 60.89156627] ; [17.89156627 15.10843373],0
u4,1,0.2829,1.153104,[  1 132] ; [ 1 32],[  1.60240964 131.39759036] ; [ 0.39759036 32.60240964],0
s8,1,0.285577,1.140356,[ 15 118] ; [ 6 27],[ 16.8253012 116.1746988] ; [ 4.1746988 28.8253012],0
p9,1,0.299079,1.078295,[76 51] ; [23 10],[78.58125 48.41875] ; [20.41875 12.58125],0
a8,1,0.327619,0.958285,[ 11 117] ; [ 1 29],[  9.72151899 118.27848101] ; [ 2.27848101 27.72151899],0
p11,1,0.357917,0.845189,[77 56] ; [22 11],[79.31927711 53.68072289] ; [19.68072289 13.31927711],0
d1,1,0.370432,0.802214,[57 76] ; [17 16],[59.28915663 73.71084337] ; [14.71084337 18.28915663],0
n2,1,0.372934,0.793866,[31 22] ; [6 2],[32.14754098 20.85245902] ; [4.85245902 3.14754098],0
a4,1,0.430936,0.620301,[54 78] ; [16 17],[56. 76.] ; [14. 19.],0
d3,1,0.450596,0.569151,[75 58] ; [21 12],[76.91566265 56.08433735] ; [19.08433735 13.91566265],0
s7,1,0.509079,0.435961,[ 19 107] ; [ 6 24],[ 20.19230769 105.80769231] ; [ 4.80769231 25.19230769],0
u3,1,0.525732,0.402634,[22 28] ; [7 6],[23.01587302 26.98412698] ; [5.98412698 7.01587302],0
d4,1,0.531638,0.39126,[97 35] ; [26  7],[98.4 33.6] ; [24.6  8.4],0
b2,1,0.539307,0.376826,[33 43] ; [ 6 11],[31.87096774 44.12903226] ; [7.12903226 9.87096774],0
b3,1,0.539307,0.376826,[33 43] ; [ 6 11],[31.87096774 44.12903226] ; [7.12903226 9.87096774],0
p12,1,0.564573,0.331847,[  2 129] ; [ 1 32],[  2.39634146 128.60365854] ; [ 0.60365854 32.39634146],0
n5,1,0.573711,0.316513,[81 51] ; [22 11],[82.4 49.6] ; [20.6 12.4],0
r4,1,0.594157,0.283898,[82 51] ; [22 11],[83.3253012 49.6746988] ; [20.6746988 12.3253012],0
b4,1,0.601009,0.273477,[78 55] ; [21 12],[79.31927711 53.68072289] ; [19.68072289 13.31927711],0
a2,1,0.656438,0.197879,[ 20 113] ; [ 6 27],[ 20.8313253 112.1686747] ; [ 5.1686747 27.8313253],0
s1,1,0.699314,0.149186,[  6 126] ; [ 1 32],[  5.6 126.4] ; [ 1.4 31.6],0
u1,1,0.807664,0.059264,[ 14 119] ; [ 3 30],[ 13.62048193 119.37951807] ; [ 3.37951807 29.62048193],0
a3,1,0.809468,0.058135,[83 49] ; [20 13],[82.4 49.6] ; [20.6 12.4],0
u2,1,0.817421,0.053298,[21 29] ; [5 8],[20.63492063 29.36507937] ; [5.36507937 7.63492063],0
v3,1,0.830861,0.045624,[31 96] ; [ 7 24],[30.5443038 96.4556962] ; [ 7.4556962 23.5443038],0
r1,1,0.837665,0.041976,[78 55] ; [20 13],[78.51807229 54.48192771] ; [19.48192771 13.51807229],0
