Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,3.5e-05,17.139706,[ 14 169] ; [14 33],[ 22.27826087 160.72173913] ; [ 5.72173913 41.27826087],1
b5,1,0.000214,13.701233,[117  66] ; [16 31],[105.82173913  77.17826087] ; [27.17826087 19.82173913],1
s6,1,0.000598,11.781423,[ 77 104] ; [32 13],[87.29646018 93.70353982] ; [21.70353982 23.29646018],1
r1,1,0.007091,7.249804,[138  44] ; [44  3],[144.64628821  37.35371179] ; [37.35371179  9.64628821],0
s4,1,0.012773,6.20032,[ 13 169] ; [ 9 38],[ 17.48471616 164.51528384] ; [ 4.51528384 42.48471616],0
p7,1,0.023456,5.134386,[137  42] ; [43  4],[142.56637168  36.43362832] ; [37.43362832  9.56637168],0
a8,1,0.029708,4.726128,[ 14 146] ; [ 9 35],[ 18.03921569 141.96078431] ; [ 4.96078431 39.03921569],0
p3,1,0.038894,4.265486,[102  81] ; [34 13],[108.20869565  74.79130435] ; [27.79130435 19.20869565],0
s8,1,0.048805,3.882036,[ 47 135] ; [19 28],[ 52.45414847 129.54585153] ; [13.54585153 33.45414847],0
a7,1,0.060157,3.533048,[138  45] ; [29 18],[132.87391304  50.12608696] ; [34.12608696 12.87391304],0
d2,1,0.066386,3.370198,[ 74 109] ; [26 21],[ 79.56521739 103.43478261] ; [20.43478261 26.56521739],0
a5,1,0.085278,2.961328,[129  54] ; [39  8],[133.66956522  49.33043478] ; [34.33043478 12.66956522],0
b2,1,0.105466,2.620878,[31 76] ; [13 16],[34.61764706 72.38235294] ; [ 9.38235294 19.61764706],0
b3,1,0.105466,2.620878,[31 76] ; [13 16],[34.61764706 72.38235294] ; [ 9.38235294 19.61764706],0
p10,1,0.107284,2.593787,[148  33] ; [43  4],[151.62719298  29.37280702] ; [39.37280702  7.62719298],0
p6,1,0.107955,2.583912,[ 67 114] ; [23 23],[ 71.76211454 109.23788546] ; [18.23788546 27.76211454],0
a6,1,0.120215,2.41452,[127  56] ; [27 20],[122.53043478  60.46956522] ; [31.46956522 15.53043478],0
a1,1,0.135136,2.232494,[  4 179] ; [ 3 44],[  5.56956522 177.43043478] ; [ 1.43043478 45.56956522],0
p12,1,0.137638,2.204169,[  9 172] ; [ 5 41],[ 11.16299559 169.83700441] ; [ 2.83700441 43.16299559],0
d1,1,0.14345,2.14056,[95 88] ; [30 17],[99.45652174 83.54347826] ; [25.54347826 21.45652174],0
n5,1,0.144403,2.130403,[127  54] ; [38  9],[130.98684211  50.01315789] ; [34.01315789 12.98684211],0
p4,1,0.15545,2.017935,[119  62] ; [36 11],[123.04824561  57.95175439] ; [31.95175439 15.04824561],0
n3,1,0.160121,1.973085,[22 12] ; [8 1],[23.72093023 10.27906977] ; [6.27906977 2.72093023],0
r3,1,0.171379,1.870839,[169  14] ; [46  1],[171.06521739  11.93478261] ; [43.93478261  3.06521739],0
u1,1,0.207225,1.590711,[ 19 164] ; [ 8 39],[ 21.4826087 161.5173913] ; [ 5.5173913 41.4826087],0
n4,1,0.217477,1.520939,[131  51] ; [38  9],[134.31441048  47.68558952] ; [34.68558952 12.31441048],0
d4,1,0.241669,1.370829,[137  46] ; [39  8],[140.03478261  42.96521739] ; [35.96521739 11.03478261],0
p2,1,0.263538,1.250074,[160  22] ; [44  3],[162.13100437  19.86899563] ; [41.86899563  5.13100437],0
