Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,30.763829,[213  88] ; [ 98 113],[182.83398438 118.16601562] ; [128.16601562  82.83398438],1
v3,1,1e-06,24.185483,[155 145] ; [ 64 150],[127.82101167 172.17898833] ; [ 91.17898833 122.82101167],1
n5,1,0.001177,10.525465,[263  48] ; [157  58],[248.3269962  62.6730038] ; [171.6730038  43.3269962],0
s8,1,0.001298,10.34546,[168 140] ; [ 87 129],[149.88549618 158.11450382] ; [105.11450382 110.88549618],0
p6,1,0.001354,10.267738,[135 170] ; [ 66 151],[117.44252874 187.55747126] ; [ 83.55747126 133.44252874],0
p4,1,0.001554,10.013197,[219  89] ; [126  92],[202.01520913 105.98479087] ; [142.98479087  75.01520913],0
p8,1,0.002227,9.352136,[197 106] ; [111 104],[180.16216216 122.83783784] ; [127.83783784  87.16216216],0
a3,1,0.007838,7.0701,[258  53] ; [160  58],[245.74291115  65.25708885] ; [172.25708885  45.74291115],0
s5,1,0.012502,6.238188,[125 179] ; [ 64 147],[111.56504854 192.43495146] ; [ 77.43495146 133.56504854],0
p9,1,0.016411,5.758277,[285  23] ; [186  30],[276.84732824  31.15267176] ; [194.15267176  21.84732824],0
b5,1,0.023213,5.152482,[194 118] ; [114 104],[181.31320755 130.68679245] ; [126.68679245  91.31320755],0
s2,1,0.028595,4.791858,[170 136] ; [ 99 117],[157.68965517 148.31034483] ; [111.31034483 104.68965517],0
u4,1,0.029082,4.762758,[ 10 302] ; [  1 217],[  6.4754717 305.5245283] ; [  4.5245283 213.4754717],0
p3,1,0.031796,4.60944,[183 126] ; [108 109],[170.9486692 138.0513308] ; [120.0513308  96.9486692],0
r1,1,0.045129,4.013797,[272  39] ; [176  41],[263.87878788  47.12121212] ; [184.12121212  32.87878788],0
b2,1,0.055146,3.67767,[100 118] ; [46 84],[ 91.45977011 126.54022989] ; [54.54022989 75.45977011],0
b3,1,0.055146,3.67767,[100 118] ; [46 84],[ 91.45977011 126.54022989] ; [54.54022989 75.45977011],0
v4,1,0.080509,3.054605,[300   9] ; [203  13],[296.05142857  12.94857143] ; [206.94857143   9.05142857],0
n2,1,0.082184,3.021168,[42  8] ; [39 17],[38.20754717 11.79245283] ; [42.79245283 13.20754717],0
u1,1,0.083778,2.990039,[ 77 235] ; [ 40 178],[ 68.8754717 243.1245283] ; [ 48.1245283 169.8754717],0
p7,1,0.086567,2.937087,[214  88] ; [137  78],[205.03288201  96.96711799] ; [145.96711799  69.03288201],0
u3,1,0.08721,2.925126,[37 17] ; [30 27],[32.59459459 21.40540541] ; [34.40540541 22.59459459],0
r4,1,0.089702,2.879707,[293  19] ; [196  22],[287.86415094  24.13584906] ; [201.13584906  16.86415094],0
d1,1,0.096017,2.77048,[219  93] ; [138  80],[210.15849057 101.84150943] ; [146.84150943  71.15849057],0
p2,1,0.101159,2.687169,[278  31] ; [185  32],[271.9904943  37.0095057] ; [191.0095057  25.9904943],0
r2,1,0.111172,2.537488,[296  13] ; [199  16],[291.89885496  17.10114504] ; [203.10114504  11.89885496],0
