Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4.4e-05,16.691152,[27 11] ; [ 6 23],[18.71641791 19.28358209] ; [14.28358209 14.71641791],1
s6,1,0.000717,11.445503,[29  7] ; [11 17],[22.5 13.5] ; [17.5 10.5],1
d5,1,0.000809,11.220876,[35  3] ; [16 12],[29.36363636  8.63636364] ; [21.63636364  6.36363636],1
p3,1,0.001333,10.296251,[28 10] ; [10 19],[21.55223881 16.44776119] ; [16.44776119 12.55223881],0
a3,1,0.001505,10.072799,[29  9] ; [11 18],[22.68656716 15.31343284] ; [17.31343284 11.68656716],0
s3,1,0.001941,9.604274,[25 13] ; [ 8 21],[18.71641791 19.28358209] ; [14.28358209 14.71641791],0
s5,1,0.002277,9.311734,[18 14] ; [ 5 23],[12.26666667 19.73333333] ; [10.73333333 17.26666667],0
s2,1,0.002401,9.214454,[26 12] ; [ 9 20],[19.85074627 18.14925373] ; [15.14925373 13.85074627],0
s8,1,0.004812,7.948733,[25 13] ; [ 9 20],[19.28358209 18.71641791] ; [14.71641791 14.28358209],0
a4,1,0.005591,7.677643,[19 19] ; [ 5 24],[13.6119403 24.3880597] ; [10.3880597 18.6119403],0
d4,1,0.008532,6.918231,[33  5] ; [17 12],[28.35820896  9.64179104] ; [21.64179104  7.35820896],0
p9,1,0.014387,5.990039,[35  3] ; [20  9],[31.19402985  6.80597015] ; [23.80597015  5.19402985],0
n4,1,0.018724,5.527141,[30  8] ; [15 14],[25.52238806 12.47761194] ; [19.47761194  9.52238806],0
p4,1,0.019267,5.477108,[31  7] ; [16 13],[26.65671642 11.34328358] ; [20.34328358  8.65671642],0
p10,1,0.021598,5.277847,[32  5] ; [18 11],[28.03030303  8.96969697] ; [21.96969697  7.03030303],0
n6,1,0.074547,3.179961,[33  5] ; [20  9],[30.05970149  7.94029851] ; [22.94029851  6.05970149],0
a6,1,0.09578,2.77444,[26 12] ; [14 15],[22.68656716 15.31343284] ; [17.31343284 11.68656716],0
d2,1,0.09969,2.710497,[18 20] ; [ 8 21],[14.74626866 23.25373134] ; [11.25373134 17.74626866],0
s7,1,0.119565,2.423011,[23 14] ; [11 15],[19.96825397 17.03174603] ; [14.03174603 11.96825397],0
n5,1,0.146392,2.109448,[29  8] ; [18 11],[26.34848485 10.65151515] ; [20.65151515  8.34848485],0
b5,1,0.150383,2.068367,[21 17] ; [21  8],[23.82089552 14.17910448] ; [18.17910448 10.82089552],0
a1,1,0.16787,1.901865,[ 5 33] ; [ 1 28],[ 3.40298507 34.59701493] ; [ 2.59701493 26.40298507],0
v1,1,0.170559,1.878026,[19 18] ; [10 19],[16.25757576 20.74242424] ; [12.74242424 16.25757576],0
d3,1,0.176022,1.830897,[26 12] ; [14 13],[23.38461538 14.61538462] ; [16.61538462 10.38461538],0
p5,1,0.266031,1.237096,[ 6 32] ; [ 2 27],[ 4.53731343 33.46268657] ; [ 3.46268657 25.53731343],0
u1,1,0.274681,1.193221,[ 4 34] ; [ 1 28],[ 2.8358209 35.1641791] ; [ 2.1641791 26.8358209],0
r2,1,0.277172,1.180902,[33  3] ; [24  5],[31.56923077  4.43076923] ; [25.43076923  3.56923077],0
n1,1,0.305319,1.050816,[5 8] ; [6 4],[6.2173913 6.7826087] ; [4.7826087 5.2173913],0
v2,1,0.369322,0.805945,[22 15] ; [13 14],[20.234375 16.765625] ; [14.765625 12.234375],0
p11,1,0.391897,0.733047,[32  6] ; [22  7],[30.62686567  7.37313433] ; [23.37313433  5.62686567],0
u3,1,0.395416,0.722222,[5 3] ; [ 8 10],[4. 4.] ; [9. 9.],0
n3,1,0.403713,0.697239,[9 5] ; [8 2],[9.91666667 4.08333333] ; [7.08333333 2.91666667],0
v4,1,0.406438,0.689195,[33  5] ; [27  2],[34.02985075  3.97014925] ; [25.97014925  3.02985075],0
a8,1,0.449124,0.572861,[ 3 33] ; [ 4 24],[ 3.9375 32.0625] ; [ 3.0625 24.9375],0
p1,1,0.517286,0.4193,[ 6 32] ; [ 3 26],[ 5.10447761 32.89552239] ; [ 3.89552239 25.10447761],0
b4,1,0.525835,0.402434,[22 16] ; [19 10],[23.25373134 14.74626866] ; [17.74626866 11.25373134],0
n2,1,0.558185,0.342857,[10  4] ; [6 4],[9.33333333 4.66666667] ; [6.66666667 3.33333333],0
u2,1,0.573025,0.317647,[5 4] ; [12  6],[5.66666667 3.33333333] ; [11.33333333  6.66666667],0
p2,1,0.60426,0.268619,[32  6] ; [23  6],[31.19402985  6.80597015] ; [23.80597015  5.19402985],0
s1,1,0.704804,0.143523,[ 2 35] ; [ 1 28],[ 1.68181818 35.31818182] ; [ 1.31818182 27.68181818],0
r3,1,0.724963,0.123787,[33  5] ; [26  3],[33.46268657  4.53731343] ; [25.53731343  3.46268657],0
p12,1,0.727846,0.121099,[ 3 35] ; [ 3 26],[ 3.40298507 34.59701493] ; [ 2.59701493 26.40298507],0
b2,1,0.737506,0.112331,[11 14] ; [ 7 11],[10.46511628 14.53488372] ; [ 7.53488372 10.46511628],0
b3,1,0.737506,0.112331,[11 14] ; [ 7 11],[10.46511628 14.53488372] ; [ 7.53488372 10.46511628],0
s4,1,0.764042,0.090107,[ 8 30] ; [ 7 22],[ 8.50746269 29.49253731] ; [ 6.49253731 22.50746269],0
b1,1,0.773455,0.082863,[17 21] ; [14 15],[17.58208955 20.41791045] ; [13.41791045 15.58208955],0
a7,1,0.839713,0.04091,[24 14] ; [17 11],[23.60606061 14.39393939] ; [17.39393939 10.60606061],0
p7,1,0.919017,0.010337,[26 11] ; [20  8],[26.18461538 10.81538462] ; [19.81538462  8.18461538],0
v3,1,0.937108,0.006226,[14 22] ; [11 18],[13.84615385 22.15384615] ; [11.15384615 17.84615385],0
p8,1,0.9524,0.003563,[22 16] ; [17 12],[22.11940299 15.88059701] ; [16.88059701 12.11940299],0
r4,1,0.962035,0.002266,[26 12] ; [20  9],[26.08955224 11.91044776] ; [19.91044776  9.08955224],0
