Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.00124,10.429416,[ 2 50] ; [15 42],[ 8.11009174 43.88990826] ; [ 8.88990826 48.11009174],0
p6,1,0.00395,8.306618,[10 45] ; [27 36],[17.24576271 37.75423729] ; [19.75423729 43.24576271],0
n3,1,0.019836,5.426228,[16 11] ; [18  2],[19.53191489  7.46808511] ; [14.46808511  5.53191489],0
r3,1,0.024108,5.086822,[46 10] ; [59  3],[49.83050847  6.16949153] ; [55.16949153  6.83050847],0
p1,1,0.038984,4.261554,[12 44] ; [ 5 57],[ 8.06779661 47.93220339] ; [ 8.93220339 53.06779661],0
p8,1,0.052299,3.766191,[14 42] ; [26 36],[18.98305085 37.01694915] ; [21.01694915 40.98305085],0
d3,1,0.077242,3.122007,[42 14] ; [37 25],[37.49152542 18.50847458] ; [41.50847458 20.49152542],0
p4,1,0.087285,2.923749,[25 31] ; [38 25],[29.64705882 26.35294118] ; [33.35294118 29.64705882],0
d1,1,0.09786,2.740082,[36 20] ; [31 32],[31.52941176 24.47058824] ; [35.47058824 27.52941176],0
p3,1,0.150522,2.06695,[19 36] ; [30 33],[22.83898305 32.16101695] ; [26.16101695 36.83898305],0
a6,1,0.164097,1.936061,[30 26] ; [41 21],[33.69491525 22.30508475] ; [37.30508475 24.69491525],0
s5,1,0.164127,1.935786,[16 34] ; [27 33],[19.54545455 30.45454545] ; [23.45454545 36.54545455],0
n2,1,0.176296,1.828571,[19  9] ; [17  3],[21.  7.] ; [15.  5.],0
r2,1,0.196293,1.669742,[53  2] ; [56  6],[51.23931624  3.76068376] ; [57.76068376  4.23931624],0
d4,1,0.19915,1.648595,[46 10] ; [44 17],[43.07692308 12.92307692] ; [46.92307692 14.07692308],0
a5,1,0.213732,1.545966,[33 23] ; [44 19],[36.23529412 19.76470588] ; [40.76470588 22.23529412],0
p2,1,0.221336,1.495686,[36 20] ; [47 16],[39.05882353 16.94117647] ; [43.94117647 19.05882353],0
v2,1,0.233664,1.418418,[21 32] ; [30 29],[24.13392857 28.86607143] ; [26.86607143 32.13392857],0
b2,1,0.29596,1.092312,[ 9 16] ; [ 8 26],[ 7.20338983 17.79661017] ; [ 9.79661017 24.20338983],0
b3,1,0.29596,1.092312,[ 9 16] ; [ 8 26],[ 7.20338983 17.79661017] ; [ 9.79661017 24.20338983],0
r4,1,0.307632,1.040816,[44 12] ; [54  9],[46.11764706  9.88235294] ; [51.88235294 11.11764706],0
a3,1,0.320533,0.986769,[33 23] ; [42 20],[35.59322034 20.40677966] ; [39.40677966 22.59322034],0
b1,1,0.33006,0.948661,[27 29] ; [36 27],[29.64705882 26.35294118] ; [33.35294118 29.64705882],0
n4,1,0.353161,0.862066,[33 23] ; [41 20],[35.41880342 20.58119658] ; [38.58119658 22.41880342],0
n1,1,0.353454,0.861019,[15 13] ; [ 8 12],[13.41666667 14.58333333] ; [ 9.58333333 10.41666667],0
n6,1,0.361959,0.831086,[36 20] ; [44 17],[38.29059829 17.70940171] ; [41.70940171 19.29059829],0
p10,1,0.396982,0.71745,[28 26] ; [37 25],[30.25862069 23.74137931] ; [34.74137931 27.25862069],0
s7,1,0.426017,0.633657,[31 19] ; [31 26],[28.97196262 21.02803738] ; [33.02803738 23.97196262],0
d5,1,0.47333,0.514191,[43 13] ; [44 18],[41.28813559 14.71186441] ; [45.71186441 16.28813559],0
a1,1,0.489423,0.477794,[ 2 54] ; [ 4 59],[ 2.82352941 53.17647059] ; [ 3.17647059 59.82352941],0
b5,1,0.489797,0.476973,[33 23] ; [41 22],[34.82352941 21.17647059] ; [39.17647059 23.82352941],0
u2,1,0.515502,0.422883,[11 11] ; [ 8 12],[ 9.95238095 12.04761905] ; [ 9.04761905 10.95238095],0
s2,1,0.530369,0.393685,[42 14] ; [44 19],[40.47058824 15.52941176] ; [45.52941176 17.47058824],0
a2,1,0.553631,0.350853,[10 46] ; [14 49],[11.29411765 44.70588235] ; [12.70588235 50.29411765],0
u3,1,0.591293,0.28833,[14  9] ; [10  9],[13.14285714  9.85714286] ; [10.85714286  8.14285714],0
s1,1,0.621046,0.2444,[ 6 50] ; [ 5 57],[ 5.22033898 50.77966102] ; [ 5.77966102 56.22033898],0
s6,1,0.627006,0.236142,[40 15] ; [46 14],[41.13043478 13.86956522] ; [44.86956522 15.13043478],0
u1,1,0.670775,0.180697,[ 9 47] ; [12 51],[ 9.88235294 46.11764706] ; [11.11764706 51.88235294],0
a7,1,0.706692,0.141603,[40 16] ; [43 20],[39.05882353 16.94117647] ; [43.94117647 19.05882353],0
v4,1,0.713482,0.134824,[50  6] ; [54  8],[49.3559322  6.6440678] ; [54.6440678  7.3559322],0
d2,1,0.766884,0.087885,[31 25] ; [36 26],[31.79661017 24.20338983] ; [35.20338983 26.79661017],0
n5,1,0.806879,0.059758,[34 22] ; [39 23],[34.6440678 21.3559322] ; [38.3559322 23.6440678],0
p9,1,0.824094,0.049409,[36 17] ; [44 19],[36.55172414 16.44827586] ; [43.44827586 19.55172414],0
b4,1,0.828211,0.047088,[30 26] ; [35 28],[30.58823529 25.41176471] ; [34.41176471 28.58823529],0
p5,1,0.852379,0.034627,[ 6 50] ; [ 6 56],[ 5.69491525 50.30508475] ; [ 6.30508475 55.69491525],0
s4,1,0.863202,0.029687,[15 41] ; [16 47],[14.58823529 41.41176471] ; [16.41176471 46.58823529],0
v1,1,0.868412,0.027449,[24 31] ; [28 34],[24.44444444 30.55555556] ; [27.55555556 34.44444444],0
p12,1,0.890027,0.019119,[ 2 53] ; [ 2 61],[ 1.86440678 53.13559322] ; [ 2.13559322 60.86440678],0
r1,1,0.900633,0.01559,[43 13] ; [47 15],[42.71186441 13.28813559] ; [47.28813559 14.71186441],0
u4,1,0.904576,0.014372,[ 2 54] ; [ 2 61],[ 1.88235294 54.11764706] ; [ 2.11764706 60.88235294],0
a4,1,0.982487,0.000482,[23 33] ; [26 37],[23.05882353 32.94117647] ; [25.94117647 37.05882353],0
s8,1,0.982658,0.000472,[25 31] ; [28 35],[24.94117647 31.05882353] ; [28.05882353 34.94117647],0
v3,1,0.997046,1.4e-05,[15 38] ; [17 43],[15.00884956 37.99115044] ; [16.99115044 43.00884956],0
