Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,26.545351,[ 7 18] ; [57 11],[17.20430108  7.79569892] ; [46.79569892 21.20430108],1
v2,1,0.000723,11.428869,[ 6 19] ; [42 24],[13.18681319 11.81318681] ; [34.81318681 31.18681319],1
s6,1,0.005045,7.863306,[16  9] ; [58  7],[20.55555556  4.44444444] ; [53.44444444 11.55555556],0
r4,1,0.008457,6.933971,[18  7] ; [63  5],[21.77419355  3.22580645] ; [59.22580645  8.77419355],0
s5,1,0.027568,4.854862,[ 7 18] ; [33 28],[11.62790698 13.37209302] ; [28.37209302 32.62790698],0
n3,1,0.028834,4.7775,[6 9] ; [18  6],[9.23076923 5.76923077] ; [14.76923077  9.23076923],0
p2,1,0.038514,4.282179,[15 10] ; [55 13],[18.8172043  6.1827957] ; [51.1827957 16.8172043],0
r3,1,0.043895,4.060581,[20  5] ; [63  4],[22.55434783  2.44565217] ; [60.44565217  6.55434783],0
p9,1,0.071695,3.243782,[17  8] ; [56 10],[20.05494505  4.94505495] ; [52.94505495 13.05494505],0
r2,1,0.089743,2.878973,[22  3] ; [65  2],[23.64130435  1.35869565] ; [63.35869565  3.64130435],0
v1,1,0.106492,2.605527,[10 15] ; [40 28],[13.44086022 11.55913978] ; [36.55913978 31.44086022],0
p6,1,0.138559,2.193889,[ 8 17] ; [33 34],[11.14130435 13.85869565] ; [29.85869565 37.14130435],0
p8,1,0.180083,1.79694,[12 13] ; [22 45],[ 9.23913043 15.76086957] ; [24.76086957 42.23913043],0
v4,1,0.186635,1.743986,[22  3] ; [65  3],[23.38709677  1.61290323] ; [63.61290323  4.38709677],0
b3,1,0.189647,1.720356,[ 3 11] ; [16 23],[5.01886792 8.98113208] ; [13.98113208 25.01886792],0
b2,1,0.189647,1.720356,[ 3 11] ; [16 23],[5.01886792 8.98113208] ; [13.98113208 25.01886792],0
n4,1,0.199644,1.644976,[16  9] ; [51 15],[18.40659341  6.59340659] ; [48.59340659 17.40659341],0
s8,1,0.210904,1.565208,[13 12] ; [45 23],[15.59139785  9.40860215] ; [42.40860215 25.59139785],0
d2,1,0.223537,1.48152,[11 14] ; [39 28],[13.58695652 11.41304348] ; [36.41304348 30.58695652],0
a7,1,0.229123,1.446295,[16  9] ; [52 16],[18.27956989  6.72043011] ; [49.72043011 18.27956989],0
s4,1,0.236685,1.400233,[ 4 21] ; [19 49],[ 6.1827957 18.8172043] ; [16.8172043 51.1827957],0
v3,1,0.236839,1.399311,[ 6 18] ; [25 40],[ 8.35955056 15.64044944] ; [22.64044944 42.35955056],0
s1,1,0.239317,1.384615,[ 1 24] ; [ 8 57],[ 2.5 22.5] ; [ 6.5 58.5],0
a8,1,0.256197,1.289193,[ 2 21] ; [11 47],[ 3.69135802 19.30864198] ; [ 9.30864198 48.69135802],0
a3,1,0.2728,1.202614,[16  8] ; [53 15],[18.  6.] ; [51. 17.],0
p1,1,0.302472,1.063263,[ 2 23] ; [11 56],[ 3.5326087 21.4673913] ; [ 9.4673913 57.5326087],0
d3,1,0.313914,1.014135,[16  9] ; [50 17],[17.93478261  7.06521739] ; [48.06521739 18.93478261],0
p7,1,0.326495,0.962751,[10 15] ; [34 32],[12.08791209 12.91208791] ; [31.91208791 34.08791209],0
u1,1,0.36407,0.823806,[ 5 20] ; [20 48],[ 6.72043011 18.27956989] ; [18.27956989 49.72043011],0
b5,1,0.366294,0.816198,[14 11] ; [45 23],[15.86021505  9.13978495] ; [43.13978495 24.86021505],0
p4,1,0.407664,0.685604,[16  9] ; [37 31],[14.24731183 10.75268817] ; [38.75268817 29.24731183],0
n6,1,0.461206,0.542966,[21  4] ; [50 15],[19.72222222  5.27777778] ; [51.27777778 13.72222222],0
a6,1,0.472236,0.516739,[14 11] ; [43 24],[15.48913043  9.51086957] ; [41.51086957 25.48913043],0
d1,1,0.472367,0.516433,[13 12] ; [41 27],[14.51612903 10.48387097] ; [39.48387097 28.51612903],0
d5,1,0.512474,0.429012,[19  6] ; [55 12],[20.10869565  4.89130435] ; [53.89130435 13.10869565],0
a2,1,0.516817,0.420241,[ 6 19] ; [21 47],[ 7.25806452 17.74193548] ; [19.74193548 48.25806452],0
n1,1,0.542227,0.371429,[9 6] ; [12 12],[8.07692308 6.92307692] ; [12.92307692 11.07692308],0
p10,1,0.552161,0.35346,[15 10] ; [44 22],[16.20879121  8.79120879] ; [42.79120879 23.20879121],0
r1,1,0.55777,0.343581,[20  5] ; [57 10],[20.92391304  4.07608696] ; [56.07608696 10.92391304],0
a1,1,0.559543,0.340497,[ 1 24] ; [ 5 63],[ 1.61290323 23.38709677] ; [ 4.38709677 63.61290323],0
d4,1,0.627995,0.234789,[19  6] ; [54 13],[19.83695652  5.16304348] ; [53.16304348 13.83695652],0
a5,1,0.702234,0.146159,[17  8] ; [49 19],[17.74193548  7.25806452] ; [48.25806452 19.74193548],0
n5,1,0.764619,0.089653,[17  8] ; [47 19],[17.58241758  7.41758242] ; [46.41758242 19.58241758],0
u2,1,0.794625,0.067761,[5 4] ; [7 7],[4.69565217 4.30434783] ; [7.30434783 6.69565217],0
p5,1,0.813869,0.055431,[ 3 22] ; [ 7 61],[ 2.68817204 22.31182796] ; [ 7.31182796 60.68817204],0
b1,1,0.818596,0.052602,[15 10] ; [39 29],[14.51612903 10.48387097] ; [39.48387097 28.51612903],0
b4,1,0.818596,0.052602,[15 10] ; [39 29],[14.51612903 10.48387097] ; [39.48387097 28.51612903],0
u3,1,0.830696,0.045714,[5 4] ; [9 6],[5.25 3.75] ; [8.75 6.25],0
a4,1,0.864201,0.029251,[12 13] ; [34 34],[12.3655914 12.6344086] ; [33.6344086 34.3655914],0
n2,1,0.865961,0.02849,[11  4] ; [17  7],[10.76923077  4.23076923] ; [17.23076923  6.76923077],0
p3,1,0.90699,0.013651,[11 14] ; [29 39],[10.75268817 14.24731183] ; [29.24731183 38.75268817],0
p12,1,0.930851,0.00753,[ 1 24] ; [ 3 65],[ 1.07526882 23.92473118] ; [ 2.92473118 65.07526882],0
