Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.320862,[205  72] ; [24 33],[189.91916168  87.08083832] ; [39.08083832 17.91916168],1
n4,1,6e-06,20.411387,[216  63] ; [28 30],[202.00593472  76.99406528] ; [41.99406528 16.00593472],1
v4,1,0.004164,8.210886,[263  14] ; [49  9],[257.98208955  19.01791045] ; [54.01791045  3.98208955],0
r4,1,0.004311,8.148009,[250  29] ; [44 14],[243.40059347  35.59940653] ; [50.59940653  7.40059347],0
p2,1,0.006135,7.510169,[237  41] ; [40 17],[229.86865672  48.13134328] ; [47.13134328  9.86865672],0
p10,1,0.008558,6.912787,[246  31] ; [44 14],[239.79104478  37.20895522] ; [50.20895522  7.79104478],0
s5,1,0.008631,6.897728,[ 88 181] ; [ 8 46],[ 79.9504644 189.0495356] ; [16.0495356 37.9504644],0
s6,1,0.011492,6.387681,[180  93] ; [28 30],[171.55287009 101.44712991] ; [36.44712991 21.55287009],0
s8,1,0.016111,5.790699,[114 164] ; [14 44],[105.9047619 172.0952381] ; [22.0952381 35.9047619],0
p11,1,0.019984,5.413271,[226  53] ; [39 19],[219.39169139  59.60830861] ; [45.60830861 12.39169139],0
a5,1,0.031971,4.600038,[203  76] ; [34 24],[196.21068249  82.78931751] ; [40.78931751 17.21068249],0
p6,1,0.045533,3.998786,[ 96 181] ; [12 45],[ 89.56886228 187.43113772] ; [18.43113772 38.56886228],0
r3,1,0.064801,3.41004,[265  12] ; [52  6],[262.11641791  14.88358209] ; [54.88358209  3.11641791],0
p8,1,0.066391,3.370073,[139 138] ; [21 36],[132.69461078 144.30538922] ; [27.30538922 29.69461078],0
b5,1,0.066771,3.360677,[151 128] ; [39 19],[157.29970326 121.70029674] ; [32.70029674 25.29970326],0
b3,1,0.068696,3.313909,[51 97] ; [ 6 27],[ 46.60773481 101.39226519] ; [10.39226519 22.60773481],0
b2,1,0.068696,3.313909,[51 97] ; [ 6 27],[ 46.60773481 101.39226519] ; [10.39226519 22.60773481],0
s7,1,0.069201,3.301868,[131 138] ; [19 35],[124.92260062 144.07739938] ; [25.07739938 28.92260062],0
b1,1,0.085105,2.964618,[ 92 187] ; [26 32],[ 97.69139466 181.30860534] ; [20.30860534 37.69139466],0
d5,1,0.090486,2.865708,[219  59] ; [39 18],[214.10149254  63.89850746] ; [43.89850746 13.10149254],0
d2,1,0.106367,2.607388,[130 148] ; [20 37],[124.47761194 153.52238806] ; [25.52238806 31.47761194],0
s2,1,0.121361,2.39967,[136 141] ; [22 36],[130.64477612 146.35522388] ; [27.35522388 30.64477612],0
a3,1,0.139318,2.18548,[196  83] ; [35 23],[191.24332344  87.75667656] ; [39.75667656 18.24332344],0
u1,1,0.143279,2.142389,[ 45 234] ; [ 5 53],[ 41.39465875 237.60534125] ; [ 8.60534125 49.39465875],0
b4,1,0.171379,1.870842,[162 117] ; [28 30],[157.29970326 121.70029674] ; [32.70029674 25.29970326],0
s1,1,0.193129,1.693585,[  9 267] ; [ 4 54],[ 10.74251497 265.25748503] ; [ 2.25748503 55.74251497],0
p3,1,0.193491,1.690833,[127 152] ; [21 37],[122.52818991 156.47181009] ; [25.47181009 32.52818991],0
u2,1,0.196098,1.671196,[41 41] ; [15  8],[43.73333333 38.26666667] ; [12.26666667 10.73333333],0
d1,1,0.265455,1.240084,[157 122] ; [28 30],[153.16023739 125.83976261] ; [31.83976261 26.16023739],0
r2,1,0.268972,1.221981,[254  21] ; [51  7],[251.87687688  23.12312312] ; [53.12312312  4.87687688],0
n2,1,0.269902,1.217244,[55 23] ; [15  3],[56.875 21.125] ; [13.125  4.875],0
p5,1,0.270085,1.216315,[ 27 251] ; [ 3 55],[ 24.82142857 253.17857143] ; [ 5.17857143 52.82142857],0
v3,1,0.332506,0.939111,[ 78 194] ; [12 42],[ 75.09202454 196.90797546] ; [14.90797546 39.09202454],0
n1,1,0.33665,0.923147,[25 52] ; [ 8 10],[26.74736842 50.25263158] ; [ 6.25263158 11.74736842],0
p4,1,0.338258,0.917023,[151 127] ; [27 30],[147.71343284 130.28656716] ; [30.28656716 26.71343284],0
r1,1,0.339146,0.913656,[208  71] ; [39 18],[205.09821429  73.90178571] ; [41.90178571 15.09821429],0
a2,1,0.369105,0.806675,[ 63 216] ; [10 48],[ 60.43620178 218.56379822] ; [12.56379822 45.43620178],0
u3,1,0.399654,0.709366,[36 45] ; [12 10],[37.74757282 43.25242718] ; [10.25242718 11.74757282],0
a4,1,0.44579,0.581333,[121 158] ; [22 36],[118.38872404 160.61127596] ; [24.61127596 33.38872404],0
u4,1,0.457416,0.552211,[  2 277] ; [ 1 57],[  2.48367953 276.51632047] ; [ 0.51632047 57.48367953],0
p1,1,0.469304,0.523613,[ 22 256] ; [ 3 55],[ 20.68452381 257.31547619] ; [ 4.31547619 53.68452381],0
