Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.047437,3.929825,[1 3] ; [18  6],[2.71428571 1.28571429] ; [16.28571429  7.71428571],0
p7,1,0.047437,3.929825,[3 1] ; [ 6 18],[1.28571429 2.71428571] ; [ 7.71428571 16.28571429],0
p1,1,0.134169,2.24359,[1 3] ; [ 1 23],[0.28571429 3.71428571] ; [ 1.71428571 22.28571429],0
d3,1,0.160581,1.96875,[1 3] ; [15  9],[2.28571429 1.71428571] ; [13.71428571 10.28571429],0
p3,1,0.212317,1.555556,[2 2] ; [ 5 19],[1. 3.] ; [ 6. 18.],0
n2,1,0.220671,1.5,[3 1] ; [3 5],[2. 2.] ; [4. 4.],0
b5,1,0.280087,1.166667,[3 1] ; [11 13],[2. 2.] ; [12. 12.],0
a3,1,0.305507,1.05,[2 2] ; [18  6],[2.85714286 1.14285714] ; [17.14285714  6.85714286],0
p4,1,0.305507,1.05,[2 2] ; [ 6 18],[1.14285714 2.85714286] ; [ 6.85714286 17.14285714],0
a2,1,0.318388,0.995556,[1 3] ; [ 2 22],[0.42857143 3.57142857] ; [ 2.57142857 21.42857143],0
s1,1,0.318388,0.995556,[1 3] ; [ 2 22],[0.42857143 3.57142857] ; [ 2.57142857 21.42857143],0
b1,1,0.353309,0.861538,[3 1] ; [12 12],[2.14285714 1.85714286] ; [12.85714286 11.14285714],0
a7,1,0.353309,0.861538,[3 1] ; [12 12],[2.14285714 1.85714286] ; [12.85714286 11.14285714],0
d2,1,0.353309,0.861538,[3 1] ; [12 12],[2.14285714 1.85714286] ; [12.85714286 11.14285714],0
a6,1,0.408809,0.682261,[2 2] ; [ 7 17],[1.28571429 2.71428571] ; [ 7.71428571 16.28571429],0
d5,1,0.408809,0.682261,[2 2] ; [17  7],[2.71428571 1.28571429] ; [16.28571429  7.71428571],0
p11,1,0.435678,0.607639,[1 3] ; [11 13],[1.71428571 2.28571429] ; [10.28571429 13.71428571],0
p8,1,0.443598,0.586957,[2 2] ; [ 7 16],[1.33333333 2.66666667] ; [ 7.66666667 15.33333333],0
r2,1,0.446248,0.580165,[3 1] ; [12 10],[2.30769231 1.69230769] ; [12.69230769  9.30769231],0
p9,1,0.487561,0.481905,[1 3] ; [10 13],[1.62962963 2.37037037] ; [ 9.37037037 13.62962963],0
d4,1,0.508332,0.4375,[3 1] ; [21  3],[3.42857143 0.57142857] ; [20.57142857  3.42857143],0
r4,1,0.519536,0.414815,[2 2] ; [ 8 16],[1.42857143 2.57142857] ; [ 8.57142857 15.42857143],0
s6,1,0.519536,0.414815,[2 2] ; [ 8 16],[1.42857143 2.57142857] ; [ 8.57142857 15.42857143],0
s3,1,0.560776,0.338363,[2 2] ; [ 8 15],[1.48148148 2.51851852] ; [ 8.51851852 14.48148148],0
n4,1,0.629063,0.233333,[1 3] ; [ 9 15],[1.42857143 2.57142857] ; [ 8.57142857 15.42857143],0
p2,1,0.635558,0.224599,[2 2] ; [ 9 15],[1.57142857 2.42857143] ; [ 9.42857143 14.57142857],0
n1,1,0.665006,0.1875,[1 3] ; [3 5],[1.33333333 2.66666667] ; [2.66666667 5.33333333],0
u2,1,0.67329,0.177778,[1 1] ; [2 4],[0.75 1.25] ; [2.25 3.75],0
s4,1,0.687031,0.162319,[1 3] ; [ 4 20],[0.71428571 3.28571429] ; [ 4.28571429 19.71428571],0
s5,1,0.717675,0.130731,[1 3] ; [ 4 19],[0.74074074 3.25925926] ; [ 4.25925926 18.74074074],0
s7,1,0.74332,0.10723,[1 3] ; [ 7 14],[1.28 2.72] ; [ 6.72 14.28],0
a5,1,0.755189,0.097222,[2 2] ; [14 10],[2.28571429 1.71428571] ; [13.71428571 10.28571429],0
v2,1,0.755189,0.097222,[2 2] ; [10 14],[1.71428571 2.28571429] ; [10.28571429 13.71428571],0
v1,1,0.826102,0.048269,[1 3] ; [ 7 16],[1.18518519 2.81481481] ; [ 6.81481481 16.18518519],0
s2,1,0.850857,0.035354,[1 3] ; [ 5 19],[0.85714286 3.14285714] ; [ 5.14285714 18.85714286],0
d1,1,0.877059,0.023932,[2 2] ; [11 13],[1.85714286 2.14285714] ; [11.14285714 12.85714286],0
a4,1,0.877059,0.023932,[2 2] ; [11 13],[1.85714286 2.14285714] ; [11.14285714 12.85714286],0
r1,1,0.877059,0.023932,[2 2] ; [13 11],[2.14285714 1.85714286] ; [12.85714286 11.14285714],0
n3,1,0.898195,0.016369,[3 1] ; [5 2],[2.90909091 1.09090909] ; [5.09090909 1.90909091],0
