Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,34.247618,[62  6] ; [ 9 18],[50.82105263 17.17894737] ; [20.17894737  6.82105263],1
s7,1,2e-05,18.1656,[51 13] ; [ 9 18],[42.1978022 21.8021978] ; [17.8021978  9.1978022],1
s6,1,0.000119,14.813941,[64  2] ; [18  8],[58.82608696  7.17391304] ; [23.17391304  2.82608696],1
s8,1,0.000222,13.639024,[46 22] ; [ 7 20],[37.93684211 30.06315789] ; [15.06315789 11.93684211],1
v4,1,0.00861,6.901931,[67  1] ; [23  4],[64.42105263  3.57894737] ; [25.57894737  1.42105263],0
d1,1,0.011882,6.32833,[53 15] ; [14 13],[47.95789474 20.04210526] ; [19.04210526  7.95789474],0
d2,1,0.020393,5.37794,[43 25] ; [10 17],[37.93684211 30.06315789] ; [15.06315789 11.93684211],0
n1,1,0.021029,5.32437,[ 4 13] ; [4 1],[ 6.18181818 10.81818182] ; [1.81818182 3.18181818],0
d4,1,0.052543,3.758388,[61  7] ; [20  7],[57.97894737 10.02105263] ; [23.02105263  3.97894737],0
s5,1,0.05416,3.707761,[40 22] ; [11 15],[35.93181818 26.06818182] ; [15.06818182 10.93181818],0
u1,1,0.060358,3.527517,[20 48] ; [ 3 24],[16.46315789 51.53684211] ; [ 6.53684211 20.46315789],0
a4,1,0.073916,3.193851,[39 29] ; [10 17],[35.07368421 32.92631579] ; [13.92631579 13.07368421],0
u2,1,0.074905,3.172113,[10  7] ; [2 7],[7.84615385 9.15384615] ; [4.15384615 4.84615385],0
a2,1,0.083756,2.990475,[22 46] ; [ 4 23],[18.61052632 49.38947368] ; [ 7.38947368 19.61052632],0
b5,1,0.094299,2.79941,[43 25] ; [12 15],[39.36842105 28.63157895] ; [15.63157895 11.36842105],0
a6,1,0.121771,2.394388,[49 19] ; [15 12],[45.81052632 22.18947368] ; [18.18947368  8.81052632],0
p7,1,0.16304,1.945801,[51 16] ; [24  3],[53.45744681 13.54255319] ; [21.54255319  5.45744681],0
u3,1,0.192373,1.699346,[12  5] ; [4 5],[10.46153846  6.53846154] ; [5.53846154 3.46153846],0
r3,1,0.233872,1.417157,[64  3] ; [24  3],[62.72340426  4.27659574] ; [25.27659574  1.72340426],0
n4,1,0.240705,1.376457,[51 17] ; [17 10],[48.67368421 19.32631579] ; [19.32631579  7.67368421],0
p1,1,0.276436,1.184528,[ 7 61] ; [ 5 22],[ 8.58947368 59.41052632] ; [ 3.41052632 23.58947368],0
d5,1,0.276436,1.184528,[61  7] ; [22  5],[59.41052632  8.58947368] ; [23.58947368  3.41052632],0
