Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.2e-05,19.228095,[14  9] ; [16 80],[ 5.79831933 17.20168067] ; [24.20168067 71.79831933],1
p7,1,3.9e-05,16.911425,[16  7] ; [23 71],[ 7.66666667 15.33333333] ; [31.33333333 62.66666667],1
s6,1,8.3e-05,15.477763,[21  2] ; [44 52],[12.56302521 10.43697479] ; [52.43697479 43.56302521],1
s2,1,0.000258,13.35609,[17  6] ; [31 65],[ 9.27731092 13.72268908] ; [38.72268908 57.27731092],1
v1,1,0.001583,9.979012,[15  8] ; [28 66],[ 8.45299145 14.54700855] ; [34.54700855 59.45299145],0
s5,1,0.001824,9.718614,[11 11] ; [17 76],[ 5.35652174 16.64347826] ; [22.64347826 70.35652174],0
s7,1,0.00661,7.375918,[14  8] ; [29 61],[ 8.44642857 13.55357143] ; [34.55357143 55.44642857],0
v2,1,0.006732,7.343159,[17  5] ; [42 51],[11.28695652 10.71304348] ; [47.71304348 45.28695652],0
p3,1,0.008481,6.92905,[12 10] ; [25 72],[ 6.84033613 15.15966387] ; [30.15966387 66.84033613],0
p5,1,0.011581,6.373869,[ 5 18] ; [ 5 89],[ 1.96581197 21.03418803] ; [ 8.03418803 85.96581197],0
p4,1,0.014989,5.917732,[11 11] ; [23 73],[ 6.33898305 15.66101695] ; [27.66101695 68.33898305],0
p12,1,0.021825,5.259653,[ 4 19] ; [ 4 93],[ 1.53333333 21.46666667] ; [ 6.46666667 90.53333333],0
d5,1,0.064408,3.42008,[13  9] ; [75 21],[16.40677966  5.59322034] ; [71.59322034 24.40677966],0
r3,1,0.077865,3.10892,[22  1] ; [78 19],[19.16666667  3.83333333] ; [80.83333333 16.16666667],0
s8,1,0.085547,2.956229,[10 12] ; [26 71],[ 6.65546218 15.34453782] ; [29.34453782 67.65546218],0
p10,1,0.085679,2.953732,[18  5] ; [56 39],[14.42372881  8.57627119] ; [59.57627119 35.42372881],0
v4,1,0.093294,2.8166,[22  1] ; [79 18],[19.35833333  3.64166667] ; [81.64166667 15.35833333],0
n6,1,0.096866,2.756393,[19  3] ; [66 30],[15.84745763  6.15254237] ; [69.15254237 26.84745763],0
p9,1,0.114292,2.493846,[18  5] ; [57 37],[14.74358974  8.25641026] ; [60.25641026 33.74358974],0
s3,1,0.138341,2.196314,[13  9] ; [40 56],[ 9.88135593 12.11864407] ; [43.11864407 52.88135593],0
r4,1,0.194378,1.684118,[20  3] ; [72 25],[17.63333333  5.36666667] ; [74.36666667 22.63333333],0
u3,1,0.203628,1.616162,[6 2] ; [16 16],[4.4 3.6] ; [17.6 14.4],0
b5,1,0.220377,1.501914,[18  5] ; [63 34],[15.525  7.475] ; [65.475 31.525],0
a6,1,0.222184,1.490212,[18  4] ; [66 30],[15.66101695  6.33898305] ; [68.33898305 27.66101695],0
