Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,6e-06,20.495637,[ 9 39] ; [75 57],[22.4 25.6] ; [61.6 70.4],1
d2,1,1.2e-05,19.091331,[12 36] ; [81 50],[24.93854749 23.06145251] ; [68.06145251 62.93854749],1
a3,1,8.6e-05,15.426276,[28 20] ; [113  19],[37.6 10.4] ; [103.4  28.6],1
n4,1,0.00012,14.797817,[30 18] ; [116  16],[38.93333333  9.06666667] ; [107.06666667  24.93333333],1
a6,1,0.000182,14.004643,[19 29] ; [92 39],[29.76536313 18.23463687] ; [81.23463687 49.76536313],1
d1,1,0.000747,11.368371,[19 29] ; [89 43],[28.8 19.2] ; [79.2 52.8],1
u1,1,0.001034,10.765794,[ 2 46] ; [35 97],[ 9.86666667 38.13333333] ; [ 27.13333333 104.86666667],0
p9,1,0.001127,10.606279,[33 14] ; [118  13],[39.87078652  7.12921348] ; [111.12921348  19.87078652],0
n3,1,0.022775,5.185596,[7 7] ; [31  7],[10.23076923  3.76923077] ; [27.76923077 10.23076923],0
b4,1,0.038095,4.300764,[32 16] ; [65 67],[25.86666667 22.13333333] ; [71.13333333 60.86666667],0
v2,1,0.04227,4.124367,[14 32] ; [62 68],[19.86363636 26.13636364] ; [56.13636364 73.86363636],0
p10,1,0.048936,3.877553,[35 13] ; [113  19],[39.46666667  8.53333333] ; [108.53333333  23.46666667],0
d5,1,0.049638,3.85363,[34 14] ; [110  21],[38.61452514  9.38547486] ; [105.38547486  25.61452514],0
d4,1,0.051671,3.786397,[35 13] ; [112  19],[39.41899441  8.58100559] ; [107.58100559  23.41899441],0
p4,1,0.065187,3.400236,[24 24] ; [86 46],[29.33333333 18.66666667] ; [80.66666667 51.33333333],0
p3,1,0.071996,3.236907,[18 30] ; [69 62],[23.32960894 24.67039106] ; [63.67039106 67.32960894],0
r4,1,0.074263,3.186189,[38 10] ; [118  14],[41.6  6.4] ; [114.4  17.6],0
v4,1,0.129903,2.293668,[44  4] ; [127   4],[45.8547486  2.1452514] ; [125.1452514   5.8547486],0
d3,1,0.133647,2.249627,[28 20] ; [92 39],[32.17877095 15.82122905] ; [87.82122905 43.17877095],0
p12,1,0.137135,2.209821,[ 1 47] ; [ 11 121],[ 3.2 44.8] ; [  8.8 123.2],0
r1,1,0.151951,2.052557,[35 13] ; [109  23],[38.4  9.6] ; [105.6  26.4],0
p1,1,0.216446,1.527778,[ 7 41] ; [ 11 121],[ 4.8 43.2] ; [ 13.2 118.8],0
r2,1,0.22529,1.470355,[44  4] ; [125   5],[45.57303371  2.42696629] ; [123.42696629   6.57303371],0
p7,1,0.229782,1.442208,[27 19] ; [89 41],[30.31818182 15.68181818] ; [85.68181818 44.31818182],0
n5,1,0.253995,1.301193,[33 15] ; [101  30],[35.93296089 12.06703911] ; [98.06703911 32.93296089],0
a1,1,0.27894,1.172249,[ 1 47] ; [  8 124],[ 2.4 45.6] ; [  6.6 125.4],0
s4,1,0.279094,1.171496,[16 32] ; [33 98],[13.1396648 34.8603352] ; [35.8603352 95.1396648],0
a7,1,0.285536,1.140553,[36 12] ; [88 44],[33.06666667 14.93333333] ; [90.93333333 41.06666667],0
b3,1,0.339118,0.913762,[ 9 21] ; [35 53],[11.18644068 18.81355932] ; [32.81355932 55.18644068],0
b2,1,0.339118,0.913762,[ 9 21] ; [35 53],[11.18644068 18.81355932] ; [32.81355932 55.18644068],0
n6,1,0.355546,0.853563,[40  8] ; [116  15],[41.83240223  6.16759777] ; [114.16759777  16.83240223],0
n1,1,0.359358,0.840136,[5 9] ; [19 19],[6.46153846 7.53846154] ; [17.53846154 20.46153846],0
s6,1,0.399899,0.70863,[36 12] ; [105  25],[38.02247191  9.97752809] ; [102.97752809  27.02247191],0
b1,1,0.439221,0.598316,[18 30] ; [58 74],[20.26666667 27.73333333] ; [55.73333333 76.26666667],0
s1,1,0.452913,0.563353,[ 4 44] ; [  7 125],[ 2.93333333 45.06666667] ; [  8.06666667 123.93333333],0
r3,1,0.460596,0.544445,[44  4] ; [124   7],[45.05027933  2.94972067] ; [122.94972067   8.05027933],0
a8,1,0.502099,0.450498,[ 5 41] ; [ 18 103],[ 6.33532934 39.66467066] ; [ 16.66467066 104.33532934],0
b5,1,0.55899,0.341456,[26 22] ; [65 67],[24.26666667 23.73333333] ; [66.73333333 65.26666667],0
s2,1,0.59682,0.279819,[34 14] ; [88 44],[32.53333333 15.46666667] ; [89.46666667 42.53333333],0
s5,1,0.615623,0.252067,[18 29] ; [54 73],[19.44827586 27.55172414] ; [52.55172414 74.44827586],0
u3,1,0.650506,0.205263,[14  6] ; [12  7],[13.33333333  6.66666667] ; [12.66666667  6.33333333],0
u2,1,0.670556,0.180952,[12  8] ; [12  6],[12.63157895  7.36842105] ; [11.36842105  6.63157895],0
s3,1,0.716716,0.131661,[35 13] ; [99 32],[35.93296089 12.06703911] ; [98.06703911 32.93296089],0
p8,1,0.726564,0.12229,[24 23] ; [63 68],[22.97191011 24.02808989] ; [64.02808989 66.97191011],0
p2,1,0.743394,0.107166,[39  9] ; [110  22],[39.73333333  8.26666667] ; [109.26666667  22.73333333],0
p5,1,0.752743,0.09924,[ 5 43] ; [ 16 116],[ 5.6 42.4] ; [ 15.4 116.6],0
p11,1,0.83303,0.044444,[36 12] ; [101  31],[36.53333333 11.46666667] ; [100.46666667  31.53333333],0
p6,1,0.894801,0.017485,[18 29] ; [52 80],[18.37988827 28.62011173] ; [51.62011173 80.37988827],0
s8,1,0.927216,0.008345,[28 20] ; [78 54],[28.26666667 19.73333333] ; [77.73333333 54.26666667],0
n2,1,0.979178,0.000681,[10  4] ; [28 11],[10.03773585  3.96226415] ; [27.96226415 11.03773585],0
v3,1,0.986318,0.000294,[14 33] ; [38 89],[14.04597701 32.95402299] ; [37.95402299 89.04597701],0
