Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000911,11.0007,[ 8 53] ; [7 6],[12.36486486 48.63513514] ; [ 2.63513514 10.36486486],1
p7,1,0.004492,8.073251,[16 42] ; [9 4],[20.42253521 37.57746479] ; [4.57746479 8.42253521],0
s6,1,0.008001,7.033212,[22 38] ; [10  3],[26.30136986 33.69863014] ; [5.69863014 7.30136986],0
p3,1,0.017954,5.6006,[10 51] ; [6 7],[13.18918919 47.81081081] ; [ 2.81081081 10.18918919],0
p4,1,0.021861,5.256845,[10 49] ; [6 7],[13.11111111 45.88888889] ; [ 2.88888889 10.11111111],0
u2,1,0.051815,3.781731,[19 19] ; [7 1],[21.47826087 16.52173913] ; [4.52173913 3.47826087],0
v4,1,0.102089,2.672603,[43 18] ; [12  1],[45.33783784 15.66216216] ; [9.66216216 3.33783784],0
s8,1,0.104269,2.639007,[11 50] ; [5 8],[13.18918919 47.81081081] ; [ 2.81081081 10.18918919],0
a6,1,0.152123,2.050831,[20 41] ; [7 6],[22.25675676 38.74324324] ; [4.74324324 8.25675676],0
r4,1,0.178041,1.813904,[40 21] ; [11  2],[42.04054054 18.95945946] ; [8.95945946 4.04054054],0
a8,1,0.193361,1.691821,[ 3 55] ; [ 2 11],[ 4.08450704 53.91549296] ; [ 0.91549296 12.08450704],0
b1,1,0.214047,1.543839,[26 35] ; [8 5],[28.02702703 32.97297297] ; [5.97297297 7.02702703],0
p12,1,0.227581,1.455914,[ 1 59] ; [ 1 12],[ 1.64383562 58.35616438] ; [ 0.35616438 12.64383562],0
p5,1,0.233599,1.418812,[ 1 58] ; [ 1 12],[ 1.63888889 57.36111111] ; [ 0.36111111 12.63888889],0
s4,1,0.254988,1.295767,[13 48] ; [ 1 12],[11.54054054 49.45945946] ; [ 2.45945946 10.54054054],0
b5,1,0.268635,1.223704,[37 24] ; [10  3],[38.74324324 22.25675676] ; [8.25675676 4.74324324],0
r2,1,0.292997,1.105799,[48 12] ; [12  1],[49.31506849 10.68493151] ; [10.68493151  2.31506849],0
d1,1,0.297837,1.083854,[18 43] ; [ 2 11],[16.48648649 44.51351351] ; [3.51351351 9.48648649],0
p11,1,0.317354,0.99982,[33 28] ; [9 4],[34.62162162 26.37837838] ; [7.37837838 5.62162162],0
a4,1,0.373306,0.792631,[ 8 52] ; [ 3 10],[ 9.04109589 50.95890411] ; [ 1.95890411 11.04109589],0
d5,1,0.418286,0.655126,[31 30] ; [5 8],[29.67567568 31.32432432] ; [6.32432432 6.67567568],0
p10,1,0.45163,0.566559,[29 29] ; [5 8],[27.77464789 30.22535211] ; [6.22535211 6.77464789],0
r1,1,0.571011,0.320995,[38 23] ; [7 6],[37.09459459 23.90540541] ; [7.90540541 5.09459459],0
n5,1,0.589957,0.290412,[32 28] ; [8 5],[32.87671233 27.12328767] ; [7.12328767 5.87671233],0
u3,1,0.610534,0.259398,[20 18] ; [5 3],[20.65217391 17.34782609] ; [4.34782609 3.65217391],0
s2,1,0.636349,0.223549,[19 41] ; [5 8],[19.7260274 40.2739726] ; [4.2739726 8.7260274],0
v3,1,0.651567,0.203931,[17 41] ; [ 3 10],[16.33802817 41.66197183] ; [3.66197183 9.33802817],0
s5,1,0.697871,0.150696,[ 7 50] ; [ 1 11],[ 6.60869565 50.39130435] ; [ 1.39130435 10.60869565],0
b4,1,0.731566,0.117678,[36 25] ; [7 6],[35.44594595 25.55405405] ; [7.55405405 5.44594595],0
a7,1,0.760002,0.093317,[30 31] ; [7 6],[30.5 30.5] ; [6.5 6.5],0
s7,1,0.763176,0.090789,[12 45] ; [3 9],[12.39130435 44.60869565] ; [2.60869565 9.39130435],0
n3,1,0.763441,0.09058,[14  9] ; [1 1],[13.8  9.2] ; [1.2 0.8],0
d3,1,0.782466,0.076235,[26 35] ; [5 8],[25.55405405 35.44594595] ; [5.44594595 7.55405405],0
n6,1,0.800183,0.064065,[40 21] ; [9 4],[40.39189189 20.60810811] ; [8.60810811 4.39189189],0
n4,1,0.815519,0.054435,[35 26] ; [7 6],[34.62162162 26.37837838] ; [7.37837838 5.62162162],0
d2,1,0.833199,0.044353,[17 44] ; [4 9],[17.31081081 43.68918919] ; [3.68918919 9.31081081],0
b2,1,0.838993,0.041283,[10 25] ; [2 6],[ 9.76744186 25.23255814] ; [2.23255814 5.76744186],0
b3,1,0.838993,0.041283,[10 25] ; [2 6],[ 9.76744186 25.23255814] ; [2.23255814 5.76744186],0
s1,1,0.845383,0.03803,[ 8 52] ; [ 2 11],[ 8.21917808 51.78082192] ; [ 1.78082192 11.21917808],0
p9,1,0.846745,0.037355,[28 29] ; [6 7],[27.68571429 29.31428571] ; [6.31428571 6.68571429],0
p1,1,0.882329,0.021909,[ 4 57] ; [ 1 12],[ 4.12162162 56.87837838] ; [ 0.87837838 12.12162162],0
v1,1,0.887796,0.019908,[20 41] ; [4 9],[19.78378378 41.21621622] ; [4.21621622 8.78378378],0
s3,1,0.936561,0.006335,[23 35] ; [5 8],[22.87323944 35.12676056] ; [5.12676056 7.87323944],0
n1,1,0.952933,0.003484,[11 12] ; [1 1],[11.04 11.96] ; [0.96 1.04],0
d4,1,0.959269,0.002608,[38 23] ; [8 5],[37.91891892 23.08108108] ; [8.08108108 4.91891892],0
v2,1,0.992089,9.8e-05,[21 37] ; [4 7],[21.01449275 36.98550725] ; [3.98550725 7.01449275],0
a3,1,0.993124,7.4e-05,[23 37] ; [5 8],[23.01369863 36.98630137] ; [4.98630137 8.01369863],0
