Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.204215,[ 84 293] ; [33 33],[ 99.56884876 277.43115124] ; [17.43115124 48.56884876],1
s2,1,4e-06,21.481336,[159 225] ; [50 20],[176.7753304 207.2246696] ; [32.2246696 37.7753304],1
s6,1,0.000195,13.880163,[218 165] ; [55 13],[231.83813747 151.16186253] ; [41.16186253 26.83813747],1
n4,1,0.001888,9.655625,[276 111] ; [38 34],[264.74509804 122.25490196] ; [49.25490196 22.74509804],0
s3,1,0.004987,7.884189,[188 192] ; [48 23],[198.84700665 181.15299335] ; [37.15299335 33.84700665],0
p9,1,0.013179,6.144903,[292  88] ; [63  7],[299.77777778  80.22222222] ; [55.22222222 14.77777778],0
p10,1,0.013413,6.113854,[274 107] ; [61 10],[282.37831858  98.62168142] ; [52.62168142 18.37831858],0
s7,1,0.026133,4.947181,[139 234] ; [36 34],[147.3476298 225.6523702] ; [27.6523702 42.3476298],0
a8,1,0.031402,4.630847,[ 60 299] ; [ 4 60],[ 54.31678487 304.68321513] ; [ 9.68321513 54.31678487],0
b1,1,0.033542,4.517886,[136 252] ; [16 56],[128.20869565 259.79130435] ; [23.79130435 48.20869565],0
s8,1,0.053265,3.735599,[131 255] ; [33 39],[138.21834061 247.78165939] ; [25.78165939 46.21834061],0
d3,1,0.064206,3.425274,[256 130] ; [55 16],[262.68271335 123.31728665] ; [48.31728665 22.68271335],0
b2,1,0.072384,3.228118,[ 77 145] ; [ 6 26],[ 72.54330709 149.45669291] ; [10.45669291 21.54330709],0
b3,1,0.072384,3.228118,[ 77 145] ; [ 6 26],[ 72.54330709 149.45669291] ; [10.45669291 21.54330709],0
d2,1,0.095488,2.779329,[175 211] ; [25 47],[168.55895197 217.44104803] ; [31.44104803 40.55895197],0
r2,1,0.097779,2.741405,[350  32] ; [70  2],[353.39207048  28.60792952] ; [66.60792952  5.39207048],0
v4,1,0.129358,2.300197,[353  30] ; [69  2],[356.00440529  26.99559471] ; [65.99559471  5.00440529],0
d4,1,0.174653,1.842545,[316  70] ; [54 18],[311.83406114  74.16593886] ; [58.16593886 13.83406114],0
n3,1,0.179417,1.802449,[79 36] ; [19  4],[81.66666667 33.33333333] ; [16.33333333  6.66666667],0
p2,1,0.186882,1.74203,[301  85] ; [51 21],[296.66375546  89.33624454] ; [55.33624454 16.66375546],0
v3,1,0.210411,1.568596,[125 245] ; [18 51],[120.523918 249.476082] ; [22.476082 46.523918],0
r1,1,0.225565,1.468612,[303  82] ; [52 20],[299.07002188  85.92997812] ; [55.92997812 16.07002188],0
a4,1,0.232655,1.424554,[158 229] ; [24 48],[153.45098039 233.54901961] ; [28.54901961 43.45098039],0
a2,1,0.23589,1.404987,[ 77 311] ; [10 62],[ 73.3826087 314.6173913] ; [13.6173913 58.3826087],0
n6,1,0.249584,1.325633,[303  83] ; [60 11],[306.60393873  79.39606127] ; [56.39606127 14.60393873],0
p11,1,0.27731,1.180226,[293  95] ; [50 22],[289.31304348  98.68695652] ; [53.68695652 18.31304348],0
