Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9.4e-05,15.243956,[ 3 10] ; [29  6],[8.66666667 4.33333333] ; [23.33333333 11.66666667],1
a5,1,0.000674,11.558712,[ 1 12] ; [22 13],[6.22916667 6.77083333] ; [16.77083333 18.22916667],1
n5,1,0.001264,10.394176,[ 3 10] ; [26  9],[7.85416667 5.14583333] ; [21.14583333 13.85416667],0
p11,1,0.004911,7.912088,[6 7] ; [30  5],[9.75 3.25] ; [26.25  8.75],0
d3,1,0.030097,4.703715,[4 9] ; [23 12],[7.3125 5.6875] ; [19.6875 15.3125],0
r4,1,0.031873,4.605315,[ 1 12] ; [14 21],[4.0625 8.9375] ; [10.9375 24.0625],0
a3,1,0.035774,4.407836,[ 3 10] ; [20 15],[6.22916667 6.77083333] ; [16.77083333 18.22916667],0
n6,1,0.046103,3.977809,[6 7] ; [26  8],[8.85106383 4.14893617] ; [23.14893617 10.85106383],0
d4,1,0.066159,3.375824,[6 7] ; [26  9],[8.66666667 4.33333333] ; [23.33333333 11.66666667],0
n3,1,0.097961,2.738426,[7 2] ; [5 7],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
s6,1,0.104377,2.637363,[4 9] ; [20 15],[6.5 6.5] ; [17.5 17.5],0
a4,1,0.126148,2.339282,[ 1 12] ; [10 25],[ 2.97916667 10.02083333] ; [ 8.02083333 26.97916667],0
v3,1,0.126148,2.339282,[ 1 12] ; [10 25],[ 2.97916667 10.02083333] ; [ 8.02083333 26.97916667],0
r3,1,0.131664,2.272773,[8 5] ; [28  6],[9.95744681 3.04255319] ; [26.04255319  7.95744681],0
a7,1,0.147248,2.100533,[4 9] ; [19 16],[6.22916667 6.77083333] ; [16.77083333 18.22916667],0
s8,1,0.148383,2.088791,[ 2 11] ; [13 22],[4.0625 8.9375] ; [10.9375 24.0625],0
b5,1,0.183224,1.771275,[5 8] ; [21 14],[7.04166667 5.95833333] ; [18.95833333 16.04166667],0
s7,1,0.198672,1.652107,[2 9] ; [13 20],[3.75 7.25] ; [11.25 21.75],0
d2,1,0.200442,1.639154,[ 2 11] ; [12 23],[3.79166667 9.20833333] ; [10.20833333 24.79166667],0
p8,1,0.201754,1.629632,[4 9] ; [18 17],[5.95833333 7.04166667] ; [16.04166667 18.95833333],0
d5,1,0.218142,1.516555,[6 7] ; [23 12],[7.85416667 5.14583333] ; [21.14583333 13.85416667],0
n4,1,0.218142,1.516555,[6 7] ; [23 12],[7.85416667 5.14583333] ; [21.14583333 13.85416667],0
p4,1,0.218142,1.516555,[6 7] ; [23 12],[7.85416667 5.14583333] ; [21.14583333 13.85416667],0
v1,1,0.275963,1.186863,[ 3 10] ; [14 21],[4.60416667 8.39583333] ; [12.39583333 22.60416667],0
u3,1,0.293622,1.102941,[2 8] ; [6 9],[3.2 6.8] ; [ 4.8 10.2],0
s4,1,0.301588,1.06716,[4 9] ; [ 6 29],[ 2.70833333 10.29166667] ; [ 7.29166667 27.70833333],0
u2,1,0.404657,0.694444,[5 5] ; [10  5],[6. 4.] ; [9. 6.],0
a6,1,0.424198,0.638655,[5 8] ; [18 17],[6.22916667 6.77083333] ; [16.77083333 18.22916667],0
n2,1,0.445009,0.583333,[6 3] ; [6 6],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
r1,1,0.446639,0.579167,[4 9] ; [15 20],[5.14583333 7.85416667] ; [13.85416667 21.14583333],0
v2,1,0.446639,0.579167,[4 9] ; [15 20],[5.14583333 7.85416667] ; [13.85416667 21.14583333],0
s5,1,0.449238,0.572573,[ 2 11] ; [ 9 26],[ 2.97916667 10.02083333] ; [ 8.02083333 26.97916667],0
p7,1,0.570501,0.321844,[7 6] ; [22 13],[7.85416667 5.14583333] ; [21.14583333 13.85416667],0
d1,1,0.57159,0.32003,[ 3 10] ; [11 24],[3.79166667 9.20833333] ; [10.20833333 24.79166667],0
b1,1,0.652617,0.202616,[8 5] ; [19 16],[7.3125 5.6875] ; [19.6875 15.3125],0
s3,1,0.703448,0.14491,[ 3 10] ; [10 25],[3.52083333 9.47916667] ; [ 9.47916667 25.52083333],0
n1,1,0.748328,0.102941,[2 7] ; [ 2 10],[1.71428571 7.28571429] ; [2.28571429 9.71428571],0
b4,1,0.881557,0.0222,[7 6] ; [18 17],[6.77083333 6.22916667] ; [18.22916667 16.77083333],0
s2,1,0.881655,0.022163,[4 9] ; [10 25],[3.79166667 9.20833333] ; [10.20833333 24.79166667],0
v4,1,0.881655,0.022163,[9 4] ; [25 10],[9.20833333 3.79166667] ; [24.79166667 10.20833333],0
p6,1,0.881655,0.022163,[4 9] ; [10 25],[3.79166667 9.20833333] ; [10.20833333 24.79166667],0
p3,1,0.933166,0.007033,[5 8] ; [13 22],[4.875 8.125] ; [13.125 21.875],0
