Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.6625,[45  5] ; [ 9 15],[36.48648649 13.51351351] ; [17.51351351  6.48648649],1
p11,1,0.002951,8.837312,[40 10] ; [11 13],[34.45945946 15.54054054] ; [16.54054054  7.45945946],0
v4,1,0.007193,7.224078,[47  2] ; [18  6],[43.63013699  5.36986301] ; [21.36986301  2.63013699],0
d5,1,0.01064,6.524542,[44  6] ; [15  9],[39.86486486 10.13513514] ; [19.13513514  4.86486486],0
p2,1,0.015245,5.887877,[44  5] ; [16  8],[40.2739726  8.7260274] ; [19.7260274  4.2739726],0
s7,1,0.02132,5.300455,[21 25] ; [ 4 19],[16.66666667 29.33333333] ; [ 8.33333333 14.66666667],0
n5,1,0.023214,5.1524,[26 23] ; [ 6 18],[21.47945205 27.52054795] ; [10.52054795 13.47945205],0
p7,1,0.024175,5.082007,[39 10] ; [13 11],[34.90410959 14.09589041] ; [17.09589041  6.90410959],0
s8,1,0.025028,5.021982,[24 26] ; [ 5 19],[19.59459459 30.40540541] ; [ 9.40540541 14.59459459],0
d1,1,0.031675,4.615984,[30 20] ; [ 8 16],[25.67567568 24.32432432] ; [12.32432432 11.67567568],0
a6,1,0.087984,2.910872,[37 13] ; [13 11],[33.78378378 16.21621622] ; [16.21621622  7.78378378],0
a7,1,0.135022,2.233789,[34 16] ; [12 12],[31.08108108 18.91891892] ; [14.91891892  9.08108108],0
n4,1,0.136233,2.22,[28 22] ; [ 9 15],[25. 25.] ; [12. 12.],0
v2,1,0.145819,2.115456,[27 18] ; [10 14],[24.13043478 20.86956522] ; [12.86956522 11.13043478],0
s2,1,0.15376,2.03455,[25 24] ; [ 8 16],[22.15068493 26.84931507] ; [10.84931507 13.15068493],0
r1,1,0.175578,1.834663,[38 11] ; [15  9],[35.57534247 13.42465753] ; [17.42465753  6.57534247],0
d3,1,0.181685,1.783787,[35 15] ; [13 11],[32.43243243 17.56756757] ; [15.56756757  8.43243243],0
d4,1,0.210769,1.566138,[40 10] ; [16  8],[37.83783784 12.16216216] ; [18.16216216  5.83783784],0
p8,1,0.2479,1.335102,[29 21] ; [10 13],[26.71232877 23.28767123] ; [12.28767123 10.71232877],0
n1,1,0.292053,1.110135,[4 7] ; [7 5],[5.26086957 5.73913043] ; [5.73913043 6.26086957],0
a3,1,0.325828,0.965409,[33 17] ; [13 11],[31.08108108 18.91891892] ; [14.91891892  9.08108108],0
p1,1,0.337591,0.919559,[ 3 47] ; [ 3 21],[ 4.05405405 45.94594595] ; [ 1.94594595 22.05405405],0
r4,1,0.35478,0.856286,[42  8] ; [18  6],[40.54054054  9.45945946] ; [19.45945946  4.54054054],0
p5,1,0.414046,0.667153,[ 5 45] ; [ 1 22],[ 4.10958904 45.89041096] ; [ 1.89041096 21.10958904],0
r3,1,0.440291,0.595524,[48  2] ; [22  2],[47.2972973  2.7027027] ; [22.7027027  1.2972973],0
s1,1,0.466854,0.529412,[ 2 46] ; [ 2 22],[ 2.66666667 45.33333333] ; [ 1.33333333 22.66666667],0
