Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9e-05,15.345046,[155  16] ; [29 14],[147.02803738  23.97196262] ; [36.97196262  6.02803738],1
p9,1,0.000137,14.537838,[157  14] ; [31 13],[149.5255814  21.4744186] ; [38.4744186  5.5255814],1
p7,1,0.000496,12.131856,[106  61] ; [16 30],[95.65258216 71.34741784] ; [26.34741784 19.65258216],1
p8,1,0.000984,10.857087,[87 83] ; [11 35],[77.12962963 92.87037037] ; [20.87037037 25.12962963],1
p1,1,0.002846,8.903668,[  6 166] ; [ 7 39],[ 10.25688073 161.74311927] ; [ 2.74311927 43.25688073],0
b1,1,0.003397,8.58107,[ 60 112] ; [27 19],[ 68.64220183 103.35779817] ; [18.35779817 27.64220183],0
a5,1,0.006199,7.49163,[138  34] ; [28 18],[130.97247706  41.02752294] ; [35.02752294 10.97247706],0
r3,1,0.009675,6.693832,[168   4] ; [41  5],[164.89908257   7.10091743] ; [44.10091743  1.89908257],0
n4,1,0.019854,5.424676,[138  34] ; [28 16],[132.18518519  39.81481481] ; [33.81481481 10.18518519],0
b3,1,0.027107,4.883966,[53 72] ; [ 5 21],[48.01324503 76.98675497] ; [ 9.98675497 16.01324503],0
b2,1,0.027107,4.883966,[53 72] ; [ 5 21],[48.01324503 76.98675497] ; [ 9.98675497 16.01324503],0
v2,1,0.052235,3.768216,[100  62] ; [20 24],[94.36893204 67.63106796] ; [25.63106796 18.36893204],0
v3,1,0.061208,3.504358,[82 79] ; [15 28],[76.55392157 84.44607843] ; [20.44607843 22.55392157],0
a3,1,0.08069,3.050954,[140  32] ; [32 14],[135.70642202  36.29357798] ; [36.29357798  9.70642202],0
p3,1,0.086741,2.933831,[88 84] ; [17 29],[82.8440367 89.1559633] ; [22.1559633 23.8440367],0
d3,1,0.124231,2.363153,[118  54] ; [26 20],[113.6146789  58.3853211] ; [30.3853211 15.6146789],0
s5,1,0.126367,2.336581,[ 58 107] ; [21 23],[ 62.36842105 102.63157895] ; [16.63157895 27.36842105],0
a2,1,0.133055,2.256493,[ 53 119] ; [ 9 37],[ 48.91743119 123.08256881] ; [13.08256881 32.91743119],0
d4,1,0.154903,2.023293,[143  29] ; [34 12],[139.65137615  32.34862385] ; [37.34862385  8.65137615],0
s4,1,0.158027,1.993005,[ 26 146] ; [11 35],[ 29.19266055 142.80733945] ; [ 7.80733945 38.19266055],0
