Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,4e-06,21.060314,[18 16] ; [10 70],[ 8.35087719 25.64912281] ; [19.64912281 60.35087719],1
p7,1,3.5e-05,17.115466,[21 12] ; [18 61],[11.49107143 21.50892857] ; [27.50892857 51.49107143],1
p8,1,0.000152,14.346119,[16 17] ; [12 69],[ 8.10526316 24.89473684] ; [19.89473684 61.10526316],1
p5,1,0.000169,14.151956,[ 7 26] ; [ 1 79],[ 2.33628319 30.66371681] ; [ 5.66371681 74.33628319],1
p6,1,0.000478,12.198969,[11 22] ; [ 6 74],[ 4.96460177 28.03539823] ; [12.03539823 67.96460177],1
p2,1,0.001934,9.610828,[25  8] ; [35 45],[17.52212389 15.47787611] ; [42.47787611 37.52212389],0
p11,1,0.002236,9.345114,[23 11] ; [30 52],[15.53448276 18.46551724] ; [37.46551724 44.53448276],0
d3,1,0.014587,5.965661,[24 10] ; [37 44],[18.03478261 15.96521739] ; [42.96521739 38.03478261],0
n6,1,0.036423,4.377174,[23 10] ; [38 41],[17.97321429 15.02678571] ; [43.02678571 35.97321429],0
b2,1,0.049073,3.872864,[ 4 17] ; [19 24],[ 7.546875 13.453125] ; [15.453125 27.546875],0
b3,1,0.049073,3.872864,[ 4 17] ; [19 24],[ 7.546875 13.453125] ; [15.453125 27.546875],0
p9,1,0.053534,3.727164,[22 12] ; [35 43],[17.30357143 16.69642857] ; [39.69642857 38.30357143],0
a5,1,0.054796,3.688278,[22 12] ; [37 45],[17.29310345 16.70689655] ; [41.70689655 40.29310345],0
b1,1,0.063343,3.447627,[23 11] ; [40 42],[18.46551724 15.53448276] ; [44.53448276 37.46551724],0
n1,1,0.064931,3.406737,[7 7] ; [10 32],[4.25 9.75] ; [12.75 29.25],0
d5,1,0.079462,3.075862,[25  9] ; [46 36],[20.81034483 13.18965517] ; [50.18965517 31.81034483],0
p10,1,0.113366,2.506663,[19 14] ; [33 47],[15.18584071 17.81415929] ; [36.81415929 43.18584071],0
