Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,63.419723,[126  40] ; [ 95 166],[85.91569087 80.08430913] ; [135.08430913 125.91569087],1
v1,1,4e-06,21.423192,[110  57] ; [114 151],[86.59259259 80.40740741] ; [137.40740741 127.59259259],1
p3,1,0.000886,11.051694,[92 76] ; [104 166],[75.17808219 92.82191781] ; [120.82191781 149.17808219],1
s8,1,0.001538,10.033001,[77 92] ; [ 83 188],[ 61.45454545 107.54545455] ; [ 98.54545455 172.45454545],0
n4,1,0.0017,9.84781,[156  14] ; [219  52],[144.55782313  25.44217687] ; [230.44217687  40.55782313],0
p12,1,0.001756,9.788558,[ 17 151] ; [  8 261],[  9.61098398 158.38901602] ; [ 15.38901602 253.61098398],0
s4,1,0.002505,9.136875,[  9 161] ; [ 39 229],[ 18.63013699 151.36986301] ; [ 29.36986301 238.63013699],0
r1,1,0.002653,9.031788,[140  30] ; [187  82],[126.62870159  43.37129841] ; [200.37129841  68.62870159],0
p10,1,0.004889,7.920181,[143  24] ; [199  69],[131.29655172  35.70344828] ; [210.70344828  57.29655172],0
s7,1,0.005909,7.577799,[80 78] ; [ 96 164],[66.52631579 91.47368421] ; [109.47368421 150.52631579],0
d1,1,0.011169,6.438215,[102  68] ; [129 142],[89.04761905 80.95238095] ; [141.95238095 129.04761905],0
a3,1,0.01658,5.740247,[126  43] ; [171  98],[114.59589041  54.40410959] ; [182.40410959  86.59589041],0
r4,1,0.020299,5.38596,[150  20] ; [216  55],[141.08843537  28.91156463] ; [224.91156463  46.08843537],0
d2,1,0.020605,5.359854,[91 79] ; [114 156],[79.20454545 90.79545455] ; [125.79545455 144.20454545],0
r2,1,0.030982,4.653942,[158   9] ; [238  31],[151.67889908  15.32110092] ; [244.32110092  24.67889908],0
p7,1,0.031574,4.6215,[107  58] ; [144 121],[96.31395349 68.68604651] ; [154.68604651 110.31395349],0
d4,1,0.033023,4.5446,[138  32] ; [195  75],[128.65909091  41.34090909] ; [204.34090909  65.65909091],0
v4,1,0.035592,4.41656,[161   9] ; [239  30],[154.89749431  15.10250569] ; [245.10250569  23.89749431],0
p11,1,0.038854,4.267235,[141  29] ; [202  69],[132.22222222  37.77777778] ; [210.77777778  60.22222222],0
a2,1,0.046152,3.976029,[ 45 125] ; [ 50 221],[ 36.62131519 133.37868481] ; [ 58.37868481 212.62131519],0
r3,1,0.04783,3.915938,[160  10] ; [238  31],[154.12300683  15.87699317] ; [243.87699317  25.12300683],0
n6,1,0.048617,3.888528,[153  17] ; [224  45],[145.99088838  24.00911162] ; [231.00911162  37.99088838],0
p9,1,0.051296,3.798576,[144  24] ; [208  58],[136.25806452  31.74193548] ; [215.74193548  50.25806452],0
d5,1,0.077767,3.110954,[139  31] ; [202  69],[131.45124717  38.54875283] ; [209.54875283  61.45124717],0
a1,1,0.105959,2.613478,[ 13 157] ; [ 11 260],[  9.25170068 160.74829932] ; [ 14.74829932 256.25170068],0
p6,1,0.114066,2.49696,[ 60 109] ; [ 75 190],[ 52.56912442 116.43087558] ; [ 82.43087558 182.56912442],0
n2,1,0.189604,1.720694,[25  7] ; [49 26],[22.13084112  9.86915888] ; [51.86915888 23.13084112],0
p4,1,0.190498,1.713761,[100  68] ; [144 127],[93.37585421 74.62414579] ; [150.62414579 120.37585421],0
u1,1,0.194683,1.681818,[ 31 139] ; [ 37 234],[ 26.21315193 143.78684807] ; [ 41.78684807 229.21315193],0
d3,1,0.197554,1.660363,[113  57] ; [163 107],[106.63636364  63.36363636] ; [169.36363636 100.63636364],0
a4,1,0.214918,1.537982,[77 92] ; [106 162],[70.77116705 98.22883295] ; [112.22883295 155.77116705],0
s2,1,0.223402,1.48238,[71 97] ; [ 98 171],[ 64.97025172 103.02974828] ; [104.02974828 164.97025172],0
s6,1,0.223902,1.479187,[102  67] ; [147 123],[95.85649203 73.14350797] ; [153.14350797 116.85649203],0
b4,1,0.24687,1.340932,[103  67] ; [149 122],[97.14285714 72.85714286] ; [154.85714286 116.14285714],0
u4,1,0.289539,1.121764,[  5 165] ; [  4 267],[  3.46938776 166.53061224] ; [  5.53061224 265.46938776],0
a5,1,0.309,1.034944,[122  48] ; [182  89],[117.18820862  52.81179138] ; [186.81179138  84.18820862],0
a8,1,0.442771,0.58909,[ 25 124] ; [ 35 216],[ 22.35 126.65] ; [ 37.65 213.35],0
n3,1,0.462926,0.538811,[22  9] ; [47 27],[20.37142857 10.62857143] ; [48.62857143 25.37142857],0
b1,1,0.51895,0.41598,[ 65 105] ; [112 159],[ 68.23129252 101.76870748] ; [108.76870748 162.23129252],0
n1,1,0.57832,0.308958,[12 19] ; [33 41],[13.28571429 17.71428571] ; [31.71428571 42.28571429],0
b5,1,0.619936,0.245957,[102  68] ; [169 102],[104.46712018  65.53287982] ; [166.53287982 104.46712018],0
s1,1,0.668623,0.183217,[  5 163] ; [ 10 257],[  5.79310345 162.20689655] ; [  9.20689655 257.79310345],0
