Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6.1e-05,16.059644,[30 11] ; [ 6 20],[22.02985075 18.97014925] ; [13.97014925 12.02985075],1
a6,1,0.003543,8.504418,[33  8] ; [12 14],[27.53731343 13.46268657] ; [17.46268657  8.53731343],0
u3,1,0.072073,3.235165,[10  4] ; [3 6],[7.91304348 6.08695652] ; [5.08695652 3.91304348],0
u2,1,0.072073,3.235165,[10  4] ; [3 6],[7.91304348 6.08695652] ; [5.08695652 3.91304348],0
a1,1,0.118846,2.432463,[ 1 41] ; [ 3 23],[ 2.47058824 39.52941176] ; [ 1.52941176 24.47058824],0
s8,1,0.12178,2.394281,[17 25] ; [15 10],[20.05970149 21.94029851] ; [11.94029851 13.05970149],0
p11,1,0.140546,2.171967,[25 17] ; [20  6],[27.79411765 14.20588235] ; [17.20588235  8.79411765],0
n6,1,0.146469,2.10865,[31 11] ; [23  3],[33.35294118  8.64705882] ; [20.64705882  5.35294118],0
b5,1,0.149661,2.075702,[34  8] ; [17  9],[31.5 10.5] ; [19.5  6.5],0
p3,1,0.167404,1.906036,[11 31] ; [11 15],[13.58823529 28.41176471] ; [ 8.41176471 17.58823529],0
d4,1,0.172898,1.857636,[35  7] ; [18  8],[32.73529412  9.26470588] ; [20.26470588  5.73529412],0
v1,1,0.174643,1.842628,[24 18] ; [10 15],[21.31343284 20.68656716] ; [12.68656716 12.31343284],0
p7,1,0.190516,1.713626,[25 13] ; [21  5],[27.3125 10.6875] ; [18.6875  7.3125],0
p1,1,0.198846,1.650827,[ 8 34] ; [ 2 24],[ 6.17647059 35.82352941] ; [ 3.82352941 22.17647059],0
a5,1,0.236009,1.404277,[23 19] ; [18  8],[25.32352941 16.67647059] ; [15.67647059 10.32352941],0
n3,1,0.241696,1.370677,[11  3] ; [5 4],[9.73913043 4.26086957] ; [6.26086957 2.73913043],0
n4,1,0.287007,1.13361,[29 13] ; [21  5],[30.88235294 11.11764706] ; [19.11764706  6.88235294],0
a2,1,0.298508,1.080848,[ 9 33] ; [ 3 23],[ 7.41176471 34.58823529] ; [ 4.58823529 21.41176471],0
v2,1,0.302871,1.061509,[25 16] ; [12 13],[22.98484848 18.01515152] ; [14.01515152 10.98484848],0
s7,1,0.4871,0.482927,[21 20] ; [15 10],[22.36363636 18.63636364] ; [13.63636364 11.36363636],0
s5,1,0.492742,0.470533,[12 26] ; [10 15],[13.26984127 24.73015873] ; [ 8.73015873 16.26984127],0
d1,1,0.536849,0.38141,[21 21] ; [11 15],[19.76470588 22.23529412] ; [12.23529412 13.76470588],0
s1,1,0.543272,0.36951,[ 3 37] ; [ 1 25],[ 2.42424242 37.57575758] ; [ 1.57575758 24.42424242],0
n1,1,0.547617,0.361604,[6 7] ; [3 6],[5.31818182 7.68181818] ; [3.68181818 5.31818182],0
u1,1,0.561744,0.336693,[ 7 35] ; [ 3 23],[ 6.17647059 35.82352941] ; [ 3.82352941 22.17647059],0
r3,1,0.574478,0.315247,[39  3] ; [25  1],[39.52941176  2.47058824] ; [24.47058824  1.52941176],0
d5,1,0.578204,0.309147,[28 14] ; [19  7],[29.02941176 12.97058824] ; [17.97058824  8.02941176],0
v4,1,0.617721,0.249084,[40  2] ; [24  2],[39.52941176  2.47058824] ; [24.47058824  1.52941176],0
r1,1,0.682598,0.167216,[31 11] ; [18  8],[30.26470588 11.73529412] ; [18.73529412  7.26470588],0
p9,1,0.71751,0.130891,[32 10] ; [20  5],[32.59701493  9.40298507] ; [19.40298507  5.59701493],0
v3,1,0.719606,0.128871,[14 27] ; [10 16],[14.68656716 26.31343284] ; [ 9.31343284 16.68656716],0
n5,1,0.72306,0.12558,[29 13] ; [19  7],[29.64705882 12.35294118] ; [18.35294118  7.64705882],0
d2,1,0.73009,0.119029,[16 26] ; [11 15],[16.67647059 25.32352941] ; [10.32352941 15.67647059],0
r4,1,0.745275,0.105544,[36  6] ; [23  3],[36.44117647  5.55882353] ; [22.55882353  3.44117647],0
b2,1,0.751529,0.100251,[10 10] ; [ 9 11],[ 9.5 10.5] ; [ 9.5 10.5],0
