Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,23.18958,[223  71] ; [28 34],[207.28651685  86.71348315] ; [43.71348315 18.28651685],1
r4,1,2e-06,22.686031,[266  28] ; [42 20],[254.35955056  39.64044944] ; [53.64044944  8.35955056],1
n5,1,9e-06,19.705371,[226  67] ; [30 31],[211.88700565  81.11299435] ; [44.11299435 16.88700565],1
a5,1,0.002882,8.880815,[209  85] ; [32 30],[199.02808989  94.97191011] ; [41.97191011 20.02808989],0
u2,1,0.006013,7.546375,[46 45] ; [21  5],[52.11111111 38.88888889] ; [14.88888889 11.11111111],0
r3,1,0.006285,7.466795,[281  12] ; [54  8],[276.49295775  16.50704225] ; [58.50704225  3.49295775],0
b1,1,0.012488,6.240169,[ 85 209] ; [28 34],[ 93.32022472 200.67977528] ; [19.67977528 42.32022472],0
r2,1,0.014012,6.036632,[273  17] ; [51  9],[268.45714286  21.54285714] ; [55.54285714  4.45714286],0
d2,1,0.01792,5.603982,[128 165] ; [17 45],[119.67605634 173.32394366] ; [25.32394366 36.67605634],0
s5,1,0.019882,5.422243,[ 90 194] ; [10 50],[ 82.55813953 201.44186047] ; [17.44186047 42.55813953],0
u3,1,0.02316,5.156443,[46 45] ; [19  6],[50.99137931 40.00862069] ; [14.00862069 10.99137931],0
p2,1,0.023948,5.098373,[244  50] ; [43 18],[237.68450704  56.31549296] ; [49.31549296 11.68450704],0
p11,1,0.029554,4.73502,[240  54] ; [43 19],[233.71348315  60.28651685] ; [49.28651685 12.71348315],0
s6,1,0.03949,4.239648,[193  95] ; [33 29],[185.96571429 102.03428571] ; [40.03428571 21.96571429],0
p6,1,0.048069,3.907561,[ 79 212] ; [ 9 51],[ 72.95726496 218.04273504] ; [15.04273504 44.95726496],0
a4,1,0.054495,3.697458,[119 175] ; [17 45],[112.31460674 181.68539326] ; [23.68539326 38.31460674],0
a2,1,0.061091,3.507511,[ 58 236] ; [ 6 56],[ 52.85393258 241.14606742] ; [11.14606742 50.85393258],0
r1,1,0.066853,3.358648,[231  63] ; [42 20],[225.45505618  68.54494382] ; [47.54494382 14.45505618],0
a3,1,0.105703,2.617312,[202  92] ; [36 26],[196.5505618  97.4494382] ; [41.4494382 20.5505618],0
d1,1,0.168639,1.894998,[161 133] ; [28 34],[156.08426966 137.91573034] ; [32.91573034 29.08426966],0
n2,1,0.169738,1.885255,[60 19] ; [18  2],[62.24242424 16.75757576] ; [15.75757576  4.24242424],0
p12,1,0.171971,1.865675,[ 17 276] ; [ 1 61],[ 14.85633803 278.14366197] ; [ 3.14366197 58.85633803],0
b2,1,0.182695,1.775562,[59 99] ; [ 8 24],[ 55.71578947 102.28421053] ; [11.28421053 20.71578947],0
b3,1,0.182695,1.775562,[59 99] ; [ 8 24],[ 55.71578947 102.28421053] ; [11.28421053 20.71578947],0
s1,1,0.18401,1.764936,[  9 281] ; [ 4 56],[ 10.77142857 279.22857143] ; [ 2.22857143 57.77142857],0
v2,1,0.187901,1.733999,[148 129] ; [25 32],[143.4760479 133.5239521] ; [29.5239521 27.4760479],0
u1,1,0.189304,1.723026,[ 36 258] ; [ 4 58],[ 33.03370787 260.96629213] ; [ 6.96629213 55.03370787],0
p9,1,0.203491,1.617139,[269  23] ; [54  8],[266.42937853  25.57062147] ; [56.57062147  5.42937853],0
v4,1,0.2113,1.562499,[280  13] ; [55  5],[278.05949008  14.94050992] ; [56.94050992  3.05949008],0
s4,1,0.26284,1.253736,[ 55 236] ; [ 8 54],[ 51.93484419 239.06515581] ; [11.06515581 50.93484419],0
p7,1,0.369314,0.805971,[153 131] ; [27 30],[149.91202346 134.08797654] ; [30.08797654 26.91202346],0
d5,1,0.374251,0.789503,[228  65] ; [45 17],[225.32112676  67.67887324] ; [47.67887324 14.32112676],0
p8,1,0.390806,0.736432,[121 167] ; [22 39],[118.00573066 169.99426934] ; [24.99426934 36.00573066],0
v3,1,0.39379,0.727206,[ 95 190] ; [16 42],[ 92.2303207 192.7696793] ; [18.7696793 39.2303207],0
