Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000107,15.012766,[15 45] ; [10  2],[20.83333333 39.16666667] ; [4.16666667 7.83333333],1
a5,1,0.001308,10.330503,[49 13] ; [4 8],[44.40540541 17.59459459] ; [8.59459459 3.40540541],0
p3,1,0.015452,5.864208,[28 34] ; [10  2],[31.83783784 30.16216216] ; [6.16216216 5.83783784],0
s5,1,0.020325,5.383793,[11 48] ; [6 6],[14.12676056 44.87323944] ; [2.87323944 9.12676056],0
s3,1,0.091189,2.853251,[29 31] ; [9 3],[31.66666667 28.33333333] ; [6.33333333 5.66666667],0
s6,1,0.143171,2.143541,[38 24] ; [10  2],[40.21621622 21.78378378] ; [7.78378378 4.21621622],0
s7,1,0.168122,1.899614,[19 39] ; [6 5],[21.01449275 36.98550725] ; [3.98550725 7.01449275],0
v2,1,0.210564,1.567542,[33 25] ; [4 7],[31.10144928 26.89855072] ; [5.89855072 5.10144928],0
p9,1,0.212193,1.556402,[47 15] ; [7 5],[45.24324324 16.75675676] ; [8.75675676 3.24324324],0
r2,1,0.212919,1.551464,[54  7] ; [9 3],[52.64383562  8.35616438] ; [10.35616438  1.64383562],0
p1,1,0.235376,1.408075,[ 4 58] ; [ 2 10],[ 5.02702703 56.97297297] ; [ 0.97297297 11.02702703],0
d5,1,0.261126,1.262779,[48 14] ; [11  1],[49.43243243 12.56756757] ; [9.56756757 2.43243243],0
p7,1,0.31107,1.026126,[42 19] ; [10  2],[43.45205479 17.54794521] ; [8.54794521 3.45205479],0
p8,1,0.314422,1.012009,[31 30] ; [8 4],[32.5890411 28.4109589] ; [6.4109589 5.5890411],0
s2,1,0.317515,0.999157,[26 35] ; [7 5],[27.57534247 33.42465753] ; [5.42465753 6.57534247],0
a7,1,0.342588,0.900721,[40 22] ; [6 6],[38.54054054 23.45945946] ; [7.45945946 4.54054054],0
p2,1,0.347985,0.880792,[49 12] ; [11  1],[50.1369863 10.8630137] ; [9.8630137 2.1369863],0
u1,1,0.351329,0.868652,[ 5 57] ; [ 2 10],[ 5.86486486 56.13513514] ; [ 1.13513514 10.86486486],0
n3,1,0.383988,0.757895,[15  4] ; [3 2],[14.25  4.75] ; [3.75 1.25],0
p11,1,0.386719,0.749232,[44 18] ; [7 5],[42.72972973 19.27027027] ; [8.27027027 3.72972973],0
b4,1,0.391227,0.735125,[33 29] ; [8 4],[34.35135135 27.64864865] ; [6.64864865 5.35135135],0
s8,1,0.401975,0.70241,[23 39] ; [6 6],[24.2972973 37.7027027] ; [4.7027027 7.2972973],0
a4,1,0.465905,0.531672,[24 38] ; [6 6],[25.13513514 36.86486486] ; [4.86486486 7.13513514],0
v1,1,0.483834,0.490208,[27 34] ; [4 8],[25.90410959 35.09589041] ; [5.09589041 6.90410959],0
d4,1,0.499375,0.456264,[46 16] ; [10  2],[46.91891892 15.08108108] ; [9.08108108 2.91891892],0
n4,1,0.528202,0.397849,[32 30] ; [5 7],[31. 31.] ; [6. 6.],0
n1,1,0.537892,0.379461,[ 8 10] ; [3 2],[8.60869565 9.39130435] ; [2.39130435 2.60869565],0
r4,1,0.556799,0.345276,[51 11] ; [9 3],[50.27027027 11.72972973] ; [9.72972973 2.27027027],0
d1,1,0.59704,0.279483,[31 31] ; [7 5],[31.83783784 30.16216216] ; [6.16216216 5.83783784],0
r1,1,0.613996,0.254397,[45 16] ; [8 4],[44.28767123 16.71232877] ; [8.71232877 3.28767123],0
b1,1,0.64985,0.206089,[37 25] ; [8 4],[37.7027027 24.2972973] ; [7.2972973 4.7027027],0
a2,1,0.734429,0.115084,[13 49] ; [ 2 10],[12.56756757 49.43243243] ; [2.43243243 9.56756757],0
v4,1,0.750093,0.101453,[54  7] ; [11  1],[54.31506849  6.68493151] ; [10.68493151  1.31506849],0
a3,1,0.765109,0.089269,[39 23] ; [7 5],[38.54054054 23.45945946] ; [7.45945946 4.54054054],0
n5,1,0.868432,0.02744,[27 34] ; [5 7],[26.73972603 34.26027397] ; [5.26027397 6.73972603],0
d3,1,0.886419,0.020403,[40 22] ; [8 4],[40.21621622 21.78378378] ; [7.78378378 4.21621622],0
u3,1,0.89466,0.017532,[17  5] ; [4 1],[17.11111111  4.88888889] ; [3.88888889 1.11111111],0
d2,1,0.930827,0.007535,[25 37] ; [5 7],[25.13513514 36.86486486] ; [4.86486486 7.13513514],0
u2,1,0.931549,0.007378,[18  5] ; [4 1],[18.07142857  4.92857143] ; [3.92857143 1.07142857],0
a6,1,0.941939,0.005305,[42 20] ; [8 4],[41.89189189 20.10810811] ; [8.10810811 3.89189189],0
p10,1,0.941939,0.005305,[42 20] ; [8 4],[41.89189189 20.10810811] ; [8.10810811 3.89189189],0
v3,1,0.956963,0.002912,[16 41] ; [3 8],[15.92647059 41.07352941] ; [3.07352941 7.92647059],0
b5,1,0.986216,0.000298,[36 26] ; [7 5],[36.02702703 25.97297297] ; [6.97297297 5.02702703],0
p5,1,0.987433,0.000248,[ 5 56] ; [ 1 11],[ 5.01369863 55.98630137] ; [ 0.98630137 11.01369863],0
b2,1,1.0,0.0,[12 28] ; [3 7],[12. 28.] ; [3. 7.],0
b3,1,1.0,0.0,[12 28] ; [3 7],[12. 28.] ; [3. 7.],0
