Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.003685,8.43262,[ 9 29] ; [90 92],[17.1 20.9] ; [ 81.9 100.1],0
s1,1,0.004558,8.046875,[ 5 32] ; [  5 175],[ 1.70506912 35.29493088] ; [  8.29493088 171.70506912],0
b3,1,0.007618,7.121255,[ 5 19] ; [65 64],[10.98039216 13.01960784] ; [59.01960784 69.98039216],0
b2,1,0.007618,7.121255,[ 5 19] ; [65 64],[10.98039216 13.01960784] ; [59.01960784 69.98039216],0
s3,1,0.009684,6.692094,[28  9] ; [94 85],[20.89814815 16.10185185] ; [101.10185185  77.89814815],0
s2,1,0.017126,5.683443,[24 13] ; [ 79 103],[17.40182648 19.59817352] ; [85.59817352 96.40182648],0
s5,1,0.017693,5.626276,[19 17] ; [ 56 119],[12.79620853 23.20379147] ; [ 62.20379147 112.79620853],0
s6,1,0.01895,5.506137,[29  7] ; [106  71],[22.81690141 13.18309859] ; [112.18309859  64.81690141],0
s7,1,0.022385,5.215583,[26 10] ; [90 85],[19.79146919 16.20853081] ; [96.20853081 78.79146919],0
a8,1,0.081501,3.034703,[ 1 35] ; [ 22 150],[ 3.98076923 32.01923077] ; [ 19.01923077 152.98076923],0
p7,1,0.082754,3.009971,[27 10] ; [102  75],[22.30373832 14.69626168] ; [106.69626168  70.30373832],0
d3,1,0.085888,2.949795,[21 17] ; [ 73 109],[16.23636364 21.76363636] ; [ 77.76363636 104.23636364],0
p8,1,0.129402,2.299659,[22 15] ; [81 96],[17.80841121 19.19158879] ; [85.19158879 91.80841121],0
d4,1,0.130197,2.290152,[24 14] ; [136  45],[27.76255708 10.23744292] ; [132.23744292  48.76255708],0
u3,1,0.133131,2.255612,[6 5] ; [17 38],[3.83333333 7.16666667] ; [19.16666667 35.83333333],0
v2,1,0.170521,1.878361,[14 22] ; [90 85],[17.74407583 18.25592417] ; [86.25592417 88.74407583],0
u1,1,0.184465,1.761281,[ 4 34] ; [  9 173],[ 2.24545455 35.75454545] ; [ 10.75454545 171.24545455],0
u2,1,0.201926,1.628387,[7 4] ; [23 31],[5.07692308 5.92307692] ; [24.92307692 29.07692308],0
r1,1,0.255546,1.292725,[30  8] ; [127  55],[27.11818182 10.88181818] ; [129.88181818  52.11818182],0
p3,1,0.270043,1.216529,[22 16] ; [86 93],[18.9124424 19.0875576] ; [89.0875576 89.9124424],0
a5,1,0.296533,1.089723,[23 15] ; [126  56],[25.73636364 12.26363636] ; [123.26363636  58.73636364],0
r2,1,0.338631,0.915606,[31  6] ; [159  19],[32.69767442  4.30232558] ; [157.30232558  20.69767442],0
p10,1,0.360363,0.836628,[31  7] ; [132  45],[28.80930233  9.19069767] ; [134.19069767  42.80930233],0
p11,1,0.405419,0.692194,[31  7] ; [137  45],[29.01818182  8.98181818] ; [138.98181818  43.01818182],0
p12,1,0.424602,0.637543,[ 4 34] ; [ 12 165],[ 2.82790698 35.17209302] ; [ 13.17209302 163.82790698],0
n6,1,0.460906,0.543693,[30  8] ; [151  29],[31.55045872  6.44954128] ; [149.44954128  30.55045872],0
n5,1,0.464638,0.534698,[31  7] ; [156  25],[32.44748858  5.55251142] ; [154.55251142  26.44748858],0
s8,1,0.505754,0.442841,[20 18] ; [85 97],[18.13636364 19.86363636] ; [86.86363636 95.13636364],0
v3,1,0.508718,0.436702,[14 23] ; [77 99],[15.80751174 21.19248826] ; [ 75.19248826 100.80751174],0
p2,1,0.515048,0.423798,[28 10] ; [139  38],[29.51627907  8.48372093] ; [137.48372093  39.51627907],0
p5,1,0.516576,0.420725,[ 4 34] ; [ 26 153],[ 5.25345622 32.74654378] ; [ 24.74654378 154.25345622],0
a2,1,0.531689,0.391162,[ 2 36] ; [ 15 167],[ 2.93636364 35.06363636] ; [ 14.06363636 167.93636364],0
r3,1,0.533467,0.387783,[32  6] ; [160  22],[33.16363636  4.83636364] ; [158.83636364  23.16363636],0
n2,1,0.552125,0.353524,[8 3] ; [31 18],[7.15 3.85] ; [31.85 17.15],0
v1,1,0.562532,0.335339,[18 20] ; [93 84],[19.61860465 18.38139535] ; [91.38139535 85.61860465],0
p1,1,0.56896,0.324426,[ 4 34] ; [ 14 167],[ 3.12328767 34.87671233] ; [ 14.87671233 166.12328767],0
b4,1,0.577947,0.309565,[19 19] ; [100  82],[20.55454545 17.44545455] ; [98.44545455 83.55454545],0
p4,1,0.613985,0.254413,[19 19] ; [97 81],[20.40740741 17.59259259] ; [95.59259259 82.40740741],0
b1,1,0.675699,0.175008,[20 18] ; [89 93],[18.82727273 19.17272727] ; [90.17272727 91.82727273],0
d5,1,0.705026,0.143297,[27 11] ; [134  47],[27.93607306 10.06392694] ; [133.06392694  47.93607306],0
v4,1,0.749669,0.101809,[33  4] ; [158  23],[32.41743119  4.58256881] ; [158.58256881  22.41743119],0
d1,1,0.815357,0.054532,[18 20] ; [90 92],[18.65454545 19.34545455] ; [89.34545455 92.65454545],0
a4,1,0.840318,0.040597,[16 22] ; [ 79 101],[16.55963303 21.44036697] ; [ 78.44036697 101.55963303],0
p9,1,0.845582,0.037931,[30  8] ; [143  35],[30.43518519  7.56481481] ; [142.56481481  35.43518519],0
a3,1,0.876285,0.024236,[27 11] ; [127  55],[26.6 11.4] ; [127.4  54.6],0
n3,1,0.884083,0.021256,[7 4] ; [31 16],[7.20689655 3.79310345] ; [30.79310345 16.20689655],0
a6,1,0.892259,0.018346,[15 23] ; [ 74 108],[15.37272727 22.62727273] ; [ 73.62727273 108.37272727],0
r4,1,0.900028,0.015782,[30  8] ; [142  40],[29.70909091  8.29090909] ; [142.29090909  39.70909091],0
n1,1,0.928947,0.007951,[5 6] ; [23 26],[5.13333333 5.86666667] ; [22.86666667 26.13333333],0
d2,1,0.950371,0.003874,[19 19] ; [91 89],[19.17431193 18.82568807] ; [90.82568807 89.17431193],0
a1,1,0.95445,0.003263,[ 2 36] ; [ 10 172],[ 2.07272727 35.92727273] ; [  9.92727273 172.07272727],0
p6,1,0.972944,0.00115,[13 24] ; [ 62 113],[13.08962264 23.91037736] ; [ 61.91037736 113.08962264],0
