Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,66.159266,[102   4] ; [21 33],[81.4875 24.5125] ; [41.5125 12.4875],1
v4,1,0.0,41.009639,[102   5] ; [29 25],[87.0621118 19.9378882] ; [43.9378882 10.0621118],1
s6,1,0.0,37.18082,[73 32] ; [10 44],[54.81132075 50.18867925] ; [28.18867925 25.81132075],1
r1,1,0.0,36.726347,[85 21] ; [17 37],[67.575 38.425] ; [34.425 19.575],1
n6,1,4e-06,21.172548,[82 25] ; [21 32],[68.88125 38.11875] ; [34.11875 18.88125],1
p2,1,2.3e-05,17.885323,[79 29] ; [21 33],[66.66666667 41.33333333] ; [33.33333333 20.66666667],1
a7,1,3.7e-05,17.025946,[84 23] ; [25 29],[72.44099379 34.55900621] ; [36.55900621 17.44099379],1
p9,1,5.7e-05,16.185172,[72 32] ; [18 33],[60.38709677 43.61290323] ; [29.61290323 21.38709677],1
s8,1,0.000174,14.095632,[40 67] ; [ 5 49],[29.9068323 77.0931677] ; [15.0931677 38.9068323],1
d5,1,0.000302,13.057698,[88 19] ; [30 24],[78.42236025 28.57763975] ; [39.57763975 14.42236025],1
u3,1,0.00045,12.310435,[22 12] ; [ 5 21],[15.3 18.7] ; [11.7 14.3],1
n3,1,0.000975,10.873691,[31 10] ; [11 19],[24.25352113 16.74647887] ; [17.74647887 12.25352113],1
a1,1,0.00123,10.444737,[  2 106] ; [ 8 46],[  6.66666667 101.33333333] ; [ 3.33333333 50.66666667],0
p7,1,0.001472,10.113952,[58 49] ; [15 39],[48.51552795 58.48447205] ; [24.48447205 29.51552795],0
s2,1,0.001585,9.977062,[54 54] ; [13 41],[44.66666667 63.33333333] ; [22.33333333 31.66666667],0
p10,1,0.002395,9.2189,[60 44] ; [17 36],[51.00636943 52.99363057] ; [25.99363057 27.00636943],0
p8,1,0.002522,9.124235,[36 71] ; [ 6 47],[28.0875 78.9125] ; [13.9125 39.0875],0
s7,1,0.003038,8.78467,[47 53] ; [11 39],[38.66666667 61.33333333] ; [19.33333333 30.66666667],0
p4,1,0.004496,8.071588,[51 57] ; [13 41],[42.66666667 65.33333333] ; [21.33333333 32.66666667],0
v1,1,0.004694,7.993737,[47 61] ; [11 42],[38.9068323 69.0931677] ; [19.0931677 33.9068323],0
p3,1,0.005739,7.630577,[44 64] ; [10 43],[36.22360248 71.77639752] ; [17.77639752 35.22360248],0
s3,1,0.006089,7.523817,[63 44] ; [19 34],[54.8375 52.1625] ; [27.1625 25.8375],0
s5,1,0.007532,7.141601,[34 67] ; [ 7 45],[27.06535948 73.93464052] ; [13.93464052 38.06535948],0
p6,1,0.009803,6.670429,[35 72] ; [ 7 45],[28.26415094 78.73584906] ; [13.73584906 38.26415094],0
b1,1,0.014032,6.03417,[52 56] ; [37 17],[59.33333333 48.66666667] ; [29.66666667 24.33333333],0
d1,1,0.019631,5.444444,[61 47] ; [20 34],[54. 54.] ; [27. 27.],0
v2,1,0.024956,5.026938,[41 64] ; [11 41],[34.77707006 70.22292994] ; [17.22292994 34.77707006],0
b5,1,0.029878,4.71629,[73 35] ; [27 27],[66.66666667 41.33333333] ; [33.33333333 20.66666667],0
u2,1,0.033545,4.517762,[17 17] ; [ 6 20],[13.03333333 20.96666667] ; [ 9.96666667 16.03333333],0
n2,1,0.033598,4.515028,[30 12] ; [14 16],[25.66666667 16.33333333] ; [18.33333333 11.66666667],0
d4,1,0.035345,4.428438,[84 23] ; [34 20],[78.42236025 28.57763975] ; [39.57763975 14.42236025],0
d3,1,0.036247,4.385423,[69 38] ; [25 28],[62.8625 44.1375] ; [31.1375 21.8625],0
n1,1,0.037102,4.345714,[23 19] ; [ 9 21],[18.66666667 23.33333333] ; [13.33333333 16.66666667],0
a2,1,0.038536,4.281184,[27 81] ; [ 6 48],[22. 86.] ; [11. 43.],0
a6,1,0.043144,4.089762,[68 40] ; [25 29],[62. 46.] ; [31. 23.],0
u1,1,0.063211,3.451056,[17 91] ; [ 3 51],[13.33333333 94.66666667] ; [ 6.66666667 47.33333333],0
a3,1,0.077239,3.122055,[73 34] ; [28 24],[67.96855346 39.03144654] ; [33.03144654 18.96855346],0
s4,1,0.085359,2.959784,[29 79] ; [ 8 46],[24.66666667 83.33333333] ; [12.33333333 41.66666667],0
a5,1,0.089886,2.87642,[69 39] ; [27 27],[64. 44.] ; [32. 22.],0
a4,1,0.124166,2.363963,[50 57] ; [18 35],[45.475 61.525] ; [22.525 30.475],0
b3,1,0.148254,2.090121,[16 39] ; [15 19],[19.15730337 35.84269663] ; [11.84269663 22.15730337],0
b2,1,0.148254,2.090121,[16 39] ; [15 19],[19.15730337 35.84269663] ; [11.84269663 22.15730337],0
p5,1,0.151895,2.05312,[  8 100] ; [ 1 52],[  6.03726708 101.96273292] ; [ 2.96273292 50.03726708],0
a8,1,0.195226,1.677733,[12 84] ; [ 3 49],[ 9.72972973 86.27027027] ; [ 5.27027027 46.72972973],0
d2,1,0.217221,1.522639,[56 52] ; [22 31],[52.32298137 55.67701863] ; [25.67701863 27.32298137],0
s1,1,0.394924,0.723729,[  6 100] ; [ 5 49],[ 7.2875 98.7125] ; [ 3.7125 50.2875],0
n5,1,0.552135,0.353507,[66 40] ; [31 23],[64.2625 41.7375] ; [32.7375 21.2625],0
p1,1,0.69252,0.156371,[10 98] ; [ 4 50],[ 9.33333333 98.66666667] ; [ 4.66666667 49.33333333],0
n4,1,0.722502,0.126108,[62 44] ; [30 24],[60.95 45.05] ; [31.05 22.95],0
b4,1,0.911501,0.012353,[53 55] ; [26 28],[52.66666667 55.33333333] ; [26.33333333 27.66666667],0
p12,1,0.993883,5.9e-05,[  2 105] ; [ 1 53],[  1.99378882 105.00621118] ; [ 1.00621118 52.99378882],0
