Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,8.1e-05,15.52501,[47  6] ; [19 18],[38.86666667 14.13333333] ; [27.13333333  9.86666667],1
n4,1,0.000178,14.045846,[46  8] ; [18 19],[37.97802198 16.02197802] ; [26.02197802 10.97802198],1
s6,1,0.004222,8.185956,[31 23] ; [10 27],[24.32967033 29.67032967] ; [16.67032967 20.32967033],0
d2,1,0.014887,5.929805,[31 22] ; [12 25],[25.32222222 27.67777778] ; [17.67777778 19.32222222],0
d1,1,0.029749,4.723724,[30 24] ; [12 25],[24.92307692 29.07692308] ; [17.07692308 19.92307692],0
a5,1,0.04898,3.87603,[36 18] ; [17 20],[31.45054945 22.54945055] ; [21.54945055 15.45054945],0
s8,1,0.068737,3.312929,[18 36] ; [ 6 31],[14.24175824 39.75824176] ; [ 9.75824176 27.24175824],0
s3,1,0.079711,3.070789,[30 23] ; [14 23],[25.91111111 27.08888889] ; [18.08888889 18.91111111],0
p10,1,0.091387,2.849778,[22 31] ; [ 9 28],[18.25555556 34.74444444] ; [12.74444444 24.25555556],0
n1,1,0.099924,2.706755,[2 9] ; [7 7],[3.96 7.04] ; [5.04 8.96],0
a6,1,0.111775,2.528944,[38 16] ; [20 17],[34.41758242 19.58241758] ; [23.58241758 13.41758242],0
p4,1,0.115414,2.478478,[28 26] ; [13 24],[24.32967033 29.67032967] ; [16.67032967 20.32967033],0
s2,1,0.117977,2.443978,[24 28] ; [11 26],[20.4494382 31.5505618] ; [14.5505618 22.4494382],0
r1,1,0.127818,2.318802,[44 10] ; [25 12],[40.94505495 13.05494505] ; [28.05494505  8.94505495],0
r2,1,0.186917,1.741752,[50  4] ; [31  6],[48.06593407  5.93406593] ; [32.93406593  4.06593407],0
a2,1,0.235913,1.404849,[ 9 45] ; [ 3 34],[ 7.12087912 46.87912088] ; [ 4.87912088 32.12087912],0
r4,1,0.25294,1.306991,[46  8] ; [28  9],[43.91208791 10.08791209] ; [30.08791209  6.91208791],0
a8,1,0.256768,1.286101,[ 6 40] ; [ 2 34],[ 4.48780488 41.51219512] ; [ 3.51219512 32.48780488],0
u1,1,0.335035,0.929336,[ 8 46] ; [ 3 34],[ 6.52747253 47.47252747] ; [ 4.47252747 32.52747253],0
d5,1,0.34484,0.892355,[40 14] ; [24 13],[37.97802198 16.02197802] ; [26.02197802 10.97802198],0
v3,1,0.355429,0.853979,[18 36] ; [ 9 28],[16.02197802 37.97802198] ; [10.97802198 26.02197802],0
p3,1,0.424714,0.637234,[17 36] ; [ 9 28],[15.31111111 37.68888889] ; [10.68888889 26.31111111],0
p6,1,0.443763,0.586534,[11 42] ; [10 26],[12.50561798 40.49438202] ; [ 8.49438202 27.50561798],0
b4,1,0.455094,0.557933,[39 15] ; [24 13],[37.38461538 16.61538462] ; [25.61538462 11.38461538],0
b1,1,0.46719,0.528614,[25 29] ; [20 17],[26.7032967 27.2967033] ; [18.2967033 18.7032967],0
n3,1,0.472423,0.516303,[9 5] ; [10  3],[9.85185185 4.14814815] ; [9.14814815 3.85185185],0
r3,1,0.482594,0.492996,[48  5] ; [35  2],[48.87777778  4.12222222] ; [34.12222222  2.87777778],0
d3,1,0.502526,0.449598,[33 21] ; [20 17],[31.45054945 22.54945055] ; [21.54945055 15.45054945],0
p1,1,0.52041,0.413081,[ 5 49] ; [ 2 34],[ 4.2 49.8] ; [ 2.8 33.2],0
a4,1,0.544557,0.36716,[19 34] ; [11 26],[17.66666667 35.33333333] ; [12.33333333 24.66666667],0
s7,1,0.56444,0.332075,[18 35] ; [14 21],[19.27272727 33.72727273] ; [12.72727273 22.27272727],0
u3,1,0.601456,0.272805,[13 10] ; [11  6],[13.8  9.2] ; [10.2  6.8],0
s5,1,0.637071,0.222594,[12 40] ; [ 7 30],[11.1011236 40.8988764] ; [ 7.8988764 29.1011236],0
p8,1,0.651365,0.204183,[20 34] ; [12 25],[18.98901099 35.01098901] ; [13.01098901 23.98901099],0
a7,1,0.651495,0.20402,[34 19] ; [22 15],[32.97777778 20.02222222] ; [23.02222222 13.97777778],0
s1,1,0.67152,0.17983,[ 4 48] ; [ 2 35],[ 3.50561798 48.49438202] ; [ 2.49438202 34.50561798],0
s4,1,0.708053,0.140229,[ 7 45] ; [ 4 33],[ 6.42696629 45.57303371] ; [ 4.57303371 32.42696629],0
p2,1,0.71707,0.131317,[36 18] ; [26 11],[36.79120879 17.20879121] ; [25.20879121 11.79120879],0
a3,1,0.751563,0.100223,[31 23] ; [20 17],[30.26373626 23.73626374] ; [20.73626374 16.26373626],0
v4,1,0.774198,0.082305,[49  5] ; [32  4],[48.6  5.4] ; [32.4  3.6],0
a1,1,0.785674,0.073948,[ 1 53] ; [ 1 36],[ 1.18681319 52.81318681] ; [ 0.81318681 36.18681319],0
u2,1,0.789342,0.071378,[12 10] ; [10  7],[12.41025641  9.58974359] ; [9.58974359 7.41025641],0
v1,1,0.79599,0.066843,[19 35] ; [14 23],[19.58241758 34.41758242] ; [13.41758242 23.58241758],0
b3,1,0.801421,0.063257,[ 9 28] ; [ 6 16],[ 9.40677966 27.59322034] ; [ 5.59322034 16.40677966],0
b2,1,0.801421,0.063257,[ 9 28] ; [ 6 16],[ 9.40677966 27.59322034] ; [ 5.59322034 16.40677966],0
d4,1,0.883093,0.021624,[38 15] ; [26 11],[37.68888889 15.31111111] ; [26.31111111 10.68888889],0
b5,1,0.909712,0.01286,[30 24] ; [21 16],[30.26373626 23.73626374] ; [20.73626374 16.26373626],0
