Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.00364,8.455358,[57  4] ; [2 2],[55.36923077  5.63076923] ; [3.63076923 0.36923077],0
p9,1,0.021752,5.265515,[47 14] ; [1 3],[45.04615385 15.95384615] ; [2.95384615 1.04615385],0
r1,1,0.03775,4.316244,[45 16] ; [1 3],[43.16923077 17.83076923] ; [2.83076923 1.16923077],0
n6,1,0.0405,4.196803,[44 16] ; [1 3],[42.1875 17.8125] ; [2.8125 1.1875],0
p5,1,0.044881,4.023114,[ 2 59] ; [1 3],[ 2.81538462 58.18461538] ; [0.18461538 3.81538462],0
a5,1,0.047871,3.914504,[44 17] ; [1 3],[42.23076923 18.76923077] ; [2.76923077 1.23076923],0
a1,1,0.105434,2.621355,[ 3 58] ; [1 3],[ 3.75384615 57.24615385] ; [0.24615385 3.75384615],0
v4,1,0.105434,2.621355,[58  3] ; [3 1],[57.24615385  3.75384615] ; [3.75384615 0.24615385],0
d5,1,0.159933,1.974857,[48 12] ; [2 2],[46.875 13.125] ; [3.125 0.875],0
b4,1,0.160954,1.965236,[37 24] ; [1 3],[35.66153846 25.33846154] ; [2.33846154 1.66153846],0
p12,1,0.179936,1.798156,[ 4 57] ; [1 3],[ 4.69230769 56.30769231] ; [0.30769231 3.69230769],0
d1,1,0.183207,1.771414,[36 25] ; [1 3],[34.72307692 26.27692308] ; [2.27692308 1.72307692],0
d3,1,0.195238,1.677642,[47 13] ; [2 2],[45.9375 14.0625] ; [3.0625 0.9375],0
v2,1,0.272256,1.205344,[32 28] ; [1 3],[30.9375 29.0625] ; [2.0625 1.9375],0
a7,1,0.273022,1.201502,[45 15] ; [2 2],[44.0625 15.9375] ; [2.9375 1.0625],0
s2,1,0.287259,1.132424,[29 32] ; [3 1],[30.03076923 30.96923077] ; [1.96923077 2.03076923],0
d2,1,0.287259,1.132424,[32 29] ; [1 3],[30.96923077 30.03076923] ; [2.03076923 1.96923077],0
b1,1,0.287259,1.132424,[29 32] ; [3 1],[30.03076923 30.96923077] ; [1.96923077 2.03076923],0
p10,1,0.345805,0.888791,[44 17] ; [2 2],[43.16923077 17.83076923] ; [2.83076923 1.16923077],0
n4,1,0.348255,0.879806,[30 31] ; [1 3],[29.09230769 31.90769231] ; [1.90769231 2.09230769],0
s4,1,0.389667,0.739982,[18 43] ; [2 2],[18.76923077 42.23076923] ; [1.23076923 2.76923077],0
n3,1,0.420246,0.649627,[16  5] ; [1 1],[15.52173913  5.47826087] ; [1.47826087 0.52173913],0
b5,1,0.434768,0.610053,[42 19] ; [2 2],[41.29230769 19.70769231] ; [2.70769231 1.29230769],0
v1,1,0.434967,0.609524,[27 33] ; [1 3],[26.25 33.75] ; [1.75 2.25],0
s8,1,0.472217,0.516783,[26 34] ; [1 3],[25.3125 34.6875] ; [1.6875 2.3125],0
p3,1,0.527301,0.39959,[36 25] ; [3 1],[36.6 24.4] ; [2.4 1.6],0
n2,1,0.529138,0.396046,[15  6] ; [1 1],[14.60869565  6.39130435] ; [1.39130435 0.60869565],0
s7,1,0.535351,0.384224,[31 29] ; [1 2],[30.47619048 29.52380952] ; [1.52380952 1.47619048],0
a6,1,0.575871,0.312958,[39 22] ; [2 2],[38.47692308 22.52307692] ; [2.52307692 1.47692308],0
s6,1,0.621313,0.244026,[37 22] ; [3 1],[37.46031746 21.53968254] ; [2.53968254 1.46031746],0
d4,1,0.656521,0.197777,[51 10] ; [3 1],[50.67692308 10.32307692] ; [3.32307692 0.67692308],0
s5,1,0.672604,0.178571,[22 34] ; [2 2],[22.4 33.6] ; [1.6 2.4],0
n1,1,0.741681,0.108655,[ 8 13] ; [1 1],[ 8.2173913 12.7826087] ; [0.7826087 1.2173913],0
p4,1,0.74699,0.104078,[41 20] ; [3 1],[41.29230769 19.70769231] ; [2.70769231 1.29230769],0
s3,1,0.823041,0.050013,[27 34] ; [2 2],[27.21538462 33.78461538] ; [1.78461538 2.21538462],0
p11,1,0.847708,0.036881,[43 18] ; [3 1],[43.16923077 17.83076923] ; [2.83076923 1.16923077],0
u2,1,1.0,0.0,[15  5] ; [3 1],[15.  5.] ; [3. 1.],0
u3,1,1.0,0.0,[15  5] ; [3 1],[15.  5.] ; [3. 1.],0
v3,1,1.0,0.0,[15 45] ; [1 3],[15. 45.] ; [1. 3.],0
