Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,1.6e-05,18.659978,[29 31] ; [13 72],[17.37931034 42.62068966] ; [24.62068966 60.37931034],1
b3,1,1.6e-05,18.659978,[29 31] ; [13 72],[17.37931034 42.62068966] ; [24.62068966 60.37931034],1
p1,1,5.1e-05,16.3937,[15 88] ; [  2 143],[ 7.06048387 95.93951613] ; [  9.93951613 135.06048387],1
p4,1,0.000101,15.125873,[78 25] ; [75 71],[63.28915663 39.71084337] ; [89.71084337 56.28915663],1
p3,1,0.000372,12.668358,[68 35] ; [63 83],[54.18875502 48.81124498] ; [76.81124498 69.18875502],1
p5,1,0.002451,9.176626,[18 85] ; [  8 137],[10.7983871 92.2016129] ; [ 15.2016129 129.7983871],0
p12,1,0.003378,8.590955,[11 91] ; [  3 143],[ 5.75806452 96.24193548] ; [  8.24193548 137.75806452],0
p8,1,0.026223,4.941248,[72 31] ; [80 63],[63.64227642 39.35772358] ; [88.35772358 54.64227642],0
a1,1,0.03075,4.666873,[ 8 95] ; [  3 143],[ 4.5502008 98.4497992] ; [  6.4497992 139.5502008],0
s4,1,0.031316,4.635563,[27 73] ; [ 23 123],[20.32520325 79.67479675] ; [ 29.67479675 116.32520325],0
s5,1,0.049081,3.87257,[37 60] ; [ 38 107],[30.06198347 66.93801653] ; [ 44.93801653 100.06198347],0
s2,1,0.050151,3.83639,[59 43] ; [66 80],[51.41129032 50.58870968] ; [73.58870968 72.41129032],0
s7,1,0.062338,3.474067,[55 43] ; [60 77],[47.95744681 50.04255319] ; [67.04255319 69.95744681],0
a7,1,0.064104,3.427887,[65 37] ; [109  37],[71.56451613 30.43548387] ; [102.43548387  43.56451613],0
s6,1,0.087614,2.917667,[71 28] ; [88 56],[64.77777778 34.22222222] ; [94.22222222 49.77777778],0
b1,1,0.100519,2.697289,[51 52] ; [57 89],[44.6746988 58.3253012] ; [63.3253012 82.6746988],0
n6,1,0.119301,2.426468,[87 16] ; [110  34],[82.14979757 20.85020243] ; [114.85020243  29.14979757],0
a4,1,0.130871,2.282137,[45 58] ; [50 96],[39.29718876 63.70281124] ; [55.70281124 90.29718876],0
r2,1,0.156824,2.004584,[96  6] ; [128  16],[92.87804878  9.12195122] ; [131.12195122  12.87804878],0
d5,1,0.160032,1.973922,[73 29] ; [115  30],[77.63562753 24.36437247] ; [110.36437247  34.63562753],0
n5,1,0.201487,1.631566,[72 31] ; [90 55],[67.28225806 35.71774194] ; [94.71774194 50.28225806],0
u1,1,0.203686,1.615748,[17 86] ; [ 16 130],[13.65060241 89.34939759] ; [ 19.34939759 126.65060241],0
v2,1,0.2085,1.581812,[39 62] ; [65 74],[43.76666667 57.23333333] ; [60.23333333 78.76666667],0
s8,1,0.220339,1.502162,[43 59] ; [50 95],[38.4048583 63.5951417] ; [54.5951417 90.4048583],0
r3,1,0.242348,1.366884,[97  4] ; [134  11],[94.84146341  6.15853659] ; [136.15853659   8.84146341],0
b4,1,0.243161,1.362177,[48 55] ; [79 67],[52.53413655 50.46586345] ; [74.46586345 71.53413655],0
p2,1,0.250828,1.318685,[92 11] ; [123  23],[88.93574297 14.06425703] ; [126.06425703  19.93574297],0
d2,1,0.281342,1.160596,[49 54] ; [59 86],[44.85483871 58.14516129] ; [63.14516129 81.85483871],0
u3,1,0.284889,1.143617,[19 15] ; [22 28],[16.5952381 17.4047619] ; [24.4047619 25.5952381],0
u2,1,0.290763,1.116085,[22 12] ; [26 23],[19.6626506 14.3373494] ; [28.3373494 20.6626506],0
a6,1,0.420082,0.650085,[66 37] ; [100  45],[68.94354839 34.05645161] ; [97.05645161 47.94354839],0
p9,1,0.469797,0.522453,[84 19] ; [112  32],[81.73279352 21.26720648] ; [114.26720648  29.73279352],0
a5,1,0.474009,0.512615,[69 34] ; [104  42],[71.562249 31.437751] ; [101.437751  44.562249],0
p10,1,0.504679,0.445083,[82 21] ; [111  35],[79.83534137 23.16465863] ; [113.16465863  32.83534137],0
r4,1,0.577375,0.310498,[92 11] ; [127  19],[90.59036145 12.40963855] ; [128.40963855  17.59036145],0
v3,1,0.581865,0.303229,[26 76] ; [ 41 102],[27.89387755 74.10612245] ; [ 39.10612245 103.89387755],0
