Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,53.600878,[ 27 380] ; [29 55],[ 46.41955193 360.58044807] ; [ 9.58044807 74.41955193],1
p12,1,0.0,35.738911,[ 25 383] ; [23 61],[ 39.80487805 368.19512195] ; [ 8.19512195 75.80487805],1
s5,1,0.0,30.247357,[131 266] ; [50 25],[152.23940678 244.76059322] ; [28.76059322 46.23940678],1
a1,1,2e-06,22.693282,[ 12 396] ; [13 71],[ 20.73170732 387.26829268] ; [ 4.26829268 79.73170732],1
p3,1,5.4e-05,16.306404,[262 145] ; [73 11],[277.68839104 129.31160896] ; [57.31160896 26.68839104],1
p8,1,0.00032,12.951313,[255 150] ; [70 14],[269.17177914 135.82822086] ; [55.82822086 28.17177914],1
p6,1,0.000695,11.501327,[191 215] ; [56 27],[205.07566462 200.92433538] ; [41.92433538 41.07566462],1
s7,1,0.001207,10.478937,[207 179] ; [58 21],[219.97849462 166.02150538] ; [45.02150538 33.97849462],0
b5,1,0.001359,10.260133,[252 156] ; [36 48],[238.82926829 169.17073171] ; [49.17073171 34.82926829],0
v3,1,0.00315,8.718582,[156 238] ; [46 34],[167.907173 226.092827] ; [34.092827 45.907173],0
n5,1,0.003425,8.565849,[321  84] ; [78  6],[330.4601227  74.5398773] ; [68.5398773 15.4601227],0
s8,1,0.005585,7.679667,[191 214] ; [53 30],[202.5 202.5] ; [41.5 41.5],0
s6,1,0.015913,5.812494,[286 116] ; [65 12],[294.57620042 107.42379958] ; [56.42379958 20.57620042],0
p9,1,0.016363,5.763487,[354  51] ; [81  3],[360.27607362  44.72392638] ; [74.72392638  9.27607362],0
u4,1,0.020491,5.36954,[  7 401] ; [ 5 78],[  9.97148676 398.02851324] ; [ 2.02851324 80.97148676],0
v1,1,0.036018,4.396262,[232 169] ; [57 24],[240.43360996 160.56639004] ; [48.56639004 32.43360996],0
p10,1,0.036023,4.39601,[345  58] ; [79  5],[350.86652977  52.13347023] ; [73.13347023 10.86652977],0
n3,1,0.037943,4.307558,[56 16] ; [9 8],[52.58426966 19.41573034] ; [12.41573034  4.58426966],0
p7,1,0.046658,3.957684,[300 105] ; [70 13],[307.06967213  97.93032787] ; [62.93032787 20.06967213],0
b3,1,0.047318,3.934042,[ 88 165] ; [30 32],[ 94.77460317 158.22539683] ; [23.22539683 38.77460317],0
b2,1,0.047318,3.934042,[ 88 165] ; [30 32],[ 94.77460317 158.22539683] ; [23.22539683 38.77460317],0
