Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.001582,9.980155,[16 12] ; [27 78],[ 9.05263158 18.94736842] ; [33.94736842 71.05263158],0
s5,1,0.009872,6.657892,[ 9 18] ; [13 91],[ 4.53435115 22.46564885] ; [17.46564885 86.53435115],0
s7,1,0.011335,6.411957,[15 13] ; [28 72],[ 9.40625 18.59375] ; [33.59375 66.40625],0
s6,1,0.012069,6.300699,[19  8] ; [45 59],[13.19083969 13.80916031] ; [50.80916031 53.19083969],0
v2,1,0.019039,5.497961,[ 3 25] ; [33 66],[ 7.93700787 20.06299213] ; [28.06299213 70.93700787],0
s3,1,0.045734,3.991356,[17 12] ; [39 64],[12.3030303 16.6969697] ; [43.6969697 59.3030303],0
u1,1,0.162023,1.955246,[ 2 27] ; [  2 103],[ 0.86567164 28.13432836] ; [  3.13432836 101.86567164],0
p1,1,0.176643,1.825644,[ 5 24] ; [ 9 96],[ 3.02985075 25.97014925] ; [10.97014925 94.02985075],0
d3,1,0.180441,1.793988,[ 9 19] ; [21 83],[ 6.36363636 21.63636364] ; [23.63636364 80.36363636],0
n6,1,0.186539,1.744746,[24  5] ; [74 31],[21.20895522  7.79104478] ; [76.79104478 28.20895522],0
n4,1,0.208295,1.58324,[21  8] ; [62 42],[18.09774436 10.90225564] ; [64.90225564 39.09774436],0
u3,1,0.234449,1.413666,[10  8] ; [23 35],[ 7.81578947 10.18421053] ; [25.18421053 32.81578947],0
s1,1,0.280097,1.166621,[ 3 26] ; [ 5 97],[ 1.77099237 27.22900763] ; [ 6.22900763 95.77099237],0
n5,1,0.288007,1.128912,[23  6] ; [72 32],[20.71428571  8.28571429] ; [74.28571429 29.71428571],0
n1,1,0.35962,0.839219,[3 8] ; [17 23],[4.31372549 6.68627451] ; [15.68627451 24.31372549],0
p7,1,0.379441,0.772513,[18 11] ; [55 49],[15.91729323 13.08270677] ; [57.08270677 46.91729323],0
p5,1,0.421042,0.647405,[ 1 28] ; [ 8 96],[ 1.96240602 27.03759398] ; [ 7.03759398 96.96240602],0
b1,1,0.454825,0.5586,[11 18] ; [48 57],[12.76865672 16.23134328] ; [46.23134328 58.76865672],0
a3,1,0.460503,0.544672,[11 18] ; [47 56],[12.74242424 16.25757576] ; [45.25757576 57.74242424],0
p8,1,0.483728,0.490446,[13 16] ; [38 63],[11.37692308 17.62307692] ; [39.62307692 61.37692308],0
r1,1,0.494689,0.466312,[17 12] ; [53 50],[15.37878788 13.62121212] ; [54.62121212 48.37878788],0
b5,1,0.511049,0.431919,[18 11] ; [58 47],[16.44776119 12.55223881] ; [59.55223881 45.44776119],0
u2,1,0.5418,0.372214,[ 6 12] ; [24 34],[ 7.10526316 10.89473684] ; [22.89473684 35.10526316],0
p6,1,0.543953,0.368262,[ 6 23] ; [27 76],[ 7.25 21.75] ; [25.75 77.25],0
a5,1,0.550805,0.355877,[12 17] ; [50 55],[13.41791045 15.58208955] ; [48.58208955 56.41791045],0
p10,1,0.578331,0.30894,[20  9] ; [64 37],[18.73846154 10.26153846] ; [65.26153846 35.73846154],0
p9,1,0.623021,0.241645,[19 10] ; [71 30],[20.07692308  8.92307692] ; [69.92307692 31.07692308],0
s8,1,0.62973,0.232427,[10 19] ; [31 73],[ 8.93984962 20.06015038] ; [32.06015038 71.93984962],0
v4,1,0.652819,0.202365,[23  5] ; [89 15],[23.75757576  4.24242424] ; [88.24242424 15.75757576],0
p3,1,0.668495,0.183368,[11 18] ; [35 69],[10.03007519 18.96992481] ; [35.96992481 68.03007519],0
n3,1,0.709918,0.138359,[8 3] ; [32  9],[8.46153846 2.53846154] ; [31.53846154  9.46153846],0
p11,1,0.755132,0.097269,[19 10] ; [72 33],[19.69402985  9.30597015] ; [71.30597015 33.69402985],0
d1,1,0.762052,0.09168,[ 1 28] ; [  5 100],[ 1.29850746 27.70149254] ; [  4.70149254 100.29850746],0
n2,1,0.777204,0.080069,[8 3] ; [28 13],[7.61538462 3.38461538] ; [28.38461538 12.61538462],0
d2,1,0.783771,0.0753,[ 7 22] ; [28 77],[ 7.57462687 21.42537313] ; [27.42537313 77.57462687],0
b4,1,0.789769,0.071081,[13 16] ; [50 55],[13.63432836 15.36567164] ; [49.36567164 55.63432836],0
d5,1,0.804245,0.061433,[13 15] ; [46 59],[12.42105263 15.57894737] ; [46.57894737 58.42105263],0
a6,1,0.806533,0.059977,[15 14] ; [57 48],[15.58208955 13.41791045] ; [56.41791045 48.58208955],0
a4,1,0.837407,0.042112,[ 7 22] ; [23 80],[ 6.59090909 22.40909091] ; [23.40909091 79.59090909],0
p2,1,0.839031,0.041263,[21  8] ; [78 27],[21.42537313  7.57462687] ; [77.57462687 27.42537313],0
p12,1,0.868481,0.027419,[ 1 28] ; [  3 102],[ 0.86567164 28.13432836] ; [  3.13432836 101.86567164],0
a2,1,0.895728,0.017177,[ 2 27] ; [ 8 97],[ 2.1641791 26.8358209] ; [ 7.8358209 97.1641791],0
r3,1,0.89872,0.0162,[24  5] ; [85 19],[23.76691729  5.23308271] ; [85.23308271 18.76691729],0
r2,1,0.89872,0.0162,[24  5] ; [85 19],[23.76691729  5.23308271] ; [85.23308271 18.76691729],0
p4,1,0.922122,0.009557,[13 16] ; [46 59],[12.76865672 16.23134328] ; [46.23134328 58.76865672],0
v1,1,0.94706,0.004409,[11 18] ; [38 64],[10.84732824 18.15267176] ; [38.15267176 63.84732824],0
r4,1,0.953945,0.003335,[20  9] ; [73 32],[20.12686567  8.87313433] ; [72.87313433 32.12686567],0
a7,1,0.982097,0.000504,[15 13] ; [56 49],[14.94736842 13.05263158] ; [56.05263158 48.94736842],0
