Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.00032,12.952381,[ 5 45] ; [9 9],[10.29411765 39.70588235] ; [ 3.70588235 14.29411765],1
p7,1,0.009153,6.792735,[15 33] ; [12  6],[19.63636364 28.36363636] ; [ 7.36363636 10.63636364],0
p8,1,0.009615,6.704938,[11 38] ; [10  8],[15.35820896 33.64179104] ; [ 5.64179104 12.35820896],0
s7,1,0.010844,6.49066,[ 8 41] ; [8 9],[11.87878788 37.12121212] ; [ 4.12121212 12.87878788],0
b1,1,0.019,5.501491,[20 30] ; [13  5],[24.26470588 25.73529412] ; [8.73529412 9.26470588],0
s8,1,0.021152,5.314195,[ 5 45] ; [ 6 12],[ 8.08823529 41.91176471] ; [ 2.91176471 15.08823529],0
p6,1,0.026091,4.95,[ 5 43] ; [ 6 12],[ 8. 40.] ; [ 3. 15.],0
v4,1,0.028567,4.793517,[29 20] ; [15  2],[32.66666667 16.33333333] ; [11.33333333  5.66666667],0
p2,1,0.064978,3.405532,[29 20] ; [15  3],[32.17910448 16.82089552] ; [11.82089552  6.17910448],0
p11,1,0.072568,3.223965,[21 29] ; [12  6],[24.26470588 25.73529412] ; [8.73529412 9.26470588],0
p10,1,0.081845,3.027885,[20 27] ; [12  6],[23.13846154 23.86153846] ; [8.86153846 9.13846154],0
b3,1,0.087227,2.924817,[11 17] ; [1 9],[ 8.84210526 19.15789474] ; [3.15789474 6.84210526],0
b2,1,0.087227,2.924817,[11 17] ; [1 9],[ 8.84210526 19.15789474] ; [3.15789474 6.84210526],0
s2,1,0.102604,2.664593,[12 38] ; [ 8 10],[14.70588235 35.29411765] ; [ 5.29411765 12.70588235],0
a4,1,0.108293,2.578963,[ 4 46] ; [ 4 14],[ 5.88235294 44.11764706] ; [ 2.11764706 15.88235294],0
p5,1,0.11155,2.532124,[ 1 48] ; [ 2 16],[ 2.19402985 46.80597015] ; [ 0.80597015 17.19402985],0
v1,1,0.113612,2.503247,[12 37] ; [ 8 10],[14.62686567 34.37313433] ; [ 5.37313433 12.62686567],0
p9,1,0.114148,2.495835,[22 27] ; [12  6],[24.86567164 24.13432836] ; [9.13432836 8.86567164],0
n1,1,0.135788,2.225053,[ 5 21] ; [4 5],[ 6.68571429 19.31428571] ; [2.31428571 6.68571429],0
r3,1,0.158675,1.986813,[26 23] ; [13  5],[28.52238806 20.47761194] ; [10.47761194  7.52238806],0
u3,1,0.16474,1.930167,[ 8 24] ; [6 7],[ 9.95555556 22.04444444] ; [4.04444444 8.95555556],0
d2,1,0.179554,1.801314,[13 36] ; [ 2 16],[10.97014925 38.02985075] ; [ 4.02985075 13.97014925],0
n2,1,0.20655,1.595442,[14 12] ; [7 2],[15.6 10.4] ; [5.4 3.6],0
a7,1,0.319101,0.992629,[23 26] ; [ 6 12],[21.20895522 27.79104478] ; [ 7.79104478 10.20895522],0
n5,1,0.322089,0.980444,[29 21] ; [ 8 10],[27.20588235 22.79411765] ; [9.79411765 8.20588235],0
n6,1,0.339888,0.910853,[24 26] ; [11  7],[25.73529412 24.26470588] ; [9.26470588 8.73529412],0
s3,1,0.36516,0.820067,[17 32] ; [8 9],[18.56060606 30.43939394] ; [ 6.43939394 10.56060606],0
s5,1,0.378223,0.776471,[ 7 42] ; [ 4 13],[ 8.16666667 40.83333333] ; [ 2.83333333 14.16666667],0
v3,1,0.37901,0.773909,[10 39] ; [ 2 16],[ 8.7761194 40.2238806] ; [ 3.2238806 14.7761194],0
r1,1,0.423432,0.640769,[13 37] ; [ 3 15],[11.76470588 38.23529412] ; [ 4.23529412 13.76470588],0
d5,1,0.461971,0.541114,[20 30] ; [9 9],[21.32352941 28.67647059] ; [ 7.67647059 10.32352941],0
a3,1,0.493693,0.468468,[18 31] ; [ 5 13],[16.82089552 32.17910448] ; [ 6.17910448 11.82089552],0
s4,1,0.494977,0.465688,[10 40] ; [ 5 13],[11.02941176 38.97058824] ; [ 3.97058824 14.02941176],0
b5,1,0.505714,0.442926,[26 24] ; [11  7],[27.20588235 22.79411765] ; [9.79411765 8.20588235],0
p1,1,0.55474,0.348893,[ 5 44] ; [ 1 17],[ 4.3880597 44.6119403] ; [ 1.6119403 16.3880597],0
s1,1,0.568636,0.32497,[ 5 45] ; [ 1 17],[ 4.41176471 45.58823529] ; [ 1.58823529 16.41176471],0
u2,1,0.598735,0.276909,[14 17] ; [7 6],[14.79545455 16.20454545] ; [6.20454545 6.79545455],0
n4,1,0.685918,0.16354,[25 25] ; [ 8 10],[24.26470588 25.73529412] ; [8.73529412 9.26470588],0
r2,1,0.763599,0.090456,[28 21] ; [9 8],[27.46969697 21.53030303] ; [9.53030303 7.46969697],0
v2,1,0.766378,0.088278,[16 32] ; [ 5 12],[15.50769231 32.49230769] ; [ 5.49230769 11.50769231],0
n3,1,0.773795,0.082607,[13 13] ; [5 4],[13.37142857 12.62857143] ; [4.62857143 4.37142857],0
