Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5e-06,20.713642,[22 81] ; [22 13],[32.84057971 70.15942029] ; [11.15942029 23.84057971],1
s6,1,1.3e-05,19.063063,[44 67] ; [30  7],[55.5 55.5] ; [18.5 18.5],1
s2,1,2.1e-05,18.060313,[30 80] ; [24 12],[40.68493151 69.31506849] ; [13.31506849 22.68493151],1
p10,1,0.002212,9.364991,[22 87] ; [17 20],[29.11643836 79.88356164] ; [ 9.88356164 27.11643836],0
s3,1,0.003481,8.536505,[46 65] ; [25 11],[53.6122449 57.3877551] ; [17.3877551 18.6122449],0
n5,1,0.010322,6.578379,[51 60] ; [26 11],[57.75 53.25] ; [19.25 17.75],0
u2,1,0.01797,5.599093,[20 27] ; [11  3],[23.8852459 23.1147541] ; [7.1147541 6.8852459],0
d5,1,0.040676,4.189446,[77 34] ; [32  5],[81.75 29.25] ; [27.25  9.75],0
s5,1,0.049198,3.868592,[18 93] ; [11 24],[22.04794521 88.95205479] ; [ 6.95205479 28.04794521],0
u3,1,0.066193,3.375,[25 24] ; [11  3],[28. 21.] ; [8. 6.],0
b1,1,0.085695,2.953437,[57 54] ; [25 12],[61.5 49.5] ; [20.5 16.5],0
v3,1,0.119471,2.424242,[30 78] ; [15 21],[33.75 74.25] ; [11.25 24.75],0
p2,1,0.140718,2.170088,[66 45] ; [27 10],[69.75 41.25] ; [23.25 13.75],0
v2,1,0.14699,2.103213,[45 63] ; [20 16],[48.75 59.25] ; [16.25 19.75],0
p5,1,0.1488,2.084507,[  3 108] ; [ 3 34],[  4.5 106.5] ; [ 1.5 35.5],0
a1,1,0.1488,2.084507,[  3 108] ; [ 3 34],[  4.5 106.5] ; [ 1.5 35.5],0
p4,1,0.163716,1.93956,[45 65] ; [20 17],[48.63945578 61.36054422] ; [16.36054422 20.63945578],0
d1,1,0.183266,1.77094,[49 62] ; [21 16],[52.5 58.5] ; [17.5 19.5],0
n4,1,0.198161,1.655876,[68 43] ; [27 10],[71.25 39.75] ; [23.75 13.25],0
n6,1,0.223775,1.48,[72 39] ; [28  9],[75. 36.] ; [25. 12.],0
b4,1,0.240292,1.378882,[66 45] ; [26 11],[69. 42.] ; [23. 14.],0
s4,1,0.248032,1.334354,[13 97] ; [ 7 29],[15.06849315 94.93150685] ; [ 4.93150685 31.06849315],0
p1,1,0.252209,1.311028,[  9 101] ; [ 1 36],[  7.4829932 102.5170068] ; [ 2.5170068 34.4829932],0
v4,1,0.258961,1.274306,[96 13] ; [35  2],[97.80136986 11.19863014] ; [33.19863014  3.80136986],0
r4,1,0.303003,1.060932,[91 20] ; [33  4],[93. 18.] ; [31.  6.],0
r2,1,0.330562,0.946695,[99 12] ; [35  2],[100.5  10.5] ; [33.5  3.5],0
p6,1,0.340781,0.907493,[22 87] ; [10 26],[24.05517241 84.94482759] ; [ 7.94482759 28.05517241],0
u1,1,0.341075,0.906387,[14 97] ; [ 7 30],[15.75 95.25] ; [ 5.25 31.75],0
n2,1,0.362299,0.82991,[24 13] ; [8 2],[25.19148936 11.80851064] ; [6.80851064 3.19148936],0
p8,1,0.368783,0.807762,[36 75] ; [15 22],[38.25 72.75] ; [12.75 24.25],0
p11,1,0.389441,0.740686,[60 51] ; [23 14],[62.25 48.75] ; [20.75 16.25],0
a8,1,0.432242,0.616792,[11 92] ; [ 2 31],[ 9.84558824 93.15441176] ; [ 3.15441176 29.84558824],0
d2,1,0.447491,0.576998,[52 59] ; [20 17],[54. 57.] ; [18. 19.],0
a3,1,0.501663,0.451416,[62 49] ; [23 14],[63.75 47.25] ; [21.25 15.75],0
a7,1,0.547149,0.362449,[75 36] ; [23 14],[73.5 37.5] ; [24.5 12.5],0
a5,1,0.563849,0.333083,[66 45] ; [20 17],[64.5 46.5] ; [21.5 15.5],0
a4,1,0.590898,0.288943,[38 72] ; [11 26],[36.66666667 73.33333333] ; [12.33333333 24.66666667],0
b2,1,0.606641,0.265095,[17 45] ; [ 6 21],[16.02247191 45.97752809] ; [ 6.97752809 20.02247191],0
b3,1,0.606641,0.265095,[17 45] ; [ 6 21],[16.02247191 45.97752809] ; [ 6.97752809 20.02247191],0
p7,1,0.632109,0.229211,[53 57] ; [19 17],[54.24657534 55.75342466] ; [17.75342466 18.24657534],0
d4,1,0.639069,0.219961,[82 28] ; [29  8],[83.06122449 26.93877551] ; [27.93877551  9.06122449],0
s1,1,0.684655,0.164933,[  7 103] ; [ 3 33],[  7.53424658 102.46575342] ; [ 2.46575342 33.53424658],0
b5,1,0.701588,0.146825,[64 47] ; [20 17],[63. 48.] ; [21. 16.],0
n1,1,0.782774,0.076014,[12 25] ; [3 5],[12.33333333 24.66666667] ; [2.66666667 5.33333333],0
n3,1,0.821677,0.0508,[23 13] ; [6 4],[22.69565217 13.30434783] ; [6.30434783 3.69565217],0
a6,1,0.845839,0.037803,[67 44] ; [23 14],[67.5 43.5] ; [22.5 14.5],0
p3,1,0.895126,0.017377,[37 72] ; [13 24],[37.32876712 71.67123288] ; [12.67123288 24.32876712],0
a2,1,0.899208,0.016043,[19 92] ; [ 6 31],[18.75 92.25] ; [ 6.25 30.75],0
r1,1,0.909225,0.013,[86 25] ; [29  8],[86.25 24.75] ; [28.75  8.25],0
v1,1,0.921767,0.009645,[41 70] ; [14 23],[41.25 69.75] ; [13.75 23.25],0
d3,1,0.922784,0.009395,[67 44] ; [22 15],[66.75 44.25] ; [22.25 14.75],0
