Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.026647,4.913529,[49 35] ; [25  6],[54.05217391 29.94782609] ; [19.94782609 11.05217391],0
a4,1,0.036128,4.391046,[22 61] ; [15 17],[26.70434783 56.29565217] ; [10.29565217 21.70434783],0
s1,1,0.050616,3.820922,[ 4 80] ; [ 5 27],[ 6.51724138 77.48275862] ; [ 2.48275862 29.51724138],0
s7,1,0.065198,3.399957,[12 67] ; [ 9 20],[15.36111111 63.63888889] ; [ 5.63888889 23.36111111],0
s5,1,0.086702,2.934556,[10 73] ; [ 8 24],[12.99130435 70.00869565] ; [ 5.00869565 26.99130435],0
v3,1,0.127838,2.31857,[13 70] ; [ 9 23],[15.87826087 67.12173913] ; [ 6.12173913 25.87826087],0
d5,1,0.179125,1.804872,[49 35] ; [23  9],[52.13793103 31.86206897] ; [19.86206897 12.13793103],0
n5,1,0.208917,1.578914,[51 32] ; [15 16],[48.05263158 34.94736842] ; [17.94736842 13.05263158],0
a5,1,0.212609,1.553571,[39 45] ; [19 13],[42. 42.] ; [16. 16.],0
n3,1,0.221195,1.496599,[20 15] ; [ 8 12],[17.81818182 17.18181818] ; [10.18181818  9.81818182],0
b4,1,0.241333,1.372792,[45 39] ; [21 11],[47.79310345 36.20689655] ; [18.20689655 13.79310345],0
u2,1,0.264855,1.243201,[14 25] ; [6 5],[15.6 23.4] ; [4.4 6.6],0
a3,1,0.270718,1.213105,[44 39] ; [20 11],[46.59649123 36.40350877] ; [17.40350877 13.59649123],0
s3,1,0.274152,1.195856,[23 59] ; [12 19],[25.39823009 56.60176991] ; [ 9.60176991 21.39823009],0
p11,1,0.274438,1.194427,[41 43] ; [12 20],[38.37931034 45.62068966] ; [14.62068966 17.37931034],0
r3,1,0.306711,1.044785,[45 38] ; [13 17],[42.60176991 40.39823009] ; [15.39823009 14.60176991],0
p9,1,0.338903,0.914577,[43 37] ; [14 18],[40.71428571 39.28571429] ; [16.28571429 15.71428571],0
p8,1,0.350811,0.870521,[22 59] ; [ 6 26],[20.07079646 60.92920354] ; [ 7.92920354 24.07079646],0
d1,1,0.357813,0.845553,[29 55] ; [14 18],[31.13793103 52.86206897] ; [11.86206897 20.13793103],0
p10,1,0.368803,0.807692,[35 45] ; [17 15],[37.14285714 42.85714286] ; [14.85714286 17.14285714],0
v2,1,0.411732,0.673795,[26 56] ; [12 18],[27.82142857 54.17857143] ; [10.17857143 19.82142857],0
r2,1,0.412074,0.672809,[46 35] ; [19 10],[47.86363636 33.13636364] ; [17.13636364 11.86363636],0
s6,1,0.459513,0.547081,[23 61] ; [11 21],[24.62068966 59.37931034] ; [ 9.37931034 22.62068966],0
d3,1,0.509992,0.434083,[41 42] ; [18 14],[42.5826087 40.4173913] ; [16.4173913 15.5826087],0
b1,1,0.56515,0.330866,[47 37] ; [16 16],[45.62068966 38.37931034] ; [17.37931034 14.62068966],0
d2,1,0.594294,0.283688,[34 49] ; [11 20],[32.76315789 50.23684211] ; [12.23684211 18.76315789],0
u3,1,0.601562,0.272646,[10 29] ; [4 8],[10.70588235 28.29411765] ; [3.29411765 8.70588235],0
n2,1,0.628844,0.233631,[19 16] ; [10 11],[18.125 16.875] ; [10.875 10.125],0
a2,1,0.638046,0.221306,[ 8 76] ; [ 4 28],[ 8.68965517 75.31034483] ; [ 3.31034483 28.68965517],0
p4,1,0.651331,0.204226,[25 58] ; [ 8 23],[24.02631579 58.97368421] ; [ 8.97368421 22.02631579],0
a8,1,0.659265,0.194417,[ 4 77] ; [ 2 26],[ 4.4587156 76.5412844] ; [ 1.5412844 26.4587156],0
n1,1,0.707513,0.140774,[10 25] ; [ 7 14],[10.625 24.375] ; [ 6.375 14.625],0
b3,1,0.759589,0.093648,[16 29] ; [ 6 13],[15.46875 29.53125] ; [ 6.53125 12.46875],0
b2,1,0.759589,0.093648,[16 29] ; [ 6 13],[15.46875 29.53125] ; [ 6.53125 12.46875],0
s4,1,0.776061,0.080915,[15 69] ; [ 5 27],[14.48275862 69.51724138] ; [ 5.51724138 26.48275862],0
p2,1,0.776979,0.080235,[42 39] ; [17 14],[42.66964286 38.33035714] ; [16.33035714 14.66964286],0
a1,1,0.785238,0.074256,[ 9 75] ; [ 4 28],[ 9.4137931 74.5862069] ; [ 3.5862069 28.4137931],0
s2,1,0.786224,0.073559,[19 65] ; [ 8 24],[19.55172414 64.44827586] ; [ 7.44827586 24.55172414],0
p6,1,0.797817,0.065625,[11 69] ; [ 5 27],[11.42857143 68.57142857] ; [ 4.57142857 27.42857143],0
v4,1,0.821459,0.050926,[49 34] ; [17 13],[48.47787611 34.52212389] ; [17.52212389 12.47787611],0
p12,1,0.837104,0.042271,[ 2 80] ; [ 1 31],[ 2.15789474 79.84210526] ; [ 0.84210526 31.15789474],0
p3,1,0.840488,0.040509,[20 62] ; [ 7 24],[19.59292035 62.40707965] ; [ 7.40707965 23.59292035],0
p7,1,0.841521,0.039979,[29 53] ; [10 20],[28.55357143 53.44642857] ; [10.44642857 19.55357143],0
a7,1,0.877999,0.023564,[42 42] ; [16 15],[42.36521739 41.63478261] ; [15.63478261 15.36521739],0
a6,1,0.908738,0.01314,[43 41] ; [16 16],[42.72413793 41.27586207] ; [16.27586207 15.72413793],0
n4,1,0.930839,0.007532,[48 36] ; [18 14],[47.79310345 36.20689655] ; [18.20689655 13.79310345],0
n6,1,0.933681,0.006925,[45 38] ; [16 14],[44.80530973 38.19469027] ; [16.19469027 13.80530973],0
b5,1,0.942817,0.005145,[44 40] ; [17 15],[44.17241379 39.82758621] ; [16.82758621 15.17241379],0
p5,1,0.944463,0.004853,[ 5 77] ; [ 2 29],[ 5.07964602 76.92035398] ; [ 1.92035398 29.07964602],0
u1,1,0.952024,0.00362,[ 5 79] ; [ 2 30],[ 5.06896552 78.93103448] ; [ 1.93103448 30.06896552],0
