Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,3.3e-05,17.249349,[17 23] ; [83 23],[27.39726027 12.60273973] ; [72.60273973 33.39726027],1
r1,1,0.000145,14.440985,[21 20] ; [87 19],[30.12244898 10.87755102] ; [77.87755102 28.12244898],1
a4,1,0.000504,12.101606,[ 9 32] ; [57 49],[18.40816327 22.59183673] ; [47.59183673 58.40816327],1
d1,1,0.000584,11.826867,[13 28] ; [67 39],[22.31292517 18.68707483] ; [57.68707483 48.31292517],1
d2,1,0.000723,11.428926,[ 9 32] ; [56 50],[18.1292517 22.8707483] ; [46.8707483 59.1292517],1
v2,1,0.003581,8.485144,[14 25] ; [65 38],[21.6971831 17.3028169] ; [57.3028169 45.6971831],0
a6,1,0.006577,7.384968,[21 20] ; [79 27],[27.89115646 13.10884354] ; [72.10884354 33.89115646],0
d4,1,0.010815,6.495466,[25 16] ; [86 20],[30.95918367 10.04081633] ; [80.04081633 25.95918367],0
d3,1,0.018756,5.524155,[21 20] ; [76 30],[27.05442177 13.94557823] ; [69.94557823 36.05442177],0
p11,1,0.02028,5.387632,[30 11] ; [94 12],[34.58503401  6.41496599] ; [89.41496599 16.58503401],0
v3,1,0.021051,5.322539,[ 9 29] ; [46 56],[14.92857143 23.07142857] ; [40.07142857 61.92857143],0
r4,1,0.022096,5.238172,[29 12] ; [92 14],[33.74829932  7.25170068] ; [87.25170068 18.74829932],0
n5,1,0.022487,5.207682,[24 17] ; [82 24],[29.56462585 11.43537415] ; [76.43537415 29.56462585],0
a7,1,0.032855,4.553331,[25 16] ; [83 23],[30.12244898 10.87755102] ; [77.87755102 28.12244898],0
d5,1,0.03452,4.46876,[27 14] ; [87 19],[31.79591837  9.20408163] ; [82.20408163 23.79591837],0
p10,1,0.037039,4.348639,[28 13] ; [88 17],[32.57534247  8.42465753] ; [83.42465753 21.57534247],0
r2,1,0.040782,4.185065,[33  8] ; [96  8],[36.47586207  4.52413793] ; [92.52413793 11.47586207],0
p8,1,0.082377,3.01737,[20 20] ; [69 36],[24.55172414 15.44827586] ; [64.44827586 40.55172414],0
n1,1,0.09421,2.800926,[7 5] ; [ 5 13],[4.8 7.2] ; [ 7.2 10.8],0
n2,1,0.097646,2.743584,[10  1] ; [12  7],[8.06666667 2.93333333] ; [13.93333333  5.06666667],0
s8,1,0.106253,2.609089,[ 7 34] ; [32 74],[10.87755102 30.12244898] ; [28.12244898 77.87755102],0
v1,1,0.113902,2.499231,[18 22] ; [62 42],[22.22222222 17.77777778] ; [57.77777778 46.22222222],0
n4,1,0.118854,2.432359,[27 14] ; [83 23],[30.68027211 10.31972789] ; [79.31972789 26.68027211],0
p7,1,0.181011,1.789301,[26 15] ; [79 27],[29.28571429 11.71428571] ; [75.71428571 30.28571429],0
b5,1,0.184415,1.761677,[27 14] ; [57 49],[23.42857143 17.57142857] ; [60.57142857 45.42857143],0
p9,1,0.187383,1.738073,[30 11] ; [87 18],[32.85616438  8.14383562] ; [84.14383562 20.85616438],0
n3,1,0.217058,1.523713,[11  1] ; [14  5],[9.67741935 2.32258065] ; [15.32258065  3.67741935],0
p2,1,0.27589,1.187227,[34  7] ; [94 11],[35.94520548  5.05479452] ; [92.05479452 12.94520548],0
p3,1,0.331573,0.942743,[23 18] ; [68 37],[25.55479452 15.44520548] ; [65.44520548 39.55479452],0
s5,1,0.369933,0.80389,[ 4 35] ; [17 88],[ 5.6875 33.3125] ; [15.3125 89.6875],0
s4,1,0.376453,0.782253,[ 4 37] ; [  6 100],[ 2.78911565 38.21088435] ; [ 7.21088435 98.78911565],0
b2,1,0.378209,0.776515,[ 8 15] ; [33 40],[ 9.82291667 13.17708333] ; [31.17708333 41.82291667],0
b3,1,0.378209,0.776515,[ 8 15] ; [33 40],[ 9.82291667 13.17708333] ; [31.17708333 41.82291667],0
u2,1,0.3824,0.762971,[10 14] ; [12 10],[11.47826087 12.52173913] ; [10.52173913 11.47826087],0
b4,1,0.393048,0.729492,[20 21] ; [60 46],[22.31292517 18.68707483] ; [57.68707483 48.31292517],0
u3,1,0.463705,0.536937,[11 13] ; [13 10],[12.25531915 11.74468085] ; [11.74468085 11.25531915],0
a8,1,0.477854,0.503756,[ 5 33] ; [ 8 81],[ 3.88976378 34.11023622] ; [ 9.11023622 79.88976378],0
s3,1,0.566913,0.327875,[10 30] ; [31 73],[11.38888889 28.61111111] ; [29.61111111 74.38888889],0
