Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.5e-05,17.773827,[99 25] ; [13 18],[89.6 34.4] ; [22.4  8.6],1
p9,1,0.000447,12.324011,[105  19] ; [18 14],[97.76923077 26.23076923] ; [25.23076923  6.76923077],1
a3,1,0.018196,5.577188,[71 56] ; [10 21],[65.10759494 61.89240506] ; [15.89240506 15.10759494],0
r1,1,0.023033,5.166016,[107  21] ; [21 11],[102.4  25.6] ; [25.6  6.4],0
b3,1,0.026863,4.899601,[33 46] ; [ 2 14],[29.10526316 49.89473684] ; [ 5.89473684 10.10526316],0
b2,1,0.026863,4.899601,[33 46] ; [ 2 14],[29.10526316 49.89473684] ; [ 5.89473684 10.10526316],0
n6,1,0.031175,4.643327,[109  19] ; [22 10],[104.8  23.2] ; [26.2  5.8],0
v4,1,0.037346,4.334556,[127   1] ; [29  2],[125.58490566   2.41509434] ; [30.41509434  0.58490566],0
a6,1,0.05017,3.835781,[87 40] ; [16 16],[82.27044025 44.72955975] ; [20.72955975 11.27044025],0
s3,1,0.05566,3.662204,[68 55] ; [23  8],[72.68181818 50.31818182] ; [18.31818182 12.68181818],0
b4,1,0.065358,3.395924,[79 49] ; [14 18],[74.4 53.6] ; [18.6 13.4],0
p8,1,0.112687,2.516129,[66 58] ; [12 20],[62. 62.] ; [16. 16.],0
a2,1,0.208024,1.585127,[ 13 115] ; [ 1 31],[ 11.2 116.8] ; [ 2.8 29.2],0
b1,1,0.22733,1.45749,[49 79] ; [16 16],[52. 76.] ; [13. 19.],0
d4,1,0.246357,1.343842,[68 59] ; [13 18],[65.10759494 61.89240506] ; [15.89240506 15.10759494],0
a7,1,0.258344,1.277608,[85 42] ; [18 14],[82.27044025 44.72955975] ; [20.72955975 11.27044025],0
s4,1,0.263074,1.252507,[ 22 104] ; [ 3 29],[ 19.93670886 106.06329114] ; [ 5.06329114 26.93670886],0
p3,1,0.342056,0.902709,[55 71] ; [11 21],[52.63291139 73.36708861] ; [13.36708861 18.63291139],0
d1,1,0.34859,0.878585,[ 10 118] ; [ 1 31],[  8.8 119.2] ; [ 2.2 29.8],0
n2,1,0.365437,0.819123,[18  5] ; [10  1],[18.94117647  4.05882353] ; [9.05882353 1.94117647],0
a4,1,0.404305,0.695485,[29 97] ; [ 5 26],[27.2866242 98.7133758] ; [ 6.7133758 24.2866242],0
a8,1,0.455278,0.557478,[ 15 105] ; [ 5 23],[ 16.21621622 103.78378378] ; [ 3.78378378 24.21621622],0
p1,1,0.464937,0.533983,[ 18 108] ; [ 3 29],[ 16.74683544 109.25316456] ; [ 4.25316456 27.74683544],0
s8,1,0.467173,0.528655,[44 82] ; [ 9 23],[42.26582278 83.73417722] ; [10.73417722 21.26582278],0
v1,1,0.478527,0.502219,[60 66] ; [13 19],[58.21518987 67.78481013] ; [14.78481013 17.21518987],0
n3,1,0.495868,0.463768,[18  5] ; [6 3],[17.25  5.75] ; [6.75 2.25],0
v2,1,0.497131,0.461056,[59 62] ; [13 18],[57.31578947 63.68421053] ; [14.68421053 16.31578947],0
p7,1,0.54811,0.360714,[72 50] ; [17 15],[70.50649351 51.49350649] ; [18.49350649 13.50649351],0
r3,1,0.562069,0.336134,[123   5] ; [30  2],[122.4   5.6] ; [30.6  1.4],0
s6,1,0.567795,0.326386,[76 47] ; [18 14],[74.59354839 48.40645161] ; [19.40645161 12.59354839],0
b5,1,0.574898,0.314556,[73 55] ; [20 12],[74.4 53.6] ; [18.6 13.4],0
d2,1,0.580672,0.305149,[30 98] ; [ 9 23],[31.2 96.8] ; [ 7.8 24.2],0
n5,1,0.582111,0.302835,[89 37] ; [21 11],[87.72151899 38.27848101] ; [22.27848101  9.72151899],0
s5,1,0.603564,0.269654,[37 84] ; [ 8 23],[35.82236842 85.17763158] ; [ 9.17763158 21.82236842],0
u2,1,0.663134,0.189739,[33 24] ; [11 10],[32.15384615 24.84615385] ; [11.84615385  9.15384615],0
s1,1,0.670538,0.180974,[  6 117] ; [ 1 31],[  5.55483871 117.44516129] ; [ 1.44516129 30.55483871],0
p4,1,0.687817,0.161458,[59 65] ; [16 15],[60. 64.] ; [15. 16.],0
p2,1,0.69754,0.151043,[91 35] ; [22 10],[90.11392405 35.88607595] ; [22.88607595  9.11392405],0
u1,1,0.699116,0.149393,[  6 122] ; [ 1 31],[  5.6 122.4] ; [ 1.4 30.6],0
p5,1,0.768406,0.086707,[ 17 108] ; [ 5 27],[ 17.51592357 107.48407643] ; [ 4.48407643 27.51592357],0
a5,1,0.777355,0.079958,[71 56] ; [17 15],[70.28930818 56.71069182] ; [17.71069182 14.28930818],0
d3,1,0.783622,0.075406,[59 68] ; [14 18],[58.3081761 68.6918239] ; [14.6918239 17.3081761],0
s7,1,0.868605,0.027367,[50 70] ; [13 17],[50.4 69.6] ; [12.6 17.4],0
s2,1,0.886204,0.02048,[56 68] ; [14 18],[55.64102564 68.35897436] ; [14.35897436 17.64102564],0
v3,1,0.909201,0.013007,[47 78] ; [12 19],[47.27564103 77.72435897] ; [11.72435897 19.27564103],0
u3,1,0.936875,0.006272,[32 25] ; [12  9],[32.15384615 24.84615385] ; [11.84615385  9.15384615],0
p6,1,0.957196,0.002881,[42 82] ; [11 21],[42.12820513 81.87179487] ; [10.87179487 21.12820513],0
n1,1,0.962527,0.002207,[ 9 14] ; [4 6],[ 9.06060606 13.93939394] ; [3.93939394 6.06060606],0
n4,1,0.978625,0.000718,[87 40] ; [22 10],[87.06289308 39.93710692] ; [21.93710692 10.06289308],0
