Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,101.192012,[ 42 136] ; [241 104],[96.31739962 81.68260038] ; [186.68260038 158.31739962],1
p6,1,0.0,57.747965,[ 33 143] ; [183 159],[ 73.38996139 102.61003861] ; [142.61003861 199.38996139],1
p8,1,0.0,38.182672,[ 62 113] ; [219 123],[95.11605416 79.88394584] ; [185.88394584 156.11605416],1
p2,1,0.0,25.698842,[130  48] ; [309  34],[149.98464491  28.01535509] ; [289.01535509  53.98464491],1
p7,1,2e-06,22.610837,[88 82] ; [248  92],[112.  58.] ; [224. 116.],1
d1,1,8e-06,19.858499,[85 94] ; [233 112],[108.62977099  70.37022901] ; [209.37022901 135.62977099],1
p5,1,9e-06,19.713161,[  9 169] ; [ 67 276],[ 25.96545106 152.03454894] ; [ 50.03454894 292.96545106],1
n5,1,2.2e-05,17.968889,[130  49] ; [301  43],[147.5124283  31.4875717] ; [283.4875717  60.5124283],1
d3,1,2.7e-05,17.646285,[106  73] ; [265  80],[126.73473282  52.26526718] ; [244.26526718 100.73473282],1
n4,1,6.4e-05,15.97535,[131  48] ; [300  44],[147.5124283  31.4875717] ; [283.4875717  60.5124283],1
d2,1,0.00036,12.729314,[ 71 108] ; [193 151],[90.35564054 88.64435946] ; [173.64435946 170.35564054],1
s7,1,0.001608,9.950493,[94 83] ; [219 106],[110.36055777  66.63944223] ; [202.63944223 122.36055777],0
a5,1,0.002625,9.051394,[122  57] ; [276  69],[135.95801527  43.04198473] ; [262.04198473  82.95801527],0
d4,1,0.003456,8.549379,[139  40] ; [301  43],[150.59273423  28.40726577] ; [289.40726577  54.59273423],0
v1,1,0.006849,7.312236,[86 88] ; [208 128],[100.30588235  73.69411765] ; [193.69411765 142.30588235],0
p9,1,0.008014,7.030303,[146  29] ; [313  30],[155.06756757  19.93243243] ; [303.93243243  39.06756757],0
d5,1,0.013319,6.126212,[140  39] ; [298  46],[149.9082218  29.0917782] ; [288.0917782  55.9082218],0
a4,1,0.013369,6.119586,[ 70 108] ; [174 169],[83.36276392 94.63723608] ; [160.63723608 182.36276392],0
p10,1,0.015902,5.813666,[143  34] ; [302  39],[152.05598456  24.94401544] ; [292.94401544  48.05598456],0
r4,1,0.016944,5.702116,[161  18] ; [329  16],[167.38549618  11.61450382] ; [322.61450382  22.38549618],0
s2,1,0.025143,5.013979,[106  71] ; [239 104],[117.43269231  59.56730769] ; [227.56730769 115.43269231],0
s5,1,0.031453,4.628045,[ 66 108] ; [161 175],[77.44705882 96.55294118] ; [149.55294118 186.44705882],0
u1,1,0.031522,4.624316,[ 29 150] ; [ 84 261],[ 38.60114504 140.39885496] ; [ 74.39885496 270.60114504],0
p11,1,0.041029,4.174801,[135  44] ; [286  59],[143.8148855  35.1851145] ; [277.1851145  67.8148855],0
s8,1,0.04435,4.043179,[90 89] ; [204 139],[100.81609195  78.18390805] ; [193.18390805 149.81609195],0
r1,1,0.048715,3.885154,[140  38] ; [294  50],[147.99233716  30.00766284] ; [286.00766284  57.99233716],0
b5,1,0.050444,3.826634,[120  59] ; [201 144],[109.65458015  69.34541985] ; [211.34541985 133.65458015],0
p1,1,0.050788,3.815236,[ 10 168] ; [ 37 306],[ 16.05758157 161.94241843] ; [ 30.94241843 312.05758157],0
a3,1,0.085321,2.960512,[122  55] ; [262  83],[130.20689655  46.79310345] ; [253.79310345  91.20689655],0
p12,1,0.107504,2.590532,[ 14 164] ; [ 43 301],[ 19.43678161 158.56321839] ; [ 37.56321839 306.43678161],0
r3,1,0.129492,2.298583,[169  10] ; [334  10],[172.15487572   6.84512428] ; [330.84512428  13.15487572],0
a2,1,0.197643,1.659709,[ 40 139] ; [ 95 250],[ 46.11641221 132.88358779] ; [ 88.88358779 256.11641221],0
a7,1,0.257593,1.281649,[126  53] ; [258  86],[131.42638623  47.57361377] ; [252.57361377  91.42638623],0
u4,1,0.277118,1.181171,[  4 175] ; [ 14 331],[  6.14885496 172.85114504] ; [ 11.85114504 333.14885496],0
n2,1,0.2886,1.126139,[40 11] ; [41 18],[37.55454545 13.44545455] ; [43.44545455 15.55454545],0
u3,1,0.339619,0.911868,[32 25] ; [52 29],[34.69565217 22.30434783] ; [49.30434783 31.69565217],0
u2,1,0.353686,0.860188,[29 27] ; [49 33],[31.65217391 24.34782609] ; [46.34782609 35.65217391],0
a1,1,0.372739,0.794514,[  8 171] ; [ 22 323],[ 10.2480916 168.7519084] ; [ 19.7519084 325.2480916],0
v4,1,0.449449,0.572041,[170   8] ; [334  11],[171.5334608   6.4665392] ; [332.4665392  12.5334608],0
b3,1,0.460333,0.545086,[35 67] ; [ 83 132],[37.96845426 64.03154574] ; [ 80.03154574 134.96845426],0
b2,1,0.460333,0.545086,[35 67] ; [ 83 132],[37.96845426 64.03154574] ; [ 80.03154574 134.96845426],0
s1,1,0.487292,0.4825,[  9 167] ; [ 13 328],[  7.4893617 168.5106383] ; [ 14.5106383 326.4893617],0
r2,1,0.489754,0.477066,[171   6] ; [326  16],[169.49710983   7.50289017] ; [327.50289017  14.49710983],0
