Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.023254,5.149425,[ 6 23] ; [4 2],[ 8.28571429 20.71428571] ; [1.71428571 4.28571429],0
a6,1,0.116623,2.462095,[15 14] ; [1 5],[13.25714286 15.74285714] ; [2.74285714 3.25714286],0
p9,1,0.162111,1.954422,[10 18] ; [4 2],[11.52941176 16.47058824] ; [2.47058824 3.52941176],0
p7,1,0.166994,1.909722,[ 6 21] ; [3 3],[ 7.36363636 19.63636364] ; [1.63636364 4.36363636],0
a3,1,0.178872,1.806973,[15 13] ; [5 1],[16.47058824 11.52941176] ; [3.52941176 2.47058824],0
n5,1,0.195424,1.676245,[18 11] ; [2 4],[16.57142857 12.42857143] ; [3.42857143 2.57142857],0
d3,1,0.195424,1.676245,[11 18] ; [4 2],[12.42857143 16.57142857] ; [2.57142857 3.42857143],0
a8,1,0.216037,1.530506,[ 1 27] ; [1 5],[ 1.64705882 26.35294118] ; [0.35294118 5.64705882],0
s3,1,0.222605,1.4875,[ 7 21] ; [3 3],[ 8.23529412 19.76470588] ; [1.76470588 4.23529412],0
r2,1,0.230918,1.4352,[16 12] ; [5 1],[17.29411765 10.70588235] ; [3.70588235 2.29411765],0
p10,1,0.30859,1.036702,[ 8 20] ; [3 3],[ 9.05882353 18.94117647] ; [1.94117647 4.05882353],0
a7,1,0.329919,0.949215,[13 16] ; [4 2],[14.08571429 14.91428571] ; [2.91428571 3.08571429],0
v1,1,0.372994,0.793666,[ 9 20] ; [3 3],[ 9.94285714 19.05714286] ; [2.05714286 3.94285714],0
d5,1,0.411963,0.673127,[14 15] ; [4 2],[14.91428571 14.08571429] ; [3.08571429 2.91428571],0
s1,1,0.436471,0.605544,[ 2 27] ; [1 5],[ 2.48571429 26.51428571] ; [0.51428571 5.48571429],0
s2,1,0.436471,0.605544,[ 2 27] ; [1 5],[ 2.48571429 26.51428571] ; [0.51428571 5.48571429],0
b4,1,0.503623,0.447293,[15 14] ; [4 2],[15.74285714 13.25714286] ; [3.25714286 2.74285714],0
n4,1,0.503623,0.447293,[15 14] ; [4 2],[15.74285714 13.25714286] ; [3.25714286 2.74285714],0
b5,1,0.582804,0.301724,[11 18] ; [3 3],[11.6 17.4] ; [2.4 3.6],0
d2,1,0.582804,0.301724,[11 18] ; [3 3],[11.6 17.4] ; [2.4 3.6],0
b2,1,0.59256,0.286364,[9 9] ; [1 2],[8.57142857 9.42857143] ; [1.42857143 1.57142857],0
b3,1,0.59256,0.286364,[9 9] ; [1 2],[8.57142857 9.42857143] ; [1.42857143 1.57142857],0
a4,1,0.604542,0.268199,[13 16] ; [2 4],[12.42857143 16.57142857] ; [2.57142857 3.42857143],0
s5,1,0.657738,0.196283,[ 3 26] ; [1 5],[ 3.31428571 25.68571429] ; [0.68571429 5.31428571],0
p1,1,0.657738,0.196283,[ 3 26] ; [1 5],[ 3.31428571 25.68571429] ; [0.68571429 5.31428571],0
v4,1,0.697713,0.150862,[12 17] ; [3 3],[12.42857143 16.57142857] ; [2.57142857 3.42857143],0
a5,1,0.697713,0.150862,[12 17] ; [3 3],[12.42857143 16.57142857] ; [2.57142857 3.42857143],0
r1,1,0.776675,0.08046,[ 8 21] ; [2 4],[ 8.28571429 20.71428571] ; [1.71428571 4.28571429],0
v3,1,0.822564,0.050287,[ 6 23] ; [1 5],[ 5.8 23.2] ; [1.2 4.8],0
s4,1,0.854721,0.033525,[ 4 25] ; [1 5],[ 4.14285714 24.85714286] ; [0.85714286 5.14285714],0
s6,1,0.854721,0.033525,[ 4 25] ; [1 5],[ 4.14285714 24.85714286] ; [0.85714286 5.14285714],0
p8,1,0.881208,0.022332,[ 4 24] ; [1 5],[ 4.11764706 23.88235294] ; [0.88235294 5.11764706],0
p2,1,0.956941,0.002915,[10 19] ; [2 4],[ 9.94285714 19.05714286] ; [2.05714286 3.94285714],0
b1,1,0.956941,0.002915,[19 10] ; [4 2],[19.05714286  9.94285714] ; [3.94285714 2.05714286],0
