Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,31.494481,[26 27] ; [98 12],[40.3190184 12.6809816] ; [83.6809816 26.3190184],1
r2,1,0.000414,12.465749,[40 13] ; [103   6],[46.78395062  6.21604938] ; [96.21604938 12.78395062],1
v2,1,0.00161,9.948379,[15 38] ; [55 45],[24.24836601 28.75163399] ; [45.75163399 54.24836601],0
a5,1,0.002682,9.011901,[20 33] ; [69 41],[28.93865031 24.06134969] ; [60.06134969 49.93865031],0
a6,1,0.003751,8.400651,[22 31] ; [72 38],[30.56441718 22.43558282] ; [63.43558282 46.56441718],0
b1,1,0.023372,5.140668,[25 28] ; [32 78],[18.53374233 34.46625767] ; [38.46625767 71.53374233],0
d1,1,0.025872,4.964549,[20 33] ; [62 48],[26.66257669 26.33742331] ; [55.33742331 54.66257669],0
a7,1,0.026185,4.943769,[32 20] ; [86 24],[37.87654321 14.12345679] ; [80.12345679 29.87654321],0
d4,1,0.028313,4.808926,[37 16] ; [93 17],[42.26993865 10.73006135] ; [87.73006135 22.26993865],0
s3,1,0.032325,4.581157,[18 35] ; [56 52],[24.36024845 28.63975155] ; [49.63975155 58.36024845],0
p10,1,0.036165,4.389299,[26 25] ; [73 34],[31.9556962 19.0443038] ; [67.0443038 39.9556962],0
b4,1,0.05915,3.561057,[26 27] ; [71 39],[31.5398773 21.4601227] ; [65.4601227 44.5398773],0
n3,1,0.061338,3.500822,[10 10] ; [29 10],[13.22033898  6.77966102] ; [25.77966102 13.22033898],0
r3,1,0.070864,3.262884,[45  8] ; [103   7],[48.12269939  4.87730061] ; [99.87730061 10.12269939],0
s6,1,0.073842,3.195477,[23 29] ; [64 44],[28.275 23.725] ; [58.725 49.275],0
u1,1,0.096034,2.770204,[ 2 51] ; [13 97],[ 4.87730061 48.12269939] ; [10.12269939 99.87730061],0
p1,1,0.105735,2.616841,[ 6 46] ; [  5 103],[ 3.575 48.425] ; [  7.425 100.575],0
p6,1,0.116482,2.463997,[15 37] ; [19 87],[11.18987342 40.81012658] ; [22.81012658 83.18987342],0
d3,1,0.120384,2.412314,[31 21] ; [79 31],[35.30864198 16.69135802] ; [74.69135802 35.30864198],0
p11,1,0.122419,2.386096,[26 27] ; [68 42],[30.56441718 22.43558282] ; [63.43558282 46.56441718],0
a2,1,0.128029,2.316245,[ 3 50] ; [15 95],[ 5.85276074 47.14723926] ; [12.14723926 97.85276074],0
d5,1,0.142448,2.151313,[34 18] ; [84 26],[37.87654321 14.12345679] ; [80.12345679 29.87654321],0
v1,1,0.150967,2.062457,[15 37] ; [43 63],[19.08860759 32.91139241] ; [38.91139241 67.08860759],0
p9,1,0.157807,1.99512,[31 20] ; [77 30],[34.86075949 16.13924051] ; [73.13924051 33.86075949],0
p2,1,0.210453,1.568308,[33 19] ; [79 29],[36.4 15.6] ; [75.6 32.4],0
v3,1,0.224899,1.472837,[10 41] ; [29 72],[13.08552632 37.91447368] ; [25.91447368 75.08552632],0
a3,1,0.23032,1.438882,[26 26] ; [66 44],[29.5308642 22.4691358] ; [62.4691358 47.5308642],0
a4,1,0.237516,1.395274,[13 40] ; [37 73],[16.25766871 36.74233129] ; [33.74233129 76.25766871],0
v4,1,0.242271,1.367328,[44  8] ; [99 10],[46.1863354  5.8136646] ; [96.8136646 12.1863354],0
u2,1,0.260592,1.265608,[13 14] ; [26 16],[15.26086957 11.73913043] ; [23.73913043 18.26086957],0
b2,1,0.269506,1.219259,[10 19] ; [11 37],[ 7.90909091 21.09090909] ; [13.09090909 34.90909091],0
b3,1,0.269506,1.219259,[10 19] ; [11 37],[ 7.90909091 21.09090909] ; [13.09090909 34.90909091],0
a1,1,0.278969,1.172106,[ 4 49] ; [  4 106],[ 2.60122699 50.39877301] ; [  5.39877301 104.60122699],0
s4,1,0.355036,0.855374,[14 39] ; [22 88],[11.70552147 41.29447853] ; [24.29447853 85.70552147],0
p12,1,0.387907,0.745491,[ 1 52] ; [  5 103],[ 1.97515528 51.02484472] ; [  4.02484472 103.97515528],0
s8,1,0.432905,0.615017,[12 41] ; [31 78],[14.06790123 38.93209877] ; [28.93209877 80.06790123],0
d2,1,0.605255,0.267143,[21 32] ; [39 71],[19.50920245 33.49079755] ; [40.49079755 69.50920245],0
p5,1,0.642163,0.215924,[ 2 50] ; [  6 102],[ 2.6 49.4] ; [  5.4 102.6],0
n1,1,0.685356,0.164159,[ 5 15] ; [12 28],[ 5.66666667 14.33333333] ; [11.33333333 28.66666667],0
s1,1,0.75759,0.095263,[ 3 50] ; [  5 105],[ 2.60122699 50.39877301] ; [  5.39877301 104.60122699],0
n2,1,0.757723,0.095155,[12  8] ; [25 14],[12.54237288  7.45762712] ; [24.45762712 14.54237288],0
s2,1,0.762915,0.090996,[23 30] ; [45 65],[22.11042945 30.88957055] ; [45.88957055 64.11042945],0
b5,1,0.789571,0.071219,[32 21] ; [64 46],[31.21472393 21.78527607] ; [64.78527607 45.21472393],0
p8,1,0.82685,0.047848,[21 31] ; [46 63],[21.63975155 30.36024845] ; [45.36024845 63.63975155],0
p3,1,0.874912,0.024782,[17 35] ; [37 72],[17.44099379 34.55900621] ; [36.55900621 72.44099379],0
u3,1,0.911171,0.012446,[17 10] ; [27 15],[17.2173913  9.7826087] ; [26.7826087 15.2173913],0
p4,1,0.927743,0.008224,[21 32] ; [44 65],[21.2654321 31.7345679] ; [43.7345679 65.2654321],0
s7,1,0.954819,0.00321,[14 37] ; [29 75],[14.1483871 36.8516129] ; [28.8516129 75.1483871],0
p7,1,0.960477,0.002456,[26 25] ; [55 52],[26.14556962 24.85443038] ; [54.85443038 52.14556962],0
s5,1,0.969069,0.001504,[17 36] ; [34 71],[17.10759494 35.89240506] ; [33.89240506 71.10759494],0
n6,1,0.978231,0.000745,[31 22] ; [64 45],[31.08024691 21.91975309] ; [63.91975309 45.08024691],0
a8,1,0.981386,0.000544,[ 2 48] ; [ 4 98],[ 1.97368421 48.02631579] ; [ 4.02631579 97.97368421],0
