Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,38.302326,[104  18] ; [25 36],[86. 36.] ; [43. 18.],1
s7,1,0.002357,9.248784,[56 64] ; [13 44],[46.77966102 73.22033898] ; [22.22033898 34.77966102],0
n6,1,0.003051,8.77649,[97 24] ; [37 25],[88.6010929 32.3989071] ; [45.3989071 16.6010929],0
p10,1,0.01034,6.5753,[86 34] ; [32 29],[78.2320442 41.7679558] ; [39.7679558 21.2320442],0
a1,1,0.011041,6.458749,[  2 121] ; [ 6 56],[  5.31891892 117.68108108] ; [ 2.68108108 59.31891892],0
p2,1,0.018973,5.504032,[90 30] ; [36 26],[83.07692308 36.92307692] ; [42.92307692 19.07692308],0
p9,1,0.020037,5.408654,[92 28] ; [36 24],[85.33333333 34.66666667] ; [42.66666667 17.33333333],0
r1,1,0.022074,5.239969,[81 42] ; [30 32],[73.8 49.2] ; [37.2 24.8],0
s6,1,0.033718,4.50893,[69 49] ; [25 35],[62.31460674 55.68539326] ; [31.68539326 28.31460674],0
b2,1,0.035974,4.398334,[38 48] ; [ 8 26],[32.96666667 53.03333333] ; [13.03333333 20.96666667],0
b3,1,0.035974,4.398334,[38 48] ; [ 8 26],[32.96666667 53.03333333] ; [13.03333333 20.96666667],0
p3,1,0.056051,3.650541,[51 71] ; [17 45],[45.08695652 76.91304348] ; [22.91304348 39.08695652],0
d1,1,0.065184,3.400319,[55 68] ; [19 43],[49.2 73.8] ; [24.8 37.2],0
d5,1,0.095479,2.779485,[81 42] ; [33 29],[75.79459459 47.20540541] ; [38.20540541 23.79459459],0
p5,1,0.106988,2.598165,[ 12 109] ; [ 2 60],[  9.2568306 111.7431694] ; [ 4.7431694 57.2568306],0
u3,1,0.130237,2.289678,[18 30] ; [16 13],[21.19480519 26.80519481] ; [12.80519481 16.19480519],0
s8,1,0.154103,2.031157,[43 80] ; [15 46],[38.77173913 84.22826087] ; [19.22826087 41.77173913],0
p4,1,0.171805,1.867121,[59 63] ; [23 38],[54.66666667 67.33333333] ; [27.33333333 33.66666667],0
u1,1,0.198004,1.657038,[  7 116] ; [ 1 61],[  5.31891892 117.68108108] ; [ 2.68108108 59.31891892],0
p6,1,0.218632,1.513325,[38 80] ; [14 46],[34.47191011 83.52808989] ; [17.52808989 42.47191011],0
a5,1,0.226298,1.463982,[73 50] ; [31 31],[69.14594595 53.85405405] ; [34.85405405 27.14594595],0
r2,1,0.231517,1.431516,[104  17] ; [49 13],[101.16393443  19.83606557] ; [51.83606557 10.16393443],0
p8,1,0.233882,1.417098,[52 69] ; [21 41],[48.26775956 72.73224044] ; [24.73224044 37.26775956],0
d4,1,0.25363,1.303196,[85 38] ; [37 24],[81.55434783 41.44565217] ; [40.44565217 20.55434783],0
n1,1,0.269301,1.220307,[16 20] ; [ 9 20],[13.84615385 22.15384615] ; [11.15384615 17.84615385],0
d2,1,0.279023,1.171844,[57 64] ; [24 38],[53.55737705 67.44262295] ; [27.44262295 34.55737705],0
n2,1,0.294266,1.1,[22 14] ; [22  8],[24. 12.] ; [20. 10.],0
p11,1,0.310756,1.027459,[92 31] ; [42 20],[89.09189189 33.90810811] ; [44.90810811 17.09189189],0
a3,1,0.37244,0.795509,[75 48] ; [33 28],[72.19565217 50.80434783] ; [35.80434783 25.19565217],0
s3,1,0.376586,0.781816,[63 58] ; [28 34],[60.16939891 60.83060109] ; [30.83060109 31.16939891],0
r4,1,0.389678,0.739946,[87 36] ; [40 22],[84.43783784 38.56216216] ; [42.56216216 19.43783784],0
b1,1,0.436553,0.605326,[60 63] ; [34 28],[62.4972973 60.5027027] ; [31.5027027 30.4972973],0
p1,1,0.441229,0.593085,[ 12 110] ; [ 4 58],[ 10.60869565 111.39130435] ; [ 5.39130435 56.60869565],0
a2,1,0.450366,0.56973,[ 12 111] ; [ 4 58],[ 10.63783784 112.36216216] ; [ 5.36216216 56.63783784],0
v2,1,0.474105,0.512393,[40 79] ; [17 43],[37.89385475 81.10614525] ; [19.10614525 40.89385475],0
b5,1,0.500455,0.453972,[61 62] ; [34 28],[63.16216216 59.83783784] ; [31.83783784 30.16216216],0
a4,1,0.509002,0.436118,[53 68] ; [24 38],[50.91256831 70.08743169] ; [26.08743169 35.91256831],0
n3,1,0.530249,0.393915,[19 16] ; [18 11],[20.234375 14.765625] ; [16.765625 12.234375],0
s5,1,0.547482,0.361848,[41 76] ; [18 41],[39.22159091 77.77840909] ; [19.77840909 39.22159091],0
s4,1,0.550922,0.355669,[23 99] ; [14 48],[24.5326087 97.4673913] ; [12.4673913 49.5326087],0
d3,1,0.554117,0.349993,[48 75] ; [27 35],[49.86486486 73.13513514] ; [25.13513514 36.86486486],0
v4,1,0.561463,0.337177,[99 22] ; [52  9],[100.39010989  20.60989011] ; [50.60989011 10.39010989],0
a6,1,0.565447,0.33036,[49 74] ; [22 40],[47.20540541 75.79459459] ; [23.79459459 38.20540541],0
s1,1,0.587374,0.294464,[  6 115] ; [ 2 60],[  5.28961749 115.71038251] ; [ 2.71038251 59.28961749],0
r3,1,0.599357,0.275967,[103  20] ; [50 12],[101.72432432  21.27567568] ; [51.27567568 10.72432432],0
p7,1,0.679707,0.170456,[63 57] ; [34 27],[64.30939227 55.69060773] ; [32.69060773 28.30939227],0
a8,1,0.705607,0.142705,[ 12 105] ; [ 5 54],[ 11.30113636 105.69886364] ; [ 5.69886364 53.30113636],0
b4,1,0.710848,0.137431,[69 54] ; [33 29],[67.81621622 55.18378378] ; [34.18378378 27.81621622],0
v1,1,0.881577,0.022192,[47 74] ; [23 38],[46.53846154 74.46153846] ; [23.46153846 37.53846154],0
s2,1,0.946888,0.004438,[47 76] ; [23 38],[46.79347826 76.20652174] ; [23.20652174 37.79347826],0
u2,1,0.990029,0.000156,[21 26] ; [13 16],[21.02631579 25.97368421] ; [12.97368421 16.02631579],0
