Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3e-06,21.834311,[ 21 103] ; [20 16],[31.775 92.225] ; [ 9.225 26.775],1
p7,1,5e-06,20.924401,[30 89] ; [24 12],[41.45806452 77.54193548] ; [12.54193548 23.45806452],1
s6,1,8e-06,20.009842,[60 62] ; [32  3],[71.49044586 50.50955414] ; [20.50955414 14.49044586],1
s5,1,0.000736,11.394837,[25 91] ; [17 16],[32.69798658 83.30201342] ; [ 9.30201342 23.69798658],1
p3,1,0.002058,9.497434,[33 91] ; [19 16],[40.55345912 83.44654088] ; [11.44654088 23.55345912],0
p4,1,0.002829,8.914286,[33 88] ; [19 16],[40.33333333 80.66666667] ; [11.66666667 23.33333333],0
s7,1,0.004256,8.171305,[38 77] ; [21 14],[45.23333333 69.76666667] ; [13.76666667 21.23333333],0
v1,1,0.004656,8.008378,[42 79] ; [22 14],[49.32484076 71.67515924] ; [14.67515924 21.32484076],0
s8,1,0.004691,7.99494,[40 84] ; [20 14],[47.08860759 76.91139241] ; [12.91139241 21.08860759],0
s2,1,0.012019,6.30811,[49 73] ; [23 13],[55.59493671 66.40506329] ; [16.40506329 19.59493671],0
p9,1,0.026934,4.895008,[72 47] ; [29  7],[77.54193548 41.45806452] ; [23.45806452 12.54193548],0
v2,1,0.030148,4.700855,[53 64] ; [22 11],[58.5 58.5] ; [16.5 16.5],0
p1,1,0.03149,4.626045,[  5 119] ; [ 5 31],[  7.75 116.25] ; [ 2.25 33.75],0
p5,1,0.039145,4.254545,[  7 113] ; [ 6 30],[ 10. 110.] ; [ 3. 33.],0
p12,1,0.10147,2.68228,[  7 116] ; [ 5 31],[  9.28301887 113.71698113] ; [ 2.71698113 33.28301887],0
a2,1,0.129883,2.293907,[28 96] ; [ 4 32],[24.8 99.2] ; [ 7.2 28.8],0
n6,1,0.131003,2.280584,[91 33] ; [30  5],[94.36477987 29.63522013] ; [26.63522013  8.36477987],0
a8,1,0.149936,2.0729,[  8 109] ; [ 5 29],[ 10.07284768 106.92715232] ; [ 2.92715232 31.07284768],0
b4,1,0.152393,2.048131,[66 58] ; [24 12],[69.75 54.25] ; [20.25 15.75],0
u3,1,0.204985,1.606498,[27 18] ; [11  3],[28.98305085 16.01694915] ; [9.01694915 4.98305085],0
r3,1,0.219348,1.50863,[108  16] ; [34  2],[110.05  13.95] ; [31.95  4.05],0
r4,1,0.283712,1.14922,[105  19] ; [33  3],[106.95  17.05] ; [31.05  4.95],0
