Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,45.765625,[82 10] ; [120 127],[54.820059 37.179941] ; [147.179941  99.820059],1
s7,1,6e-06,20.35405,[57 34] ; [ 84 155],[38.88181818 52.11818182] ; [102.11818182 136.88181818],1
s2,1,3.8e-05,16.993206,[58 36] ; [ 92 157],[41.10787172 52.89212828] ; [108.89212828 140.10787172],1
p5,1,0.000835,11.162103,[14 80] ; [ 11 239],[ 6.83139535 87.16860465] ; [ 18.16860465 231.83139535],1
p3,1,0.000898,11.026486,[50 44] ; [ 84 166],[36.61627907 57.38372093] ; [ 97.38372093 152.61627907],1
s4,1,0.001229,10.446299,[27 65] ; [ 35 213],[16.77647059 75.22352941] ; [ 45.22352941 202.77647059],0
s3,1,0.001743,9.801732,[61 32] ; [115 132],[48.14117647 44.85882353] ; [127.85882353 119.14117647],0
n6,1,0.002506,9.136323,[84  9] ; [188  61],[73.96491228 19.03508772] ; [198.03508772  50.96491228],0
p6,1,0.008491,6.926946,[35 59] ; [ 57 190],[25.36070381 68.63929619] ; [ 66.63929619 180.36070381],0
p12,1,0.01012,6.613635,[ 8 85] ; [  6 243],[ 3.80701754 89.19298246] ; [ 10.19298246 238.80701754],0
p4,1,0.011639,6.365057,[57 36] ; [113 133],[46.63716814 46.36283186] ; [123.36283186 122.63716814],0
r4,1,0.012153,6.28838,[87  7] ; [204  46],[79.51744186 14.48255814] ; [211.48255814  38.51744186],0
p1,1,0.012939,6.1774,[11 82] ; [ 11 238],[ 5.98245614 87.01754386] ; [ 16.01754386 232.98245614],0
a5,1,0.026533,4.920925,[75 19] ; [169  81],[66.6744186 27.3255814] ; [177.3255814  72.6744186],0
a4,1,0.035589,4.416697,[50 44] ; [101 148],[41.3819242 52.6180758] ; [109.6180758 139.3819242],0
p9,1,0.037977,4.306048,[76 15] ; [180  68],[68.71976401 22.28023599] ; [187.28023599  60.71976401],0
p7,1,0.040835,4.182834,[58 33] ; [125 119],[49.71044776 41.28955224] ; [133.28955224 110.71044776],0
b5,1,0.054016,3.712192,[44 50] ; [146 104],[51.91860465 42.08139535] ; [138.08139535 111.91860465],0
p10,1,0.070965,3.260558,[75 18] ; [176  72],[68.45454545 24.54545455] ; [182.54545455  65.45454545],0
d2,1,0.076528,3.137128,[55 39] ; [119 130],[47.6851312 46.3148688] ; [126.3148688 122.6851312],0
