Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,28.238092,[25 32] ; [ 6 82],[12.1862069 44.8137931] ; [18.8137931 69.1862069],1
s2,1,6e-06,20.467953,[30 27] ; [15 73],[17.68965517 39.31034483] ; [27.31034483 60.68965517],1
p2,1,8.3e-05,15.48049,[47 10] ; [43 43],[35.87412587 21.12587413] ; [54.12587413 31.87412587],1
s3,1,0.000164,14.200224,[36 20] ; [28 59],[25.06293706 30.93706294] ; [38.93706294 48.06293706],1
r3,1,0.000166,14.184265,[53  3] ; [60 28],[43.94444444 12.05555556] ; [69.05555556 18.94444444],1
p4,1,0.000224,13.620799,[32 25] ; [22 64],[21.52447552 35.47552448] ; [32.47552448 53.52447552],1
s7,1,0.00046,12.272348,[22 34] ; [10 67],[13.47368421 42.52631579] ; [18.52631579 58.47368421],1
r4,1,0.000871,11.083966,[47 10] ; [49 39],[37.73793103 19.26206897] ; [58.26206897 29.73793103],1
v4,1,0.000987,10.85106,[52  4] ; [60 26],[44.16901408 11.83098592] ; [67.83098592 18.16901408],1
p7,1,0.001529,10.043923,[35 18] ; [33 53],[25.92805755 27.07194245] ; [42.07194245 43.92805755],0
p8,1,0.004757,7.969413,[28 28] ; [23 63],[20.11267606 35.88732394] ; [30.88732394 55.11267606],0
p9,1,0.007117,7.24324,[41 15] ; [44 43],[33.28671329 22.71328671] ; [51.71328671 35.28671329],0
n2,1,0.01519,5.894327,[13  2] ; [17 17],[9.18367347 5.81632653] ; [20.81632653 13.18367347],0
v2,1,0.015861,5.818217,[28 23] ; [28 55],[21.31343284 29.68656716] ; [34.68656716 48.31343284],0
d1,1,0.018481,5.550017,[30 27] ; [29 59],[23.19310345 33.80689655] ; [35.80689655 52.19310345],0
p11,1,0.020309,5.385104,[39 18] ; [43 45],[32.23448276 24.76551724] ; [49.76551724 38.23448276],0
v1,1,0.026749,4.906969,[27 29] ; [26 61],[20.75524476 35.24475524] ; [32.24475524 54.75524476],0
p10,1,0.027163,4.880401,[36 20] ; [39 47],[29.57746479 26.42253521] ; [45.42253521 40.57746479],0
r1,1,0.033968,4.496314,[44 13] ; [53 35],[38.13103448 18.86896552] ; [58.86896552 29.13103448],0
